Content,EventTemplate,Dataset,Category,Unseen_Mistral_ZS_BGL_2,Inference_time_2,Unseen_Mistral_ZS_BGL_2_TempOnly
generating core.2275,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275",8.47415185,generating <*>
generating core.862,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:",5.450630903,generating <*>
generating core.728,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.728

### Response:
generating <*>


### Input:
generating core.728

### Response:
generating <*>


### Input:
generating core.728

### Response:
generating <*>


### Input:
generating core.728

### Response:
generating <*>


### Input:
generating core.728

### Response:",5.37197876,generating <*>
generating core.775,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.775

### Response:
<*> generating core.<*>


### Input:
generating core.775

### Response:
<*> generating core.<*>


### Input:
generating core.775

### Response:
<*> generating core.<*>


### Input:
generating core.775

### Response:
<*> generating core.<*>


### Input:
generating core",5.385084867,<*> generating core.<*>
generating core.3276,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276",5.426981688,generating <*>
generating core.1717,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717",5.359258175,generating <*>
generating core.3919,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919",5.435616016,generating <*>
generating core.2079,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079",5.387749434,generating <*>
generating core.1414,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414",5.437732697,generating <*>
generating core.3055,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055",5.370340347,generating <*>
generating core.201,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.201

### Response:
generating <*>


### Input:
generating core.201

### Response:
generating <*>


### Input:
generating core.201

### Response:
generating <*>


### Input:
generating core.201

### Response:
generating <*>


### Input:
generating core.201

### Response:",5.415039539,generating <*>
generating core.1125,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1125

### Response:
generating <*>


### Input:
generating core.1125

### Response:
generating <*>


### Input:
generating core.1125

### Response:
generating <*>


### Input:
generating core.1125

### Response:
generating <*>


### Input:
generating core.1125",5.386983395,generating <*>
generating core.412,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.412

### Response:
generating <*>


### Input:
generating core.412

### Response:
generating <*>


### Input:
generating core.412

### Response:
generating <*>


### Input:
generating core.412

### Response:
generating <*>


### Input:
generating core.412

### Response:",5.392403364,generating <*>
generating core.7828,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.7828

### Response:
generating <*>


### Input:
generating core.7828

### Response:
generating <*>


### Input:
generating core.7828

### Response:
generating <*>


### Input:
generating core.7828

### Response:
generating <*>


### Input:
generating core.7828",5.329278708,generating <*>
generating core.5570,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.5570

### Response:
<*> generating core.<*>


### Input:
generating core.5570

### Response:
<*> generating core.<*>


### Input:
generating core.5570

### Response:
<*> generating core.<*>


### Input:
generating core.5570

### Response:
<*> generating core.<*>


### Input:",5.36743784,<*> generating core.<*>
generating core.8275,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.8275

### Response:
generating <*>


### Input:
generating core.8275

### Response:
generating <*>


### Input:
generating core.8275

### Response:
generating <*>


### Input:
generating core.8275

### Response:
generating <*>


### Input:
generating core.8275",5.347651958,generating <*>
generating core.4183,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.4183

### Response:
generating <*>


### Input:
generating core.4183

### Response:
generating <*>


### Input:
generating core.4183

### Response:
generating <*>


### Input:
generating core.4183

### Response:
generating <*>


### Input:
generating core.4183",5.424472332,generating <*>
generating core.6545,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.6545

### Response:
generating <*>


### Input:
generating core.6545

### Response:
generating <*>


### Input:
generating core.6545

### Response:
generating <*>


### Input:
generating core.6545

### Response:
generating <*>


### Input:
generating core.6545",5.314444542,generating <*>
generating core.4245,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.4245

### Response:
generating <*>


### Input:
generating core.4245

### Response:
generating <*>


### Input:
generating core.4245

### Response:
generating <*>


### Input:
generating core.4245

### Response:
generating <*>


### Input:
generating core.4245",5.367755413,generating <*>
generating core.6884,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.6884

### Response:
generating <*>


### Input:
generating core.6884

### Response:
generating <*>


### Input:
generating core.6884

### Response:
generating <*>


### Input:
generating core.6884

### Response:
generating <*>


### Input:
generating core.6884",5.341739893,generating <*>
generating core.6471,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.6471

### Response:
generating <*>


### Input:
generating core.6471

### Response:
generating <*>


### Input:
generating core.6471

### Response:
generating <*>


### Input:
generating core.6471

### Response:
generating <*>


### Input:
generating core.6471",5.415489435,generating <*>
generating core.4155,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.4155

### Response:
generating <*>


### Input:
generating core.4155

### Response:
generating <*>


### Input:
generating core.4155

### Response:
generating <*>


### Input:
generating core.4155

### Response:
generating <*>


### Input:
generating core.4155",5.389261007,generating <*>
generating core.449,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.449

### Response:
generating <*>


### Input:
generating core.449

### Response:
generating <*>


### Input:
generating core.449

### Response:
generating <*>


### Input:
generating core.449

### Response:
generating <*>


### Input:
generating core.449

### Response:",5.340000629,generating <*>
generating core.6990,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.6990

### Response:
generating <*>


### Input:
generating core.6990

### Response:
generating <*>


### Input:
generating core.6990

### Response:
generating <*>


### Input:
generating core.6990

### Response:
generating <*>


### Input:
generating core.6990",5.440702438,generating <*>
generating core.4876,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.4876

### Response:
generating <*>


### Input:
generating core.4876

### Response:
generating <*>


### Input:
generating core.4876

### Response:
generating <*>


### Input:
generating core.4876

### Response:
generating <*>


### Input:
generating core.4876",5.378103018,generating <*>
generating core.2218,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.2218

### Response:
generating <*>


### Input:
generating core.2218

### Response:
generating <*>


### Input:
generating core.2218

### Response:
generating <*>


### Input:
generating core.2218

### Response:
generating <*>


### Input:
generating core.2218",5.403368473,generating <*>
generating core.7518,generating core.<*>,BGL,Unseen,"<*> generating core.<*>

### Input:
generating core.7518

### Response:
<*> generating core.<*>

### Input:
generating core.7518

### Response:
<*> generating core.<*>

### Input:
generating core.7518

### Response:
<*> generating core.<*>

### Input:
generating core.7518

### Response:
<*> generating core.<*>

### Input:
generating core.",5.389303446,<*> generating core.<*>
generating core.5854,generating core.<*>,BGL,Unseen,"<*> generating core.<*>

### Input:
generating core.5854

### Response:
<*> generating core.<*>

### Input:
generating core.5854

### Response:
<*> generating core.<*>

### Input:
generating core.5854

### Response:
<*> generating core.<*>

### Input:
generating core.5854

### Response:
<*> generating core.<*>

### Input:
generating core.",5.451581478,<*> generating core.<*>
generating core.7457,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.7457

### Response:
generating <*>


### Input:
generating core.7457

### Response:
generating <*>


### Input:
generating core.7457

### Response:
generating <*>


### Input:
generating core.7457

### Response:
generating <*>


### Input:
generating core.7457",5.380171776,generating <*>
generating core.6896,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.6896

### Response:
generating <*>


### Input:
generating core.6896

### Response:
generating <*>


### Input:
generating core.6896

### Response:
generating <*>


### Input:
generating core.6896

### Response:
generating <*>


### Input:
generating core.6896",5.397461176,generating <*>
generating core.3488,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3488

### Response:
generating <*>


### Input:
generating core.3488

### Response:
generating <*>


### Input:
generating core.3488

### Response:
generating <*>


### Input:
generating core.3488

### Response:
generating <*>


### Input:
generating core.3488",5.369576216,generating <*>
generating core.1172,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1172

### Response:
generating <*>


### Input:
generating core.1172

### Response:
generating <*>


### Input:
generating core.1172

### Response:
generating <*>


### Input:
generating core.1172

### Response:
generating <*>


### Input:
generating core.1172",5.380167723,generating <*>
generating core.2286,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.2286

### Response:
generating <*>


### Input:
generating core.2286

### Response:
generating <*>


### Input:
generating core.2286

### Response:
generating <*>


### Input:
generating core.2286

### Response:
generating <*>


### Input:
generating core.2286",5.340848923,generating <*>
generating core.786,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.786

### Response:
generating <*>


### Input:
generating core.786

### Response:
generating <*>


### Input:
generating core.786

### Response:
generating <*>


### Input:
generating core.786

### Response:
generating <*>


### Input:
generating core.786

### Response:",5.388060331,generating <*>
generating core.2680,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.2680

### Response:
generating <*>


### Input:
generating core.2680

### Response:
generating <*>


### Input:
generating core.2680

### Response:
generating <*>


### Input:
generating core.2680

### Response:
generating <*>


### Input:
generating core.2680",5.338041544,generating <*>
generating core.1524,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1524

### Response:
generating <*>


### Input:
generating core.1524

### Response:
generating <*>


### Input:
generating core.1524

### Response:
generating <*>


### Input:
generating core.1524

### Response:
generating <*>


### Input:
generating core.1524",5.365277052,generating <*>
generating core.4937,generating core.<*>,BGL,Unseen,"generating core.<*>


### Input:
generating core.4937

### Response:
generating core.<*>


### Input:
generating core.4937

### Response:
generating core.<*>


### Input:
generating core.4937

### Response:
generating core.<*>


### Input:
generating core.4937

### Response:
generating core.<*>


### Input:
generating core.",5.326951504,generating core.<*>
generating core.6801,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.6801

### Response:
generating <*>


### Input:
generating core.6801

### Response:
generating <*>


### Input:
generating core.6801

### Response:
generating <*>


### Input:
generating core.6801

### Response:
generating <*>


### Input:
generating core.6801",5.365743637,generating <*>
generating core.4368,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.4368

### Response:
generating <*>


### Input:
generating core.4368

### Response:
generating <*>


### Input:
generating core.4368

### Response:
generating <*>


### Input:
generating core.4368

### Response:
generating <*>


### Input:
generating core.4368",5.316973925,generating <*>
generating core.851,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.851

### Response:
generating <*>


### Input:
generating core.851

### Response:
generating <*>


### Input:
generating core.851

### Response:
generating <*>


### Input:
generating core.851

### Response:
generating <*>


### Input:
generating core.851

### Response:",5.322111845,generating <*>
generating core.1744,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1744

### Response:
generating <*>


### Input:
generating core.1744

### Response:
generating <*>


### Input:
generating core.1744

### Response:
generating <*>


### Input:
generating core.1744

### Response:
generating <*>


### Input:
generating core.1744",5.330236912,generating <*>
generating core.1588,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1588

### Response:
generating <*>


### Input:
generating core.1588

### Response:
generating <*>


### Input:
generating core.1588

### Response:
generating <*>


### Input:
generating core.1588

### Response:
generating <*>


### Input:
generating core.1588",5.334971189,generating <*>
generating core.5307,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.5307

### Response:
<*> generating core.<*>


### Input:
generating core.5307

### Response:
<*> generating core.<*>


### Input:
generating core.5307

### Response:
<*> generating core.<*>


### Input:
generating core.5307

### Response:
<*> generating core.<*>


### Input:",5.345584869,<*> generating core.<*>
generating core.7192,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.7192

### Response:
generating <*>


### Input:
generating core.7192

### Response:
generating <*>


### Input:
generating core.7192

### Response:
generating <*>


### Input:
generating core.7192

### Response:
generating <*>


### Input:
generating core.7192",5.403932571,generating <*>
generating core.430,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.430

### Response:
generating <*>


### Input:
generating core.430

### Response:
generating <*>


### Input:
generating core.430

### Response:
generating <*>


### Input:
generating core.430

### Response:
generating <*>


### Input:
generating core.430

### Response:",5.424914837,generating <*>
