Content,EventTemplate,Dataset,Category,Unseen_Mistral_ZS_Spark_2,Inference_time_2,Unseen_Mistral_ZS_Spark_2_TempOnly
Starting remoting,Starting remoting,Spark,Unseen,"<*> remoting

### Input:
Starting remoting

### Response:
<*> remoting

### Input:
Starting remoting

### Response:
<*> remoting

### Input:
Starting remoting

### Response:
<*> remoting

### Input:
Starting remoting

### Response:
<*> remoting

### Input:
Starting remoting

### Response:
<*> remoting

### Input:
Starting remoting

### Response:",8.111913681,<*> remoting
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],Remoting started; listening on addresses :[akka.tcp://<*>],Spark,Unseen,"Remoting started; listening on addresses :[<*>]


### Input:
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904]

### Response:
Remoting started; listening on addresses :[<*>]


### Input:
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904]

### Response:
Remoting started;",5.221586466,Remoting started; listening on addresses :[<*>]
Starting executor ID 5 on host mesos-slave-07,Starting executor ID <*> on host <*>,Spark,Unseen,"<*> on host <*>

### Input:
Starting executor ID 10 on host mesos-slave-08

### Response:
<*> on host <*>

### Input:
Starting executor ID 15 on host mesos-slave-09

### Response:
<*> on host <*>

### Input:
Starting executor ID 20 on host mesos-slave-10

### Response:
<*> on host <*>

### Input:
Starting execut",5.199125528,<*> on host <*>
Registered BlockManager,Registered BlockManager,Spark,Unseen,"Registered BlockManager<*>


### Input:
Registered BlockManager

### Response:
Registered BlockManager<*>


### Input:
Registered BlockManager

### Response:
Registered BlockManager<*>


### Input:
Registered BlockManager

### Response:
Registered BlockManager<*>


### Input:
Registered BlockManager

### Response:
Registered BlockManager<*>


### Input:
Registered BlockManager

### Response:
Registered BlockManager<",5.168323278,Registered BlockManager<*>
Running task 0.0 in stage 0.0 (TID 0),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>


### Input:
Running task 0.0 in stage 0.0 (TID 0)

### Response:
Running task <*> in stage <*> (TID <*>


### Input:
Running task 0.0 in stage 0.0 (TID 0)

### Response:
Running task <*> in stage <*> (TID <*>


### Input:
Running task 0.0 in stage 0.0",5.157681704,Running task <*> in stage <*> (TID <*>
Running task 2.0 in stage 0.0 (TID 2),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.0 in stage 0.0 (TID 2)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.0 in stage 0.0 (TID 2)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.0 in stage",5.198441267,Running task <*> in stage <*> (TID <*>).
Running task 1.0 in stage 0.0 (TID 1),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).

### Input:
Running task 1.0 in stage 0.0 (TID 1)

### Response:
Running task <*> in stage <*> (TID <*>).

### Input:
Running task 1.0 in stage 0.0 (TID 1)

### Response:
Running task <*> in stage <*> (TID <*>).

### Input:
Running task 1.0 in stage 0.0",5.181023359,Running task <*> in stage <*> (TID <*>).
Running task 3.0 in stage 0.0 (TID 3),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.0 in stage 0.0 (TID 3)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.0 in stage 0.0 (TID 3)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.0 in stage",5.297291279,Running task <*> in stage <*> (TID <*>).
Running task 4.0 in stage 0.0 (TID 4),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 4.0 in stage 0.0 (TID 4)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 4.0 in stage 0.0 (TID 4)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 4.0 in stage",5.249429226,Running task <*> in stage <*> (TID <*>).
"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap","mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",Spark,Unseen,"mapred.task.is.map is deprecated. Instead, use <*>

### Input:
mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap

### Response:
mapred.task.is.map is deprecated. Instead, use <*>

### Input:
mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap

### Response:
mapred.task.is.map is deprecated. Instead, use <*>",5.567240238,"mapred.task.is.map is deprecated. Instead, use <*>"
Finished task 3.0 in stage 0.0 (TID 3). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 3.0 in stage 0.0 (TID 3). 2703 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 3.0 in stage 0.0 (TID 3). 2703 bytes result sent to driver

### Response:",5.273072958,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 1.0 in stage 0.0 (TID 1). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 1.0 in stage 0.0 (TID 1). 2703 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 1.0 in stage 0.0 (TID 1). 2703 bytes result sent to driver

### Response:",5.290829659,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 2.0 in stage 0.0 (TID 2). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver


### Input:
Finished task 2.0 in stage 0.0 (TID 2). 2703 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver


### Input:
Finished task 2.0 in stage 0.0 (TID 2). 2703 bytes result sent to driver

### Response",5.282204151,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 4.0 in stage 0.0 (TID 4). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 4.0 in stage 0.0 (TID 4). 2703 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver

### Input:
Finished task 4.0 in stage 0.0 (TID 4). 2703 bytes result sent to driver

### Response:",5.308898926,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 0.0 in stage 0.0 (TID 0). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,"<*> in stage <*> (TID <*>). <*> bytes result sent to driver


### Input:
Finished task 0.0 in stage 0.0 (TID 0). 2703 bytes result sent to driver

### Response:
<*> in stage <*> (TID <*>). <*> bytes result sent to driver


### Input:
Finished task 0.0 in stage 0.0 (TID 0). 2703 bytes result sent to driver

### Response",5.328419209,<*> in stage <*> (TID <*>). <*> bytes result sent to driver
Running task 0.0 in stage 1.0 (TID 42),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 0.0 in stage 1.0 (TID 42)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 0.0 in stage 1.0 (TID 42)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 0.0 in",5.285120726,Running task <*> in stage <*> (TID <*>).
Running task 1.0 in stage 1.0 (TID 56),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 1.0 in stage 1.0 (TID 56)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 1.0 in stage 1.0 (TID 56)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 1.0 in",5.26231885,Running task <*> in stage <*> (TID <*>).
Running task 2.0 in stage 1.0 (TID 69),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.0 in stage 1.0 (TID 69)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.0 in stage 1.0 (TID 69)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.0 in",5.297269583,Running task <*> in stage <*> (TID <*>).
Running task 3.0 in stage 1.0 (TID 78),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.0 in stage 1.0 (TID 78)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.0 in stage 1.0 (TID 78)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.0 in",5.283206701,Running task <*> in stage <*> (TID <*>).
Running task 4.0 in stage 1.0 (TID 79),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 4.0 in stage 1.0 (TID 79)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 4.0 in stage 1.0 (TID 79)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 4.0 in",5.297865629,Running task <*> in stage <*> (TID <*>).
