Content,EventTemplate,Dataset,Category,Unseen_Mistral_ZS_BGL_4,Inference_time_4,Unseen_Mistral_ZS_BGL_4_TempOnly
generating core.2275,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275",5.27520751953125,generating <*>
generating core.862,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:",5.2870848178863525,generating <*>
generating core.728,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.728

### Response:
generating <*>


### Input:
generating core.728

### Response:
generating <*>


### Input:
generating core.728

### Response:
generating <*>


### Input:
generating core.728

### Response:
generating <*>


### Input:
generating core.728

### Response:",5.2754998207092285,generating <*>
generating core.775,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.775

### Response:
<*> generating core.<*>


### Input:
generating core.775

### Response:
<*> generating core.<*>


### Input:
generating core.775

### Response:
<*> generating core.<*>


### Input:
generating core.775

### Response:
<*> generating core.<*>


### Input:
generating core",5.234354257583618,<*> generating core.<*>
generating core.3276,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276",5.216741800308228,generating <*>
generating core.1717,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717",5.245154857635498,generating <*>
generating core.3919,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919",5.2193684577941895,generating <*>
generating core.2079,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079",5.184633016586304,generating <*>
generating core.1414,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414",5.2884604930877686,generating <*>
generating core.3055,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055",5.2535789012908936,generating <*>
generating core.201,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.201

### Response:
generating <*>


### Input:
generating core.201

### Response:
generating <*>


### Input:
generating core.201

### Response:
generating <*>


### Input:
generating core.201

### Response:
generating <*>


### Input:
generating core.201

### Response:",5.2631425857543945,generating <*>
generating core.1125,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1125

### Response:
generating <*>


### Input:
generating core.1125

### Response:
generating <*>


### Input:
generating core.1125

### Response:
generating <*>


### Input:
generating core.1125

### Response:
generating <*>


### Input:
generating core.1125",5.239260196685791,generating <*>
generating core.412,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.412

### Response:
generating <*>


### Input:
generating core.412

### Response:
generating <*>


### Input:
generating core.412

### Response:
generating <*>


### Input:
generating core.412

### Response:
generating <*>


### Input:
generating core.412

### Response:",5.259403228759766,generating <*>
