Content,EventTemplate,Dataset,Category,Unseen_Mistral_ZS_BGL_5,Inference_time_5,Unseen_Mistral_ZS_BGL_5_TempOnly
generating core.2275,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275",5.268508672714233,generating <*>
generating core.862,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:",5.2793591022491455,generating <*>
generating core.728,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.728

### Response:
generating <*>


### Input:
generating core.728

### Response:
generating <*>


### Input:
generating core.728

### Response:
generating <*>


### Input:
generating core.728

### Response:
generating <*>


### Input:
generating core.728

### Response:",5.218771696090698,generating <*>
generating core.775,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.775

### Response:
<*> generating core.<*>


### Input:
generating core.775

### Response:
<*> generating core.<*>


### Input:
generating core.775

### Response:
<*> generating core.<*>


### Input:
generating core.775

### Response:
<*> generating core.<*>


### Input:
generating core",5.271931886672974,<*> generating core.<*>
generating core.3276,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276",5.243516683578491,generating <*>
generating core.1717,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717",5.249366044998169,generating <*>
generating core.3919,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919",5.176470279693604,generating <*>
generating core.2079,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079",5.228586912155151,generating <*>
generating core.1414,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414",5.220342397689819,generating <*>
generating core.3055,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055",5.1942970752716064,generating <*>
generating core.201,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.201

### Response:
generating <*>


### Input:
generating core.201

### Response:
generating <*>


### Input:
generating core.201

### Response:
generating <*>


### Input:
generating core.201

### Response:
generating <*>


### Input:
generating core.201

### Response:",5.221109390258789,generating <*>
generating core.1125,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1125

### Response:
generating <*>


### Input:
generating core.1125

### Response:
generating <*>


### Input:
generating core.1125

### Response:
generating <*>


### Input:
generating core.1125

### Response:
generating <*>


### Input:
generating core.1125",5.214879989624023,generating <*>
generating core.412,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.412

### Response:
generating <*>


### Input:
generating core.412

### Response:
generating <*>


### Input:
generating core.412

### Response:
generating <*>


### Input:
generating core.412

### Response:
generating <*>


### Input:
generating core.412

### Response:",5.237701177597046,generating <*>
generating core.7828,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.7828

### Response:
generating <*>


### Input:
generating core.7828

### Response:
generating <*>


### Input:
generating core.7828

### Response:
generating <*>


### Input:
generating core.7828

### Response:
generating <*>


### Input:
generating core.7828",5.201319932937622,generating <*>
generating core.5570,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.5570

### Response:
<*> generating core.<*>


### Input:
generating core.5570

### Response:
<*> generating core.<*>


### Input:
generating core.5570

### Response:
<*> generating core.<*>


### Input:
generating core.5570

### Response:
<*> generating core.<*>


### Input:",5.222571849822998,<*> generating core.<*>
generating core.8275,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.8275

### Response:
generating <*>


### Input:
generating core.8275

### Response:
generating <*>


### Input:
generating core.8275

### Response:
generating <*>


### Input:
generating core.8275

### Response:
generating <*>


### Input:
generating core.8275",5.191535234451294,generating <*>
generating core.4183,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.4183

### Response:
generating <*>


### Input:
generating core.4183

### Response:
generating <*>


### Input:
generating core.4183

### Response:
generating <*>


### Input:
generating core.4183

### Response:
generating <*>


### Input:
generating core.4183",5.189901113510132,generating <*>
generating core.6545,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.6545

### Response:
generating <*>


### Input:
generating core.6545

### Response:
generating <*>


### Input:
generating core.6545

### Response:
generating <*>


### Input:
generating core.6545

### Response:
generating <*>


### Input:
generating core.6545",5.202688932418823,generating <*>
generating core.4245,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.4245

### Response:
generating <*>


### Input:
generating core.4245

### Response:
generating <*>


### Input:
generating core.4245

### Response:
generating <*>


### Input:
generating core.4245

### Response:
generating <*>


### Input:
generating core.4245",5.177123785018921,generating <*>
generating core.6884,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.6884

### Response:
generating <*>


### Input:
generating core.6884

### Response:
generating <*>


### Input:
generating core.6884

### Response:
generating <*>


### Input:
generating core.6884

### Response:
generating <*>


### Input:
generating core.6884",5.2050981521606445,generating <*>
generating core.6471,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.6471

### Response:
generating <*>


### Input:
generating core.6471

### Response:
generating <*>


### Input:
generating core.6471

### Response:
generating <*>


### Input:
generating core.6471

### Response:
generating <*>


### Input:
generating core.6471",5.174811124801636,generating <*>
generating core.4155,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.4155

### Response:
generating <*>


### Input:
generating core.4155

### Response:
generating <*>


### Input:
generating core.4155

### Response:
generating <*>


### Input:
generating core.4155

### Response:
generating <*>


### Input:
generating core.4155",5.21453595161438,generating <*>
generating core.449,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.449

### Response:
generating <*>


### Input:
generating core.449

### Response:
generating <*>


### Input:
generating core.449

### Response:
generating <*>


### Input:
generating core.449

### Response:
generating <*>


### Input:
generating core.449

### Response:",5.182519674301148,generating <*>
generating core.6990,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.6990

### Response:
generating <*>


### Input:
generating core.6990

### Response:
generating <*>


### Input:
generating core.6990

### Response:
generating <*>


### Input:
generating core.6990

### Response:
generating <*>


### Input:
generating core.6990",5.203733205795288,generating <*>
