Content,EventTemplate,Dataset,Category,Unseen_Mistral_ZS_BGL_3,Inference_time_3,Unseen_Mistral_ZS_BGL_3_TempOnly
generating core.2275,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275",5.277683258056641,generating <*>
generating core.862,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:",5.241272687911987,generating <*>
generating core.728,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.728

### Response:
generating <*>


### Input:
generating core.728

### Response:
generating <*>


### Input:
generating core.728

### Response:
generating <*>


### Input:
generating core.728

### Response:
generating <*>


### Input:
generating core.728

### Response:",5.218332052230835,generating <*>
generating core.775,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.775

### Response:
<*> generating core.<*>


### Input:
generating core.775

### Response:
<*> generating core.<*>


### Input:
generating core.775

### Response:
<*> generating core.<*>


### Input:
generating core.775

### Response:
<*> generating core.<*>


### Input:
generating core",5.239711284637451,<*> generating core.<*>
generating core.3276,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276",5.113903045654297,generating <*>
generating core.1717,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717",5.179757595062256,generating <*>
generating core.3919,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919",5.168518781661987,generating <*>
generating core.2079,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079",5.240396499633789,generating <*>
generating core.1414,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414",5.1370530128479,generating <*>
generating core.3055,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055",5.235239267349243,generating <*>
