Content,EventTemplate,Dataset,Category,New_Mistral_ZS_HPC_3,Inference_time_3,New_Mistral_ZS_HPC_3_TempOnly
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>).

### Input:
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973)

### Response:
Component State Change: Component <",7.906539678573608,Component State Change: Component <*> is in the unavailable state (HWID=<*>).
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180)

### Response",5.268002033233643,Component State Change: Component <*> is in the unavailable state (HWID=<*>
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089)

### Response",5.315902948379517,Component State Change: Component <*> is in the <*> state (HWID=<*>
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088)

### Response",5.289405107498169,Component State Change: Component <*> is in the <*> state (HWID=<*>
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538)

### Response",5.293883085250855,Component State Change: Component <*> is in the <*> state (HWID=<*>
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480)

### Response",5.329981327056885,Component State Change: Component <*> is in the <*> state (HWID=<*>
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713)

### Response",5.337050914764404,Component State Change: Component <*> is in the <*> state (HWID=<*>
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891)

### Response",5.308300971984863,Component State Change: Component <*> is in the unavailable state (HWID=<*>
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478)

### Response",5.318650245666504,Component State Change: Component <*> is in the unavailable state (HWID=<*>
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969)

### Response",5.282827377319336,Component State Change: Component <*> is in the <*> state (HWID=<*>
