Content,EventTemplate,Dataset,Category,Unseen_Mistral_ZS_Thunderbird_3,Inference_time_3,Unseen_Mistral_ZS_Thunderbird_3_TempOnly
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


###",5.21610689163208,session opened for <*> by (uid=<*>
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


###",5.210180997848511,session opened for <*> by (uid=<*>
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


###",5.190297603607178,session opened for <*> by (uid=<*>
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


###",5.221432447433472,session opened for <*> by (uid=<*>
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


###",5.226776361465454,session opened for <*> by (uid=<*>
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


###",5.230393886566162,session opened for <*> by (uid=<*>
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


###",5.2135045528411865,session opened for <*> by (uid=<*>
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


###",5.232527017593384,session opened for <*> by (uid=<*>
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


###",5.208369731903076,session opened for <*> by (uid=<*>
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


### Input:
session opened for user root by (uid=0)

### Response:
session opened for <*> by (uid=<*>


###",5.172043085098267,session opened for <*> by (uid=<*>
