Content,EventTemplate,Dataset,Category,New_Mistral_ZS_HPC_2,Inference_time_2,New_Mistral_ZS_HPC_2_TempOnly
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>).

### Input:
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973)

### Response:
Component State Change: Component <",9.636664867401125,Component State Change: Component <*> is in the unavailable state (HWID=<*>).
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180)

### Response",5.476659059524536,Component State Change: Component <*> is in the <*> state (HWID=<*>
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089)

### Response",5.388627052307129,Component State Change: Component <*> is in the unavailable state (HWID=<*>
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088)

### Response",5.416678428649902,Component State Change: Component <*> is in the <*> state (HWID=<*>
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538)

### Response",5.441519975662232,Component State Change: Component <*> is in the <*> state (HWID=<*>
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480)

### Response",5.511930227279663,Component State Change: Component <*> is in the unavailable state (HWID=<*>
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713)

### Response",5.400749206542969,Component State Change: Component <*> is in the <*> state (HWID=<*>
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891)

### Response",5.394887208938599,Component State Change: Component <*> is in the <*> state (HWID=<*>
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478)

### Response",5.364810228347778,Component State Change: Component <*> is in the <*> state (HWID=<*>
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969)

### Response",5.4333271980285645,Component State Change: Component <*> is in the <*> state (HWID=<*>
