Content,EventTemplate,Dataset,Category,New_Mistral_ZS_HPC_5,Inference_time_5,New_Mistral_ZS_HPC_5_TempOnly
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>).

### Input:
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973)

### Response:
Component State Change: Component <",5.3363776206970215,Component State Change: Component <*> is in the unavailable state (HWID=<*>).
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180)

### Response",5.358986854553223,Component State Change: Component <*> is in the unavailable state (HWID=<*>
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089)

### Response",5.302422285079956,Component State Change: Component <*> is in the <*> state (HWID=<*>
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088)

### Response",5.327723503112793,Component State Change: Component <*> is in the <*> state (HWID=<*>
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538)

### Response",5.298968553543091,Component State Change: Component <*> is in the <*> state (HWID=<*>
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480)

### Response",5.308065176010132,Component State Change: Component <*> is in the <*> state (HWID=<*>
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713)

### Response",5.243863821029663,Component State Change: Component <*> is in the <*> state (HWID=<*>
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891)

### Response",5.266300439834595,Component State Change: Component <*> is in the unavailable state (HWID=<*>
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478)

### Response",5.265526533126831,Component State Change: Component <*> is in the unavailable state (HWID=<*>
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969)

### Response",5.263312578201294,Component State Change: Component <*> is in the <*> state (HWID=<*>
