Content,EventTemplate,Dataset,Category,Unseen_Mistral_ZS_Spark_1,Inference_time_1,Unseen_Mistral_ZS_Spark_1_TempOnly
Starting remoting,Starting remoting,Spark,Unseen,"<*> remoting

### Input:
Starting remoting

### Response:
<*> remoting

### Input:
Starting remoting

### Response:
<*> remoting

### Input:
Starting remoting

### Response:
<*> remoting

### Input:
Starting remoting

### Response:
<*> remoting

### Input:
Starting remoting

### Response:
<*> remoting

### Input:
Starting remoting

### Response:",8.091752290725708,<*> remoting
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],Remoting started; listening on addresses :[akka.tcp://<*>],Spark,Unseen,"Remoting started; listening on addresses :[<*>]


### Input:
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904]

### Response:
Remoting started; listening on addresses :[<*>]


### Input:
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904]

### Response:
Remoting started;",5.211608409881592,Remoting started; listening on addresses :[<*>]
Starting executor ID 5 on host mesos-slave-07,Starting executor ID <*> on host <*>,Spark,Unseen,"<*> on host <*>

### Input:
Starting executor ID 10 on host mesos-slave-08

### Response:
<*> on host <*>

### Input:
Starting executor ID 15 on host mesos-slave-09

### Response:
<*> on host <*>

### Input:
Starting executor ID 20 on host mesos-slave-10

### Response:
<*> on host <*>

### Input:
Starting execut",5.280375480651856,<*> on host <*>
Registered BlockManager,Registered BlockManager,Spark,Unseen,"Registered BlockManager<*>


### Input:
Registered BlockManager

### Response:
Registered BlockManager<*>


### Input:
Registered BlockManager

### Response:
Registered BlockManager<*>


### Input:
Registered BlockManager

### Response:
Registered BlockManager<*>


### Input:
Registered BlockManager

### Response:
Registered BlockManager<*>


### Input:
Registered BlockManager

### Response:
Registered BlockManager<",5.191417455673218,Registered BlockManager<*>
Running task 0.0 in stage 0.0 (TID 0),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>


### Input:
Running task 0.0 in stage 0.0 (TID 0)

### Response:
Running task <*> in stage <*> (TID <*>


### Input:
Running task 0.0 in stage 0.0 (TID 0)

### Response:
Running task <*> in stage <*> (TID <*>


### Input:
Running task 0.0 in stage 0.0",5.220233201980591,Running task <*> in stage <*> (TID <*>
Running task 2.0 in stage 0.0 (TID 2),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.0 in stage 0.0 (TID 2)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.0 in stage 0.0 (TID 2)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.0 in stage",5.165838479995728,Running task <*> in stage <*> (TID <*>).
Running task 1.0 in stage 0.0 (TID 1),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).

### Input:
Running task 1.0 in stage 0.0 (TID 1)

### Response:
Running task <*> in stage <*> (TID <*>).

### Input:
Running task 1.0 in stage 0.0 (TID 1)

### Response:
Running task <*> in stage <*> (TID <*>).

### Input:
Running task 1.0 in stage 0.0",5.148466348648071,Running task <*> in stage <*> (TID <*>).
Running task 3.0 in stage 0.0 (TID 3),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.0 in stage 0.0 (TID 3)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.0 in stage 0.0 (TID 3)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.0 in stage",5.238467216491699,Running task <*> in stage <*> (TID <*>).
Running task 4.0 in stage 0.0 (TID 4),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 4.0 in stage 0.0 (TID 4)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 4.0 in stage 0.0 (TID 4)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 4.0 in stage",5.213844299316406,Running task <*> in stage <*> (TID <*>).
"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap","mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",Spark,Unseen,"mapred.task.is.map is deprecated. Instead, use <*>

### Input:
mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap

### Response:
mapred.task.is.map is deprecated. Instead, use <*>

### Input:
mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap

### Response:
mapred.task.is.map is deprecated. Instead, use <*>",5.258567810058594,"mapred.task.is.map is deprecated. Instead, use <*>"
