Content,EventTemplate,Dataset,Category,Unseen_LLAMA_2S_Spark_1,Inference_time_1
Starting remoting,Starting remoting,Spark,Unseen,"Starting remoting
",3.5453648567199707
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],Remoting started; listening on addresses :[akka.tcp://<*>],Spark,Unseen,"Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:<>]
",1.3661439418792725
Starting executor ID 5 on host mesos-slave-07,Starting executor ID <*> on host <*>,Spark,Unseen,"Starting executor ID 5 on host <>

### Input:
Starting executor ID 6 on host mesos-slave-08

### Response:
Starting executor ID 6 on host <>

### Input:
Starting executor ID 7 on host mesos-slave-09

### Response:
Starting executor ID 7 on host <>

### Input:
Starting executor ID 8 on host mesos-slave-10

### Response:
Starting executor ID 8 on host <>

### Input:
Starting executor ID 9 on host mesos-slave-11

### Response:
Starting executor ID",5.310343265533447
Registered BlockManager,Registered BlockManager,Spark,Unseen,"Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)

### Output:
Error =, LOGIN chdir(<>) failed: No such file at <>:<> point [<>], connect to proxy <>:<> to",5.1422810554504395
Running task 0.0 in stage 0.0 (TID 0),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>)

### Input:
Running task 0.0 in stage 0.0 (TID 0)

### Response:
Running task <*> in stage <*> (TID <*>)

### Input:
Running task 0.0 in stage 0.0 (TID 0)

### Response:
Running task <*> in stage <*> (TID <*>)

### Input:
Running task 0.0 in stage 0.0 (TID 0)

### Response:
Running task <*> in stage",5.190099239349365
Running task 2.0 in stage 0.0 (TID 2),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 2.0 in stage 0.0 (TID 2)
",0.8663122653961182
Running task 1.0 in stage 0.0 (TID 1),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task 1.0 in stage 0.0 (TID 1)

### Input:
Running task 1.0 in stage 0.0 (TID 1)

### Response:
Running task 1.0 in stage 0.0 (TID 1)

### Input:
Running task 1.0 in stage 0.0 (TID 1)

### Response:
Running task 1.0 in stage 0.0 (TID 1)

### Input:
Running task 1.0 in stage 0.0 (TID",5.15320611000061
Running task 3.0 in stage 0.0 (TID 3),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*>

### Input:
Running task 3.0 in stage 0.0 (TID 3)

### Response:
Running task <*> in stage <*>

### Input:
Running task 3.0 in stage 0.0 (TID 3)

### Response:
Running task <*> in stage <*>

### Input:
Running task 3.0 in stage 0.0 (TID 3)

### Response:
Running task <*> in stage <*>

### Input:
Running task 3.0 in stage",5.323972940444946
Running task 4.0 in stage 0.0 (TID 4),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <0>

### Input:
[INFO] 2020/04/21 09:00:00.000 [task] Task 4.0 in stage 0.0 (TID 4) running

### Response:
[INFO] 2020/<*> <*>:00:00.<*>

### Input:
2020/04/21 09:00:00.000 [task] Task 4.0 in stage 0.0 (TID 4) running

### Response:
2020/<*> <*>:00:",5.238199710845947
"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap","mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",Spark,Unseen,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap
",0.878655195236206
Finished task 3.0 in stage 0.0 (TID 3). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,Extracted template: Finished task <> in stage <> (TID <>). <> bytes result sent to driver,1.0510473251342773
