Content,EventTemplate,Dataset,Category,New_LLAMA_2S_HDFS_4,Inference_time_4
PacketResponder 1 for block blk_38865049064139660 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block <*> terminating
",0.45639777183532715
PacketResponder 0 for block blk_-6952295868487656571 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"Extracted template: PacketResponder <*> for block blk_<*> terminating

### Input:
PacketResponder 0 for block blk_-6952295868487656571 terminating

### Response:
Extracted template: PacketResponder <*> for block blk_<*> terminating
",2.2946736812591553
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,1.117194414138794
PacketResponder 2 for block blk_8229193803249955061 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 1 for block blk_8229193803249955061 terminating

### Response:
PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 3 for block blk_8229193803249955061 terminating

### Response:
PacketResponder <*> for block <*> terminating
",3.1196131706237793
PacketResponder 2 for block blk_-6670958622368987959 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"Extracted template: PacketResponder <*> for block blk_<*> terminating
",0.730644702911377
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
",1.1182172298431396
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*><*>:<*> is added to blk_<*> size <*>
",1.209404468536377
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,1.0923597812652588
PacketResponder 2 for block blk_572492839287299681 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder 2 for block <*>
",0.4441070556640625
Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,Received block <*> of size <*> from <*>,HDFS,New,"Extracted template: Received block <*> of size <*> from <*>
",0.6611146926879883
Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,Received block <*> of size <*> from <*>,HDFS,New,Extracted template: Received block <*> of size <*> from <*>,0.6541299819946289
Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,"Extracted template: Receiving block <*> src: <*> dest: <*>


### Input:
Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010

### Response:
Extracted template: Receiving block <*> src: <*> dest: <*>


### Input:
Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010

### Response:",5.202787637710571
Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,Extracted template: Receiving block <*> src: <*> dest: <*>,0.69419264793396
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
",1.1133687496185303
Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,"Extracted template: Receiving block <*> src: <*>:<*> dest: <*>:<*>
",0.910163402557373
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100,BLOCK* NameSystem.allocateBlock: <*> <*>,HDFS,New,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_<*>,1.695793628692627
PacketResponder 1 for block blk_5017373558217225674 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"Extracted template: PacketResponder <*> for block <*> terminating
",0.6366720199584961
Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1,Received block <*> of size <*> from <*>,HDFS,New,"blk_9212264480425680329, 67108864, /10.251.123.1
",1.1393334865570068
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702,BLOCK* NameSystem.allocateBlock: <*> <*>,HDFS,New,"BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_<*>

### Input:
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702

### Response:
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-007",5.077646970748901
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130:50010 is added to blk_4568434182693165548 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,1.096104621887207
Received block blk_-5704899712662113150 of size 67108864 from /10.251.91.229,Received block <*> of size <*> from <*>,HDFS,New,"Extracted template: Received block blk_-<*> of size <*>
",0.7088501453399658
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_-4794867979917102672 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
",1.1073665618896484
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.197:50010 is added to blk_8763662564934652249 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,1.1033079624176025
Received block blk_-5861636720645142679 of size 67108864 from /10.251.70.211,Received block <*> of size <*> from <*>,HDFS,New,Extracted template: Received block <*> of size <*> from <*>,0.604423999786377
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.134:50010 is added to blk_7453815855294711849 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,1.0671381950378418
Receiving block blk_-28342503914935090 src: /10.251.123.132:57542 dest: /10.251.123.132:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,Extracted template: Receiving block <*> src: <*> dest: <*>,0.6972982883453369
Received block blk_8291449241650212794 of size 67108864 from /10.251.89.155,Received block <*> of size <*> from <*>,HDFS,New,Extracted template: Received block blk_<> of size <*> from <*>,0.7006452083587646
