Content,EventTemplate,Dataset,Category,New_LLAMA_2S_HPC_2,Inference_time_2
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component \042<*>:<>:<>:<>:<>:<>:<>:<>\042 is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973)

### Response:
Component State Change: Component \042<*>:<>:<>:<>:<>:<>:<>:",5.177385091781616
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Extracted template: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180)

### Response:
Extracted template: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180)

### Response:
Extracted template: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt",5.183684825897217
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt",5.135867357254028
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Event ID 1: 2017-05-23 16:08:01,000 [0x0000000000000000] - [0x0000000000000000] - [0x0000000000000000] - [0x0000000000000000] - [0x0000000000000000] - [0x0000000000000000] - [0x0000000000000000] - [0x",5.15566873550415
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt",5.112292766571045
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Extracted template: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480)

### Response:
Extracted template: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480)

### Response:
Extracted template: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt",5.1931939125061035
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)
",0.8261902332305908
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component \042<*> \042 is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the available state (HWID=3891)

### Response:
Component State Change: Component \042<*> \042 is in the available state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891)

### Response:
Component State Change: Component \042<*> \042 is in the unavailable state (HW",5.112411260604858
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*>\042 is in the unavailable state (HWID=<*>),0.9115219116210938
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt",5.12360954284668
