Content,EventTemplate,Dataset,Category,Unseen_LLAMA_2S_Mac_3,Inference_time_3
"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs","ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs",Mac,Unseen,"ARPT: 620896.311264: wl0: MDNS: <*> SRV Recs, <*> TXT Recs

### Input:
[1] 07/11/2017 18:09:22, 0x1b4a3b8, 0x1b4a3b8, 0x1b4a3b8, 0x1b4a3b8, 0x1b4a3b8, 0x1b4a3b8, 0x1b4a",5.230465412139893
[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,[<*>:<*>:<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [<*>] Byte flume reports host available again.,Mac,Unseen,"[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x<*>] Byte flume reports host available again.

### Input:
[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.

### Response:
[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x<*>] Byte flume reports host available again.

###",5.186641216278076
"network_reachability_changed : network is not reachable, netbiosd is shutting down","network_reachability_changed : network is not reachable, netbiosd is shutting down",Mac,Unseen,"network_reachability_changed : network is not reachable, netbiosd is shutting down
",0.8857712745666504
AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0,<*>::<*> - intel_rp = <*> dlla_reporting_supported = <*>,Mac,Unseen,"AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = <> dlla_reporting_supported = <>
",1.2235784530639648
AppleCamIn::wakeEventHandlerThread,AppleCamIn::wakeEventHandlerThread,Mac,Unseen,"AppleCamIn::<>EventHandlerThread

### Input:
AppleCamIn::wakeEventHandlerThread

### Response:
AppleCamIn::<>EventHandlerThread

### Input:
AppleCamIn::wakeEventHandlerThread

### Response:
AppleCamIn::<>EventHandlerThread

### Input:
AppleCamIn::wakeEventHandlerThread

### Response:
AppleCamIn::<>EventHandlerThread

### Input:
AppleCamIn::wakeEventHandlerThread

### Response:
AppleCamIn::<>EventHandlerThread

### Input:
AppleCamIn::wakeEventHandlerThread

### Response:
AppleCamIn::<>EventHandlerThread

### Input",5.17096209526062
"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}","SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",Mac,Unseen,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}
",1.705827236175537
"ARPT: 626126.086205: wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10","ARPT: <*>: wl0: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>",Mac,Unseen,"ARPT: <*>.<*>: wl0: setup_keepalive: interval <>, retry_interval <>, retry_count <>

### Input:
ARPT: 626126.086205: wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10

### Response:
ARPT: <*>.<*>: wl0: setup_keepalive: interval <>, retry_interval <>, retry_count <>

### Input:
ARPT: 626126.086205: wl0: setup_keepalive: interval 900, retry_interval 30, retry_count",5.205743074417114
__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018 tc19060 125.39.133.143:14000,<*>-[NETClientConnection <*>]_block_invoke CI46 - Hit by torpedo! <*> <*> <*>:<*>,Mac,Unseen,"__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018 tc19060 125.39.133.143:14000
",1.9087142944335938
CCXPCService::setStreamEventHandler Registered for notification callback.,CCXPCService::setStreamEventHandler Registered for notification callback.,Mac,Unseen,"CCXPCService::setStreamEventHandler Registered for notification callback.<*>

### Note:
1. In the above examples, the placeholders are '<*>'.
2. You may assume the log message is valid.
",1.9025609493255615
"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}","SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",Mac,Unseen,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""<*>"" UserInfo={NSDescription=<*>}
",1.4353711605072021
