Content,EventTemplate,Dataset,Category,New_Mistral_FT_HPC_4,Inference_time_4
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.4294228553771973
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.4085593223571777
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.417607307434082
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.4285080432891846
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.4221220016479492
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.427774429321289
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.4114511013031006
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.4038689136505127
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.4112498760223389
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.401648998260498
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.437307357788086
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.4283969402313232
clusterAddMember  (command 1902),clusterAddMember (command <*>),HPC,New,clusterAddMember (command <*>),0.6745376586914062
clusterAddMember  (command 1900),clusterAddMember (command <*>),HPC,New,clusterAddMember (command <*>),0.6730978488922119
risBoot  (command 1903),risBoot (command <*>),HPC,New,risBoot (command <*>),0.6169426441192627
bootGenvmunix  (command 1903),bootGenvmunix (command <*>),HPC,New,bootGenvmunix (command <*>),0.8037288188934326
boot  (command 1911),boot (command <*>),HPC,New,boot (command <*>),0.5489661693572998
boot  (command 1910),boot (command <*>),HPC,New,boot (command <*>),0.5515100955963135
boot  (command 1978),boot (command <*>),HPC,New,boot (command <*>),0.556990385055542
boot  (command 1967),boot (command <*>),HPC,New,boot (command <*>),0.5546629428863525
wait  (command 1975),wait (command <*>),HPC,New,wait (command <*>),0.550701379776001
boot  (command 1999),boot (command <*>),HPC,New,boot (command <*>),0.5520894527435303
halt  (command 1982),halt (command <*>),HPC,New,halt (command <*>),0.5568225383758545
boot  (command 1981),boot (command <*>),HPC,New,boot (command <*>),0.5511047840118408
boot  (command 1973),boot (command <*>),HPC,New,boot (command <*>),0.5551493167877197
wait  (command 1973),wait (command <*>),HPC,New,wait (command <*>),0.5539867877960205
wait  (command 2057),wait (command <*>),HPC,New,wait (command <*>),0.5438241958618164
boot  (command 2152),boot (command <*>),HPC,New,boot (command <*>),0.5652382373809814
wait  (command 2154),wait (command <*>),HPC,New,wait (command <*>),0.56005859375
boot  (command 2141),boot (command <*>),HPC,New,boot (command <*>),0.5582013130187988
boot  (command 2110),boot (command <*>),HPC,New,boot (command <*>),0.5501205921173096
boot  (command 2160),boot (command <*>),HPC,New,boot (command <*>),0.5558497905731201
halt  (command 2221),halt (command <*>),HPC,New,halt (command <*>),0.5573527812957764
wait  (command 2217),wait (command <*>),HPC,New,wait (command <*>),0.5536782741546631
wait  (command 2217),wait (command <*>),HPC,New,wait (command <*>),0.5516223907470703
wait  (command 2201),wait (command <*>),HPC,New,wait (command <*>),0.5430388450622559
wait  (command 2199),wait (command <*>),HPC,New,wait (command <*>),0.5506787300109863
