Content,EventTemplate,Dataset,Category,Unseen_Mistral_FT_BGL_3,Inference_time_3
generating core.2275,generating core.<*>,BGL,Unseen,generating core.<*>,0.49202942848205566
generating core.862,generating core.<*>,BGL,Unseen,generating core.<*>,0.49021458625793457
generating core.728,generating core.<*>,BGL,Unseen,generating core.<*>,0.49377942085266113
generating core.775,generating core.<*>,BGL,Unseen,generating core.<*>,0.4934368133544922
generating core.3276,generating core.<*>,BGL,Unseen,generating core.<*>,0.49303722381591797
generating core.1717,generating core.<*>,BGL,Unseen,generating core.<*>,0.4946303367614746
generating core.3919,generating core.<*>,BGL,Unseen,generating core.<*>,0.4941375255584717
generating core.2079,generating core.<*>,BGL,Unseen,generating core.<*>,0.49254941940307617
generating core.1414,generating core.<*>,BGL,Unseen,generating core.<*>,0.4879801273345947
generating core.3055,generating core.<*>,BGL,Unseen,generating core.<*>,0.491008996963501
generating core.201,generating core.<*>,BGL,Unseen,generating core.<*>,0.4993898868560791
generating core.1125,generating core.<*>,BGL,Unseen,generating core.<*>,0.49939513206481934
generating core.412,generating core.<*>,BGL,Unseen,generating core.<*>,0.49582886695861816
generating core.7828,generating core.<*>,BGL,Unseen,generating core.<*>,0.4955599308013916
generating core.5570,generating core.<*>,BGL,Unseen,generating core.<*>,0.4868652820587158
generating core.8275,generating core.<*>,BGL,Unseen,generating core.<*>,0.49306321144104004
generating core.4183,generating core.<*>,BGL,Unseen,generating core.<*>,0.4921901226043701
generating core.6545,generating core.<*>,BGL,Unseen,generating core.<*>,0.4897899627685547
generating core.4245,generating core.<*>,BGL,Unseen,generating core.<*>,0.4884214401245117
generating core.6884,generating core.<*>,BGL,Unseen,generating core.<*>,0.48954272270202637
generating core.6471,generating core.<*>,BGL,Unseen,generating core.<*>,0.49261045455932617
generating core.4155,generating core.<*>,BGL,Unseen,generating core.<*>,0.49385643005371094
generating core.449,generating core.<*>,BGL,Unseen,generating core.<*>,0.4918179512023926
