Content,EventTemplate,Dataset,Category,New_Mistral_FT_HPC_3,Inference_time_3
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.4243628978729248
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.4184825420379639
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.4202544689178467
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.4196298122406006
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.439621925354004
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.4280154705047607
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.426257610321045
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.443786382675171
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.431169033050537
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.4219210147857666
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.428123950958252
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.4307754039764404
clusterAddMember  (command 1902),clusterAddMember (command <*>),HPC,New,clusterAddMember (command <*>),0.6867561340332031
clusterAddMember  (command 1900),clusterAddMember (command <*>),HPC,New,clusterAddMember (command <*>),0.6851701736450195
risBoot  (command 1903),risBoot (command <*>),HPC,New,risBoot (command <*>),0.6153409481048584
bootGenvmunix  (command 1903),bootGenvmunix (command <*>),HPC,New,bootGenvmunix (command <*>),0.8061590194702148
boot  (command 1911),boot (command <*>),HPC,New,boot (command <*>),0.5578973293304443
boot  (command 1910),boot (command <*>),HPC,New,boot (command <*>),0.5557441711425781
boot  (command 1978),boot (command <*>),HPC,New,boot (command <*>),0.5528404712677002
boot  (command 1967),boot (command <*>),HPC,New,boot (command <*>),0.5589056015014648
wait  (command 1975),wait (command <*>),HPC,New,wait (command <*>),0.5657966136932373
boot  (command 1999),boot (command <*>),HPC,New,boot (command <*>),0.5598673820495605
halt  (command 1982),halt (command <*>),HPC,New,halt (command <*>),0.5590343475341797
boot  (command 1981),boot (command <*>),HPC,New,boot (command <*>),0.5518074035644531
boot  (command 1973),boot (command <*>),HPC,New,boot (command <*>),0.5567672252655029
wait  (command 1973),wait (command <*>),HPC,New,wait (command <*>),0.5563490390777588
wait  (command 2057),wait (command <*>),HPC,New,wait (command <*>),0.556175708770752
boot  (command 2152),boot (command <*>),HPC,New,boot (command <*>),0.5520586967468262
wait  (command 2154),wait (command <*>),HPC,New,wait (command <*>),0.5541954040527344
boot  (command 2141),boot (command <*>),HPC,New,boot (command <*>),0.5542349815368652
boot  (command 2110),boot (command <*>),HPC,New,boot (command <*>),0.5535097122192383
boot  (command 2160),boot (command <*>),HPC,New,boot (command <*>),0.5554137229919434
halt  (command 2221),halt (command <*>),HPC,New,halt (command <*>),0.5565006732940674
wait  (command 2217),wait (command <*>),HPC,New,wait (command <*>),0.5536911487579346
wait  (command 2217),wait (command <*>),HPC,New,wait (command <*>),0.5571737289428711
