Content,EventTemplate,Dataset,Category,New_LLAMA_FT_HPC_4,Inference_time_4
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),4.668768882751465
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1476988792419434
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.141685962677002
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1453027725219727
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>,1.0847325325012207
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1516201496124268
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>,1.0987823009490967
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1566638946533203
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>,1.0897207260131836
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.151491403579712
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1772053241729736
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1479105949401855
clusterAddMember  (command 1902),clusterAddMember (command <*>),HPC,New,clusterAddMember <*> (command <*>),0.693091869354248
clusterAddMember  (command 1900),clusterAddMember (command <*>),HPC,New,clusterAddMember <*> (command <*>),0.6058111190795898
risBoot  (command 1903),risBoot (command <*>),HPC,New,risBoot  (command <*>,0.4860084056854248
bootGenvmunix  (command 1903),bootGenvmunix (command <*>),HPC,New,bootGenvmunix  (command <*>),0.7289972305297852
boot  (command 1911),boot (command <*>),HPC,New,boot  (command <*>),0.4894688129425049
boot  (command 1910),boot (command <*>),HPC,New,boot  (command <*>),0.48622846603393555
boot  (command 1978),boot (command <*>),HPC,New,boot  (command <*>),0.48830413818359375
boot  (command 1967),boot (command <*>),HPC,New,boot  (command <*>),0.49284863471984863
wait  (command 1975),wait (command <*>),HPC,New,wait  (command <*>),0.48902463912963867
boot  (command 1999),boot (command <*>),HPC,New,boot  (command <*>),0.49167776107788086
halt  (command 1982),halt (command <*>),HPC,New,halt  (command <*>,0.42742133140563965
boot  (command 1981),boot (command <*>),HPC,New,boot  (command <*>),0.4856257438659668
boot  (command 1973),boot (command <*>),HPC,New,boot  (command <*>),0.4859931468963623
wait  (command 1973),wait (command <*>),HPC,New,wait  (command <*>),0.487656831741333
wait  (command 2057),wait (command <*>),HPC,New,wait  (command <*>),0.48476505279541016
boot  (command 2152),boot (command <*>),HPC,New,boot  (command <*>),0.48798203468322754
wait  (command 2154),wait (command <*>),HPC,New,wait  (command <*>),0.4952840805053711
boot  (command 2141),boot (command <*>),HPC,New,boot  (command <*>),0.49535608291625977
boot  (command 2110),boot (command <*>),HPC,New,boot  (command <*>),0.5278871059417725
boot  (command 2160),boot (command <*>),HPC,New,boot  (command <*>,0.4918355941772461
halt  (command 2221),halt (command <*>),HPC,New,halt  (command <*>),0.5016019344329834
wait  (command 2217),wait (command <*>),HPC,New,wait  (command <*>),0.5218369960784912
wait  (command 2217),wait (command <*>),HPC,New,wait  (command <*>),0.5014908313751221
wait  (command 2201),wait (command <*>),HPC,New,wait  (command <*>),0.5131566524505615
wait  (command 2199),wait (command <*>),HPC,New,,0.518258810043335
boot  (command 2183),boot (command <*>),HPC,New,boot  (command <*>),0.498629093170166
wait  (command 2189),wait (command <*>),HPC,New,wait  (command <*>),0.49008631706237793
wait  (command 2302),wait (command <*>),HPC,New,wait  (command <*>,0.43111681938171387
wait  (command 2270),wait (command <*>),HPC,New,wait  (command <*>,0.42859387397766113
wait  (command 2257),wait (command <*>),HPC,New,wait  (command <*>),0.49149489402770996
boot  (command 2257),boot (command <*>),HPC,New,boot  (command <*>),0.49395012855529785
boot  (command 2316),boot (command <*>),HPC,New,boot  (command <*>,0.43676137924194336
boot  (command 2316),boot (command <*>),HPC,New,boot  (command <*>),0.4941251277923584
wait  (command 2322),wait (command <*>),HPC,New,wait  (command <*>),0.496549129486084
wait  (command 2354),wait (command <*>),HPC,New,wait  (command <*>),0.4891188144683838
wait  (command 2347),wait (command <*>),HPC,New,,0.4934523105621338
boot  (command 2368),boot (command <*>),HPC,New,boot  (command <*>),0.48854947090148926
boot  (command 2392),boot (command <*>),HPC,New,boot  (command <*>),0.49408817291259766
boot  (command 2406),boot (command <*>),HPC,New,boot  (command <*>),0.4874138832092285
boot  (command 2417),boot (command <*>),HPC,New,boot  (command <*>),0.4918205738067627
boot  (command 2423),boot (command <*>),HPC,New,boot  (command <*>),0.5038728713989258
wait  (command 2424),wait (command <*>),HPC,New,wait  (command <*>),0.4978485107421875
wait  (command 2449),wait (command <*>),HPC,New,wait  (command <*>),0.49921679496765137
boot  (command 2464),boot (command <*>),HPC,New,boot  (command <*>),0.500091552734375
wait  (command 2468),wait (command <*>),HPC,New,,0.4909360408782959
boot  (command 2520),boot (command <*>),HPC,New,boot  (command <*>),0.49279260635375977
wait  (command 2517),wait (command <*>),HPC,New,wait  (command <*>),0.4905080795288086
boot  (command 2517),boot (command <*>),HPC,New,boot  (command <*>),0.4939241409301758
wait  (command 2511),wait (command <*>),HPC,New,wait  (command <*>),0.4896547794342041
wait  (command 2513),wait (command <*>),HPC,New,wait  (command <*>,0.4259679317474365
boot  (command 2514),boot (command <*>),HPC,New,boot  (command <*>),0.47908663749694824
wait  (command 2484),wait (command <*>),HPC,New,wait  (command <*>,0.43054819107055664
boot  (command 2625),boot (command <*>),HPC,New,boot  (command <*>),0.48383116722106934
wait  (command 2607),wait (command <*>),HPC,New,wait  (command <*>),0.48439598083496094
boot  (command 2616),boot (command <*>),HPC,New,boot  (command <*>),0.4899477958679199
boot  (command 2619),boot (command <*>),HPC,New,boot  (command <*>),0.4886445999145508
boot  (command 2616),boot (command <*>),HPC,New,boot  (command <*>),0.4965643882751465
boot  (command 2616),boot (command <*>),HPC,New,boot  (command <*>),0.4874129295349121
boot  (command 2602),boot (command <*>),HPC,New,boot  (command <*>),0.48894238471984863
wait  (command 2582),wait (command <*>),HPC,New,wait  (command <*>),0.48665738105773926
boot  (command 2584),boot (command <*>),HPC,New,boot  (command <*>),0.48555493354797363
wait  (command 2549),wait (command <*>),HPC,New,wait  (command <*>),0.4873032569885254
boot  (command 2550),boot (command <*>),HPC,New,boot  (command <*>,0.42661619186401367
boot  (command 2548),boot (command <*>),HPC,New,boot  (command <*>),0.4858133792877197
boot  (command 2538),boot (command <*>),HPC,New,boot  (command <*>),0.4938957691192627
wait  (command 2683),wait (command <*>),HPC,New,wait  (command <*>),0.48449254035949707
boot  (command 2686),boot (command <*>),HPC,New,boot  (command <*>),0.4911689758300781
wait  (command 2682),wait (command <*>),HPC,New,wait  (command <*>),0.48343372344970703
wait  (command 2763),wait (command <*>),HPC,New,wait  (command <*>),0.48206162452697754
wait  (command 2800),wait (command <*>),HPC,New,wait  (command <*>),0.48265695571899414
boot  (command 2790),boot (command <*>),HPC,New,boot  (command <*>),0.48352932929992676
wait  (command 2817),wait (command <*>),HPC,New,wait  (command <*>),0.4825265407562256
wait  (command 2823),wait (command <*>),HPC,New,wait  (command <*>),0.4822120666503906
wait  (command 2817),wait (command <*>),HPC,New,wait  (command <*>,0.4217674732208252
wait  (command 2900),wait (command <*>),HPC,New,wait  (command <*>),0.48653721809387207
wait  (command 2885),wait (command <*>),HPC,New,,0.48231005668640137
wait  (command 2909),wait (command <*>),HPC,New,wait  (command <*>),0.48680949211120605
boot  (command 2960),boot (command <*>),HPC,New,boot  (command <*>),0.49329519271850586
wait  (command 2963),wait (command <*>),HPC,New,wait  (command <*>),0.4891035556793213
boot  (command 2999),boot (command <*>),HPC,New,boot  (command <*>),0.4861922264099121
halt  (command 2992),halt (command <*>),HPC,New,halt  (command <*>),0.4902968406677246
wait  (command 3087),wait (command <*>),HPC,New,wait  (command <*>),0.4848752021789551
wait  (command 3079),wait (command <*>),HPC,New,wait  (command <*>),0.48280858993530273
wait  (command 3078),wait (command <*>),HPC,New,wait  (command <*>),0.4819953441619873
wait  (command 3141),wait (command <*>),HPC,New,,0.4800410270690918
boot  (command 3138),boot (command <*>),HPC,New,boot  (command <*>),0.4836289882659912
boot  (command 3169),boot (command <*>),HPC,New,boot  (command <*>),0.4819035530090332
boot  (command 3169),boot (command <*>),HPC,New,boot  (command <*>),0.48773884773254395
boot  (command 3194),boot (command <*>),HPC,New,boot  (command <*>),0.4904005527496338
boot  (command 3320),boot (command <*>),HPC,New,boot  (command <*>),0.4917581081390381
boot  (command 3318),boot (command <*>),HPC,New,boot  (command <*>),0.49379920959472656
boot  (command 3317),boot (command <*>),HPC,New,boot  (command <*>),0.48229098320007324
wait  (command 3319),wait (command <*>),HPC,New,wait  (command <*>),0.4820826053619385
wait  (command 3334),wait (command <*>),HPC,New,,0.48188066482543945
boot  (command 3334),boot (command <*>),HPC,New,boot  (command <*>,0.42196035385131836
wait  (command 3412),wait (command <*>),HPC,New,wait  (command <*>),0.48345160484313965
boot  (command 3413),boot (command <*>),HPC,New,boot  (command <*>),0.48042726516723633
boot  (command 3473),boot (command <*>),HPC,New,boot  (command <*>),0.48331713676452637
wait  (command 3523),wait (command <*>),HPC,New,wait  (command <*>),0.48095178604125977
wait  (command 3525),wait (command <*>),HPC,New,,0.4814329147338867
wait  (command 3519),wait (command <*>),HPC,New,wait  (command <*>),0.4796867370605469
boot  (command 3519),boot (command <*>),HPC,New,boot  (command <*>),0.4895145893096924
boot  (command 3512),boot (command <*>),HPC,New,boot  (command <*>),0.4858696460723877
boot  (command 3579),boot (command <*>),HPC,New,boot  (command <*>),0.49103379249572754
boot  (command 3572),boot (command <*>),HPC,New,boot  (command <*>),0.48213839530944824
boot  (command 3580),boot (command <*>),HPC,New,boot  (command <*>),0.4791116714477539
wait  (command 3612),wait (command <*>),HPC,New,wait  (command <*>),0.4835376739501953
boot  (command 3615),boot (command <*>),HPC,New,boot  (command <*>,0.4232461452484131
wait  (command 3609),wait (command <*>),HPC,New,,0.48288416862487793
boot  (command 3624),boot (command <*>),HPC,New,boot  (command <*>),0.48218774795532227
wait  (command 3649),wait (command <*>),HPC,New,wait  (command <*>),0.48310399055480957
boot  (command 3639),boot (command <*>),HPC,New,boot  (command <*>),0.49337148666381836
wait  (command 3690),wait (command <*>),HPC,New,wait  (command <*>),0.48896360397338867
boot  (command 3696),boot (command <*>),HPC,New,boot  (command <*>),0.487529993057251
wait  (command 3698),wait (command <*>),HPC,New,wait  (command <*>),0.5021152496337891
wait  (command 3709),wait (command <*>),HPC,New,wait  (command <*>),0.48517298698425293
wait  (command 3837),wait (command <*>),HPC,New,wait  (command <*>,0.4259185791015625
wait  (command 3847),wait (command <*>),HPC,New,wait  (command <*>,0.4233052730560303
boot  (command 3951),boot (command <*>),HPC,New,boot  (command <*>),0.4852111339569092
boot  (command 3928),boot (command <*>),HPC,New,boot  (command <*>),0.4848918914794922
boot  (command 3939),boot (command <*>),HPC,New,boot <*>,0.2441859245300293
boot  (command 3964),boot (command <*>),HPC,New,boot  (command <*>),0.4833502769470215
wait  (command 3973),wait (command <*>),HPC,New,wait  (command <*>),0.4847843647003174
wait  (command 3981),wait (command <*>),HPC,New,,0.48299670219421387
wait  (command 3981),wait (command <*>),HPC,New,,0.4831538200378418
boot  (command 4024),boot (command <*>),HPC,New,boot  (command <*>),0.4890296459197998
