Content,EventTemplate,Dataset,Category,Unseen_LLAMA_FT_BGL_1,Inference_time_1
generating core.2275,generating core.<*>,BGL,Unseen,generating core.<*>,4.039580583572388
generating core.862,generating core.<*>,BGL,Unseen,generating core.<*>,0.4485030174255371
generating core.728,generating core.<*>,BGL,Unseen,generating core.<*>,0.44620203971862793
generating core.775,generating core.<*>,BGL,Unseen,generating core.<*>,0.45015668869018555
generating core.3276,generating core.<*>,BGL,Unseen,generating core.<*>,0.4470095634460449
generating core.1717,generating core.<*>,BGL,Unseen,generating core.<*>,0.4511830806732178
generating core.3919,generating core.<*>,BGL,Unseen,generating core.<*>,0.4556307792663574
generating core.2079,generating core.<*>,BGL,Unseen,generating core.<*>,0.44692182540893555
generating core.1414,generating core.<*>,BGL,Unseen,generating core.<*>,0.44829320907592773
generating core.3055,generating core.<*>,BGL,Unseen,generating core.<*>,0.445326566696167
generating core.201,generating core.<*>,BGL,Unseen,generating core.<*>,0.45009350776672363
generating core.1125,generating core.<*>,BGL,Unseen,generating core.<*>,0.4476156234741211
generating core.412,generating core.<*>,BGL,Unseen,generating core.<*>,0.44977879524230957
generating core.7828,generating core.<*>,BGL,Unseen,generating core.<*>,0.447368860244751
generating core.5570,generating core.<*>,BGL,Unseen,generating core.<*>,0.45496153831481934
generating core.8275,generating core.<*>,BGL,Unseen,generating core.<*>,0.45891237258911133
generating core.4183,generating core.<*>,BGL,Unseen,generating core.<*>,0.460862398147583
generating core.6545,generating core.<*>,BGL,Unseen,generating core.<*>,0.4674956798553467
generating core.4245,generating core.<*>,BGL,Unseen,generating core.<*>,0.4615480899810791
generating core.6884,generating core.<*>,BGL,Unseen,generating core.<*>,0.44626450538635254
generating core.6471,generating core.<*>,BGL,Unseen,generating core.<*>,0.4423990249633789
generating core.4155,generating core.<*>,BGL,Unseen,generating <*>,0.32039785385131836
generating core.449,generating core.<*>,BGL,Unseen,generating core.<*>,0.4433612823486328
generating core.6990,generating core.<*>,BGL,Unseen,generating core.<*>,0.4496419429779053
generating core.4876,generating core.<*>,BGL,Unseen,generating core.<*>,0.4410727024078369
generating core.2218,generating core.<*>,BGL,Unseen,generating core.<*>,0.4471304416656494
generating core.7518,generating core.<*>,BGL,Unseen,generating core.<*>,0.45921826362609863
generating core.5854,generating core.<*>,BGL,Unseen,generating core.<*>,0.4499783515930176
generating core.7457,generating core.<*>,BGL,Unseen,generating core.<*>,0.44513726234436035
