Content,EventTemplate,Dataset,Category,Unseen_LLAMA_FT_BGL_4,Inference_time_4
generating core.2275,generating core.<*>,BGL,Unseen,generating core.<*>,3.9993481636047363
generating core.862,generating core.<*>,BGL,Unseen,generating core.<*>,0.44173765182495117
generating core.728,generating core.<*>,BGL,Unseen,generating core.<*>,0.45648741722106934
generating core.775,generating core.<*>,BGL,Unseen,generating core.<*>,0.44904494285583496
generating core.3276,generating core.<*>,BGL,Unseen,generating core.<*>,0.45342516899108887
generating core.1717,generating core.<*>,BGL,Unseen,generating core.<*>,0.44260358810424805
generating core.3919,generating core.<*>,BGL,Unseen,generating core.<*>,0.441342830657959
generating core.2079,generating core.<*>,BGL,Unseen,generating core.<*>,0.44141340255737305
generating core.1414,generating core.<*>,BGL,Unseen,generating core.<*>,0.4517824649810791
generating core.3055,generating core.<*>,BGL,Unseen,generating core.<*>,0.443723201751709
generating core.201,generating core.<*>,BGL,Unseen,generating core.<*>,0.43886494636535645
generating core.1125,generating core.<*>,BGL,Unseen,generating core.<*>,0.45998072624206543
generating core.412,generating core.<*>,BGL,Unseen,generating core.<*>,0.43949437141418457
generating core.7828,generating core.<*>,BGL,Unseen,generating core.<*>,0.45169901847839355
generating core.5570,generating core.<*>,BGL,Unseen,generating core.<*>,0.44451379776000977
generating core.8275,generating core.<*>,BGL,Unseen,generating core.<*>,0.4400062561035156
generating core.4183,generating core.<*>,BGL,Unseen,generating core.<*>,0.44576430320739746
generating core.6545,generating core.<*>,BGL,Unseen,generating core.<*>,0.441770076751709
generating core.4245,generating core.<*>,BGL,Unseen,generating core.<*>,0.44316554069519043
generating core.6884,generating core.<*>,BGL,Unseen,generating core.<*>,0.4327578544616699
generating core.6471,generating core.<*>,BGL,Unseen,generating core.<*>,0.43878960609436035
generating core.4155,generating core.<*>,BGL,Unseen,generating core.<*>,0.4358100891113281
generating core.449,generating core.<*>,BGL,Unseen,generating core.<*>,0.43523144721984863
generating core.6990,generating core.<*>,BGL,Unseen,generating core.<*>,0.4408993721008301
generating core.4876,generating core.<*>,BGL,Unseen,generating core.<*>,0.4407219886779785
generating core.2218,generating core.<*>,BGL,Unseen,generating core.<*>,0.44248437881469727
generating core.7518,generating core.<*>,BGL,Unseen,generating core.<*>,0.4418008327484131
generating core.5854,generating core.<*>,BGL,Unseen,generating <*>,0.3337576389312744
generating core.7457,generating core.<*>,BGL,Unseen,generating core.<*>,0.44265198707580566
generating core.6896,generating core.<*>,BGL,Unseen,generating core.<*>,0.44435739517211914
generating core.3488,generating core.<*>,BGL,Unseen,generating core.<*>,0.4429175853729248
generating core.1172,generating core.<*>,BGL,Unseen,generating core.<*>,0.44309258460998535
generating core.2286,generating core.<*>,BGL,Unseen,generating core.<*>,0.4443645477294922
generating core.786,generating core.<*>,BGL,Unseen,generating core.<*>,0.44164228439331055
generating core.2680,generating core.<*>,BGL,Unseen,generating core.<*>,0.4457125663757324
generating core.1524,generating core.<*>,BGL,Unseen,generating core.<*>,0.4429025650024414
generating core.4937,generating core.<*>,BGL,Unseen,generating core.<*>,0.4432218074798584
generating core.6801,generating core.<*>,BGL,Unseen,generating core.<*>,0.44358277320861816
generating core.4368,generating core.<*>,BGL,Unseen,generating core.<*>,0.43688011169433594
generating core.851,generating core.<*>,BGL,Unseen,generating core.<*>,0.43718671798706055
generating core.1744,generating core.<*>,BGL,Unseen,generating core.<*>,0.4352872371673584
generating core.1588,generating core.<*>,BGL,Unseen,generating core.<*>,0.4520838260650635
generating core.5307,generating core.<*>,BGL,Unseen,generating core.<*>,0.4468235969543457
generating core.7192,generating core.<*>,BGL,Unseen,generating core.<*>,0.4414033889770508
generating core.430,generating core.<*>,BGL,Unseen,generating core.<*>,0.4407765865325928
generating core.174,generating core.<*>,BGL,Unseen,generating core.<*>,0.44253087043762207
generating core.976,generating core.<*>,BGL,Unseen,generating core.<*>,0.44096851348876953
generating core.1990,generating core.<*>,BGL,Unseen,generating core.<*>,0.4389803409576416
generating core.3638,generating core.<*>,BGL,Unseen,generating core.<*>,0.4394388198852539
generating core.2690,generating core.<*>,BGL,Unseen,generating core.<*>,0.44396233558654785
generating core.3804,generating core.<*>,BGL,Unseen,generating core.<*>,0.44501805305480957
