Content,EventTemplate,Dataset,Category,Unseen_LLAMA_FT_Mac_1,Inference_time_1
"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs","ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs",Mac,Unseen,"ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs",1.5092029571533203
[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,[<*>:<*>:<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [<*>] Byte flume reports host available again.,Mac,Unseen,[<*>:<*>:<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x<*>] Byte flume reports host available again.,2.3039231300354004
"network_reachability_changed : network is not reachable, netbiosd is shutting down","network_reachability_changed : network is not reachable, netbiosd is shutting down",Mac,Unseen,"network_reachability_changed : network is not reachable, netbiosd is shutting down",1.1808435916900635
AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0,<*>::<*> - intel_rp = <*> dlla_reporting_supported = <*>,Mac,Unseen,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = <*> dlla_reporting_supported = <*>,1.7457549571990967
AppleCamIn::wakeEventHandlerThread,AppleCamIn::wakeEventHandlerThread,Mac,Unseen,AppleCamIn::wakeEventHandlerThread,0.5693037509918213
"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}","SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",Mac,Unseen,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",2.690556764602661
"ARPT: 626126.086205: wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10","ARPT: <*>: wl0: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>",Mac,Unseen,"ARPT: <*>: wl0: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>",1.4545574188232422
__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018 tc19060 125.39.133.143:14000,<*>-[NETClientConnection <*>]_block_invoke CI46 - Hit by torpedo! <*> <*> <*>:<*>,Mac,Unseen,__<*>-[NETClientConnection evaluateCrazyIvan<*>]_block_invoke CI<*> - Hit by torpedo! QQ.<*> tc<*> <*>:<*>,2.296704053878784
CCXPCService::setStreamEventHandler Registered for notification callback.,CCXPCService::setStreamEventHandler Registered for notification callback.,Mac,Unseen,CCXPCService::setStreamEventHandler Registered for notification callback.,0.9114713668823242
"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}","SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",Mac,Unseen,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",2.3667101860046387
AppleCamIn::wakeEventHandlerThread,AppleCamIn::wakeEventHandlerThread,Mac,Unseen,AppleCamIn::wakeEventHandlerThread,0.5550117492675781
"ARPT: 626908.045241: wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10","ARPT: <*>: wl0: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>",Mac,Unseen,"ARPT: <*>: wl0: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>",1.4723401069641113
RTC: PowerByCalendarDate setting ignored,RTC: PowerByCalendarDate setting ignored,Mac,Unseen,RTC: PowerByCalendarDate setting ignored,0.6071538925170898
Location icon should now be in state 'Active',Location icon should now be in state 'Active',Mac,Unseen,Location icon should now be in state '<*>',0.7318058013916016
PMStats: Hibernate read took 197 ms,PMStats: Hibernate read took <*> ms,Mac,Unseen,PMStats: Hibernate read took <*>,0.5409450531005859
"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}","SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",Mac,Unseen,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""<*>"" UserInfo={NSDescription=<*>}",1.9901700019836426
[com.apple.calendar.store.log.caldav.coredav] [Refusing to parse response to PROPPATCH because of content-type: [text/html; charset=UTF-8].],[com.apple.calendar.store.log.caldav.coredav] [Refusing to parse response to PROPPATCH because of content-type: [text/html; charset=UTF-<*>].],Mac,Unseen,[<*>] [Refusing to parse response to PROPPATCH because of content-type: [<*>].],1.5293586254119873
