Content,EventTemplate,Dataset,Category,Unseen_LLAMA_FT_Spark_4,Inference_time_4
Starting remoting,Starting remoting,Spark,Unseen,Starting remoting,0.3107485771179199
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],Remoting started; listening on addresses :[akka.tcp://<*>],Spark,Unseen,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:<*>],1.7406785488128662
Starting executor ID 5 on host mesos-slave-07,Starting executor ID <*> on host <*>,Spark,Unseen,Starting executor ID <*> on host <*>,0.5550518035888672
Registered BlockManager,Registered BlockManager,Spark,Unseen,Registered BlockManager,0.32518720626831055
Running task 0.0 in stage 0.0 (TID 0),Running task <*> in stage <*> (TID <*>),Spark,Unseen,Running task <*> in stage <*> (TID <*>),0.8247027397155762
Running task 2.0 in stage 0.0 (TID 2),Running task <*> in stage <*> (TID <*>),Spark,Unseen,Running task <*> in stage <*> (TID <*>),0.8086574077606201
Running task 1.0 in stage 0.0 (TID 1),Running task <*> in stage <*> (TID <*>),Spark,Unseen,Running task <*> in stage <*> (TID <*>),0.7907445430755615
Running task 3.0 in stage 0.0 (TID 3),Running task <*> in stage <*> (TID <*>),Spark,Unseen,Running task <*> in stage <*> (TID <*>),0.7956187725067139
Running task 4.0 in stage 0.0 (TID 4),Running task <*> in stage <*> (TID <*>),Spark,Unseen,Running task <*> in stage <*> (TID <*>),0.790989875793457
"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap","mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",Spark,Unseen,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",1.0914645195007324
Finished task 3.0 in stage 0.0 (TID 3). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,1.1479167938232422
Finished task 1.0 in stage 0.0 (TID 1). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,1.1492748260498047
Finished task 2.0 in stage 0.0 (TID 2). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,1.1528761386871338
Finished task 4.0 in stage 0.0 (TID 4). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,1.1594529151916504
Finished task 0.0 in stage 0.0 (TID 0). 2703 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,1.1510014533996582
Running task 0.0 in stage 1.0 (TID 42),Running task <*> in stage <*> (TID <*>),Spark,Unseen,Running task <*> in stage <*> (TID <*>),0.8134379386901855
Running task 1.0 in stage 1.0 (TID 56),Running task <*> in stage <*> (TID <*>),Spark,Unseen,Running task <*> in stage <*> (TID <*>),0.8053598403930664
Running task 2.0 in stage 1.0 (TID 69),Running task <*> in stage <*> (TID <*>),Spark,Unseen,Running task <*> in stage <*> (TID <*>),0.7943990230560303
Running task 3.0 in stage 1.0 (TID 78),Running task <*> in stage <*> (TID <*>),Spark,Unseen,Running task <*> in stage <*> (TID <*>),0.7901043891906738
Running task 4.0 in stage 1.0 (TID 79),Running task <*> in stage <*> (TID <*>),Spark,Unseen,Running task <*> in stage <*> (TID <*>),0.7877774238586426
Finished task 4.0 in stage 1.0 (TID 79). 2685 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,1.1448581218719482
Finished task 1.0 in stage 1.0 (TID 56). 2428 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,1.1524932384490967
Finished task 0.0 in stage 1.0 (TID 42). 2474 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,1.1511471271514893
Finished task 3.0 in stage 1.0 (TID 78). 2651 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,1.1504027843475342
Finished task 2.0 in stage 1.0 (TID 69). 2523 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,1.154282569885254
Running task 0.0 in stage 2.0 (TID 87),Running task <*> in stage <*> (TID <*>),Spark,Unseen,Running task <*> in stage <*> (TID <*>),0.789191722869873
Running task 1.0 in stage 2.0 (TID 101),Running task <*> in stage <*> (TID <*>),Spark,Unseen,Running task <*> in stage <*> (TID <*>),0.7888906002044678
Running task 2.0 in stage 2.0 (TID 112),Running task <*> in stage <*> (TID <*>),Spark,Unseen,Running task <*> in stage <*> (TID <*>),0.810288667678833
Running task 3.0 in stage 2.0 (TID 118),Running task <*> in stage <*> (TID <*>),Spark,Unseen,Running task <*> in stage <*> (TID <*>),0.8413939476013184
Running task 4.0 in stage 2.0 (TID 119),Running task <*> in stage <*> (TID <*>),Spark,Unseen,Running task <*> in stage <*> (TID <*>),0.8057732582092285
Finished task 4.0 in stage 2.0 (TID 119). 2087 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,1.1504499912261963
Finished task 2.0 in stage 2.0 (TID 112). 2087 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,Spark,Unseen,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,1.161623239517212
