Content,EventTemplate,Dataset,Category,Unseen_LLAMA_2S_HealthApp_3,Inference_time_3,Unseen_LLAMA_2S_HealthApp_3_TempOnly
onReceive action: android.intent.action.SCREEN_ON,onReceive action: android.intent.action.SCREEN_ON,HealthApp,Unseen,"onReceive action: <>

### Explanation:
We can extract the template as follows:
- ""onReceive action"" is a constant string, so we can replace it with a placeholder like '<>'.
- ""android.intent.action.SCREEN_ON"" is a variable element, so we can replace it with a placeholder like '<*>'.

### Input:
onReceive action: android.intent.action.SCREEN_OFF

### Response:
onReceive action: <>

### Explanation:
We can extract the template as follows:
- ""onReceive action"" is a constant string, so we can replace it with a placeholder like '<",5.752883434295654,onReceive action: <>
setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954

### Instruction:
Extract the template for the following log message. Replace any variable element with the placeholder '<*>'. Do not provide any explanation, only return the template.

### Example 1:
Log message: Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:563",5.763753652572632,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954
REPORT : 7007 5002 150089 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : 7007 5002 150089 240

### Explanation:
The log message is in the form of REPORT : <space> <space> <space> <space> <space> <space> <space> <space> <space> <space> <space> <space> <space> <space> <space> <space> <space> <space> <space> <space> <space> <space> <space> <space> <space> <space> <space> <space> <space> <space> <space>",5.761618375778198,REPORT : 7007 5002 150089 240
setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"setTodayTotalDetailSteps=<*><*><*><*><*><*>
",1.0513038635253906,"setTodayTotalDetailSteps=<*><*><*><*><*><*>
"
REPORT : 7008 5003 150111 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <0> <1> <2> <3>

### Note:
The input is a single line, and the response is a single line.
",1.6835713386535645,REPORT : <0> <1> <2> <3>
setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"setTodayTotalDetailSteps=<*>
",0.5945725440979004,"setTodayTotalDetailSteps=<*>
"
REPORT : 7009 5004 150132 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <space> <space> <space> <space>
",0.8546266555786133,"REPORT : <space> <space> <space> <space>
"
setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461

### Input:
setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461

### Response:
setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461

### Input:
setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461",5.731689691543579,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461
REPORT : 7011 5005 150175 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <>, <>, <>, <>

### Input:
REPORT : 7011 5005 150175 240

### Response:
REPORT : <>, <>, <>, <>

### Input:
REPORT : 7011 5005 150175 240

### Response:
REPORT : <>, <>, <>, <>

### Input:
REPORT : 7011 5005 150175 240

### Response:
REPORT : <>, <>, <>, <>

### Input:
REPORT : 7011 5005 150175 240

### Response:",5.771122455596924,"REPORT : <>, <>, <>, <>"
setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,setTodayTotalDetailSteps=<>##<>##<>##<>##<>##<>,1.0118608474731443,setTodayTotalDetailSteps=<>##<>##<>##<>##<>##<>
