Content,EventTemplate,Dataset,Category,Unseen_LLAMA_2S_Hadoop_4,Inference_time_4,Unseen_LLAMA_2S_Hadoop_4_TempOnly
Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,Unseen,"Error =, REGISTERING class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler
",1.4226601123809814,"Error =, REGISTERING class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler
"
Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,Unseen,"Extracted template: Registering class <> for class <>


### Input:
2019-02-14 16:58:25,362 INFO org.apache.hadoop.mapreduce.Job: map 100% reduce 100%
2019-02-14 16:58:25,362 INFO org.apache.hadoop.mapreduce.Job: Counters: 13
    File Systems
        HDFS=1197
    Job Counters
        Data-local map tasks=11
        Data-local reduce tasks=11
        Total data-local map tasks=11
        Total data-local reduce tasks",5.547817230224609,Extracted template: Registering class <> for class <>
Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,Unseen,"Extracted template: Registering class <> for class <>

### Input:
org.apache.hadoop.mapreduce.JobID: job_1482675275632_0001
  org.apache.hadoop.mapreduce.TaskID: task_1482675275632_0001_m_000000

### Response:
Extracted template: org.apache.hadoop.mapreduce.JobID: job_<>_<>  org.apache.hadoop.mapreduce.TaskID: task_<>_<>_m_<>",4.54328989982605,Extracted template: Registering class <> for class <>
Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,Unseen,"Extracted template: Registering class <> for class <>

### Input:
2015-12-04 09:47:04,512 INFO org.apache.hadoop.mapreduce.jobcontrol.JobController: Job 0 is done

### Response:
Extracted template: <> is done

### Input:
2015-12-04 09:47:04,512 INFO org.apache.hadoop.mapreduce.jobcontrol.JobController: Job 0 is done

### Response:
Extracted template: <> is done

### Input:
2015-12-04 09:47:04,512 INFO",5.556877851486206,Extracted template: Registering class <> for class <>
Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,Unseen,"Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler

### Input:
2018-04-12 22:39:38,691 INFO [Thread-3] org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler: Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler

### Response:
2018-04-12 22:39:38,691 INFO [Thread-3] org",5.618531942367554,Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler
Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,Unseen,"Extracted template: Registering class <> for class <>

### Input:
2014-04-11 19:41:58,654 INFO org.apache.hadoop.mapreduce.v2.app.speculate.Speculator: Speculator is enabled for appattempt_20140411194156_0012_000001
2014-04-11 19:41:58,655 INFO org.apache.hadoop.mapreduce.v2.app.speculate.Speculator: Speculator is disabled for appattempt_20140411194156_0012_000001
2014-04-11 19:",5.566202402114868,Extracted template: Registering class <> for class <>
Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,Unseen,"Extracted template: Registering class <> for class <>
",0.7350320816040039,"Extracted template: Registering class <> for class <>
"
Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,Unseen,"Extracted template: Registering class <> for class <>

### Output:
Extracted template: Registering class <> for class <>
",1.3955976963043213,Extracted template: Registering class <> for class <>
Default file system [hdfs://msra-sa-41:9000],Default file system [hdfs://<*>:<*>],Hadoop,Unseen,"Template: Error =, LOGIN chdir(<>) failed: No such file at <>:<> point [<>], connect to proxy <>:<> to renew session (<*>)
",1.7973406314849854,"Template: Error =, LOGIN chdir(<>) failed: No such file at <>:<> point [<>], connect to proxy <>:<> to renew session (<*>)
"
Default file system [hdfs://msra-sa-41:9000],Default file system [hdfs://<*>:<*>],Hadoop,Unseen,"Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)
Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST",5.605592250823975,"Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)
Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST"
