Content,EventTemplate,Dataset,Category,Unseen_LLAMA_2S_HealthApp_4,Inference_time_4,Unseen_LLAMA_2S_HealthApp_4_TempOnly
onReceive action: android.intent.action.SCREEN_ON,onReceive action: android.intent.action.SCREEN_ON,HealthApp,Unseen,"onReceive action: <>

### Explanation:
The input log message is not a complete log message. We only need to extract the variable element ""android.intent.action.SCREEN_ON"".",1.8345403671264648,onReceive action: <>
setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,setTodayTotalDetailSteps=<>##<>##<>##<>##<>##<>,1.003983736038208,setTodayTotalDetailSteps=<>##<>##<>##<>##<>##<>
REPORT : 7007 5002 150089 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,REPORT : <*> <*> <*> <*>,0.6783537864685059,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"setTodayTotalDetailSteps=<*>
",0.5950438976287842,"setTodayTotalDetailSteps=<*>
"
REPORT : 7008 5003 150111 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : 7008 5003 150111 240

### Input:
REPORT : 7008 5003 150111 240

### Response:
REPORT : 7008 5003 150111 240

### Input:
REPORT : 7008 5003 150111 240

### Response:
REPORT : 7008 5003 150111 240

### Input:
REPORT : 7008 5003 150111 240

### Response:
REPORT : 7008 5003 150111 240

### Input:
REPORT",5.630297660827637,REPORT : 7008 5003 150111 240
setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>##
",1.2752916812896729,"setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>##
"
REPORT : 7009 5004 150132 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <>, <>, <>, <>

### Response format:
Return the template for the input log message.

### Example:
Input: Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)
Output: Error",5.585821866989136,"REPORT : <>, <>, <>, <>"
setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461
",1.5143179893493652,"setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461
"
REPORT : 7011 5005 150175 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : 7011 5005 150175 240

### Input:
REPORT : 7011 5005 150175 240 0

### Response:
REPORT : 7011 5005 150175 240 0

### Input:
REPORT : 7011 5005 150175 240 0 0

### Response:
REPORT : 7011 5005 150175 240 0 0

### Input:
REPORT : 7011 5005 150175 240 0 0 0

### Response:",5.61332893371582,REPORT : 7011 5005 150175 240
setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"setTodayTotalDetailSteps=<*><*><*><*><*><*>

### Input:
setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464

### Response:
setTodayTotalDetailSteps=<*><*><*><*><*><*>
",3.392061948776245,setTodayTotalDetailSteps=<*><*><*><*><*><*>
