Content,EventTemplate,Dataset,Category,Unseen_LLAMA_2S_HealthApp_1,Inference_time_1,Unseen_LLAMA_2S_HealthApp_1_TempOnly
onReceive action: android.intent.action.SCREEN_ON,onReceive action: android.intent.action.SCREEN_ON,HealthApp,Unseen,"onReceive action: <>

### Instruction:
Extract the template for the following log message. Replace any variable element with the placeholder '<*>'. Do not provide any explanation, only return the template.

### Example 1:
Log message: 2020-08-24 12:55:52.667 [INFO ] [org.springframework.boot.web.servlet.ServletComponentScanBeanPostProcessor] - Bean'requestMappingHandlerAdapter' of type [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter] is not eligible for getting processed by all BeanPostProcessors (for example: of type [org",5.587961435317993,onReceive action: <>
setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,setTodayTotalDetailSteps=<>##<>##<>##<>##<>##<>,0.9869263172149658,setTodayTotalDetailSteps=<>##<>##<>##<>##<>##<>
REPORT : 7007 5002 150089 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>
",0.7141954898834229,"REPORT : <*> <*> <*> <*>
"
setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"setTodayTotalDetailSteps=<*>

### Instruction:
Extract the template for the following log message. Replace any variable element with the placeholder '<*>'. Do not provide any explanation, only return the template.

### Example 1:
Log message: Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk",5.605976343154907,setTodayTotalDetailSteps=<*>
REPORT : 7008 5003 150111 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : 7008 5003 150111 240
",0.8552391529083252,"REPORT : 7008 5003 150111 240
"
setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,setTodayTotalDetailSteps=<*>##<>##<>##<>##<>##<>,1.0109844207763672,setTodayTotalDetailSteps=<*>##<>##<>##<>##<>##<>
REPORT : 7009 5004 150132 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : 7009 5004 150132 240
",0.8560202121734619,"REPORT : 7009 5004 150132 240
"
setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,1.2148399353027344,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7011 5005 150175 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7011 5005 150175 240

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7011 5005 150175 240

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7011 5005 150175 240

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7011 5005 150175 240",5.634738445281982,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,setTodayTotalDetailSteps=<>##<>##<>##<>##<>##<>,0.9977004528045654,setTodayTotalDetailSteps=<>##<>##<>##<>##<>##<>
