Content,EventTemplate,Dataset,Category,New_LLAMA_2S_HPC_3,Inference_time_3,New_LLAMA_2S_HPC_3_TempOnly
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Extracted template: Component \042SCSI-WWID:<*>:<*>-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=<*>)

### Explanation:
The log message contains three variable elements: ""SCSI-WWID"", ""00000010"" and ""HWID"". These three variable elements are generalized to ""SCSI-WWID"", ""SCSI-WWID"" and ""HWID"" respectively. The template for this log message is constructed as ""Component \",5.660752534866333,Extracted template: Component \042SCSI-WWID:<*>:<*>-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180) with reason \042Power supply failure\042

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>) with reason <*>",3.7195169925689697,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Error = 0, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)

### Response:
Error = 0, LOGIN",5.629897356033325,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Extracted template: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt1\042 is in the available state (HWID=4088)

### Response:
Extracted template: Component <*> is in the available state (HWID=<*>)

### Input:
Component State Change: Component \042alt2\042 is in the unavailable state (HWID=4088)

### Response:
Extracted template: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt",5.714648246765137,Extracted template: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)
",0.9754295349121094,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)
"
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Extracted template: Component <*> is in the unavailable state (HWID=<*>)
",0.9785394668579102,"Extracted template: Component <*> is in the unavailable state (HWID=<*>)
"
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component \042<*> \042 is in the unavailable state (HWID=<*>)

### Input:
ciod: In packet from nodes 91.0 and node-234 (R62-M1-Nf-C:J03-U11), message code 2 is not 3 or 4294967295 (softheader=003b005b 00030000 00000001 00000000)

### Response:
ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (sof",5.674558639526367,Component State Change: Component \042<*> \042 is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)
",0.9933054447174072,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)
"
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Extracted template: Component <*> is in the unavailable state (HWID=<*>)
",1.0081284046173096,"Extracted template: Component <*> is in the unavailable state (HWID=<*>)
"
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt",5.638334035873413,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
