Content,EventTemplate,Dataset,Category,Unseen_LLAMA_2S_Zookeeper_3,Inference_time_3,Unseen_LLAMA_2S_Zookeeper_3_TempOnly
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <*> my id = 1, error = <*>",0.847198486328125,"Connection broken for id <*> my id = 1, error = <*>"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <>, my id = 1, error = <>",0.9165678024291992,"Connection broken for id <>, my id = 1, error = <>"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <>, my id = 1, error =

### Input:
Connection broken for id 188978561024, my id = 1, error = 12345

### Response:
Connection broken for id <>, my id = 1, error = <>

### Input:
Connection broken for id 188978561024, my id = 1, error = 12345

### Response:
Connection broken for id <>, my id = 1, error = <>

### Input:
Connection broken for id 188978561024, my id = 1",5.681002616882324,"Connection broken for id <>, my id = 1, error ="
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <>, my id = <>, error = <>

### Input:
Connection broken for id 188978561024, my id = 1, error = 0

### Response:
Connection broken for id <>, my id = <>, error = <>

### Input:
Connection broken for id 188978561024, my id = 1, error = 0

### Response:
Connection broken for id <>, my id = <>, error = <>

### Input:
Connection broken for id 188978561024, my id = 1, error =",5.6380228996276855,"Connection broken for id <>, my id = <>, error = <>"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <*>, my id = 1, error = <*>",0.9657480716705322,"Connection broken for id <*>, my id = 1, error = <*>"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <>, my id = <>, error = <>

### Input:
Error = 2, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)

### Response:
Error = <>, LOGIN chdir(/",5.653382301330566,"Connection broken for id <>, my id = <>, error = <>"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <>, my id = <>, error =

### Output:
Connection broken for id 188978561024, my id = 1, error = Connection broken for id <>, my id = <>, error =
",2.3782920837402344,"Connection broken for id <>, my id = <>, error ="
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <>, my id = 1, error = <>

### Input:
Connection broken for id 188978561024, my id = 1, error = 0

### Response:
Connection broken for id <>, my id = 1, error = 0

### Input:
Connection broken for id 188978561024, my id = 1, error = 1

### Response:
Connection broken for id <>, my id = 1, error = 1

### Input:
Connection broken for id 188978561024, my id =",5.636073350906372,"Connection broken for id <>, my id = 1, error = <>"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <>, my id = <>, error =

### Instruction:
Extract the template for the following log message. Replace any variable element with the placeholder '<*>'. Do not provide any explanation, only return the template.

### Example 1:
Log message: Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.c",5.662258625030518,"Connection broken for id <>, my id = <>, error ="
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <>, my id = 1, error = <>

### Input:
ERROR: Could not connect to the server: 127.0.0.1:8080
ERROR: Could not connect to the server: 127.0.0.1:8080
ERROR: Could not connect to the server: 127.0.0.1:8080

### Response:
ERROR: Could not connect to the server: <>
ERROR: Could not connect to the server: <>
ERROR: Could not connect to the server: <>

### Input:
ERROR",5.614640951156616,"Connection broken for id <>, my id = 1, error = <>"
