Content,EventTemplate,Dataset,Category,New_LLAMA_2S_HPC_4,Inference_time_4,New_LLAMA_2S_HPC_4_TempOnly
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component \042SCSI-WWID:<*>:<*>-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=<*>)

### Output:
Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu",5.634508848190308,Component State Change: Component \042SCSI-WWID:<*>:<*>-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt",5.5599658489227295,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*>
",0.5479061603546143,"Component State Change: Component <*>
"
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt",5.523447275161743,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component \042<*> \042 is in the unavailable state (HWID=<*>)

### Input:
Error =, LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x14f05578bd8001b)

### Response:
Error =,",5.730988264083862,Component State Change: Component \042<*> \042 is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)
",0.9905145168304444,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)
"
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt",5.613134384155273,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Extracted template: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891)

### Response:
Extracted template: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891)

### Response:
Extracted template: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt",5.690094470977783,Extracted template: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Extracted template: Component <*> is in the unavailable state (HWID=<*>),1.0155737400054932,Extracted template: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Extracted template: Component <*> is in the unavailable state (HWID=<*>)

### Input:
ciod: In packet from nodes 91.0 and node-234 (R62-M1-Nf-C:J03-U11), message code 2 is not 3 or 4294967295 (softheader=003b005b 00030000 00000001 00000000)

### Response:
Extracted template: ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softhe",5.659239292144775,Extracted template: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt",5.594808101654053,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>)

### Input:
Component State Change: Component \042alt",5.626188278198242,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
