Content,EventTemplate,Dataset,Category,Unseen_LLAMA_2S_Mac_4,Inference_time_4,Unseen_LLAMA_2S_Mac_4_TempOnly
"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs","ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs",Mac,Unseen,"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs

### Input:
ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs

### Response:
ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs

### Input:
ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs,",5.618612051010132,"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs"
[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,[<*>:<*>:<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [<*>] Byte flume reports host available again.,Mac,Unseen,"[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.

### Input:
[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.

### Response:
[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0",5.599329471588135,[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.
"network_reachability_changed : network is not reachable, netbiosd is shutting down","network_reachability_changed : network is not reachable, netbiosd is shutting down",Mac,Unseen,"network_reachability_changed : network is not reachable, netbiosd is shutting down
",1.0329625606536863,"network_reachability_changed : network is not reachable, netbiosd is shutting down
"
AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0,<*>::<*> - intel_rp = <*> dlla_reporting_supported = <*>,Mac,Unseen,"AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = <>, dlla_reporting_supported = <>

### Input:
AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 1

### Response:
AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = <>, dlla_reporting_supported = <>

### Input:
AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported =",5.585785627365112,"AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = <>, dlla_reporting_supported = <>"
AppleCamIn::wakeEventHandlerThread,AppleCamIn::wakeEventHandlerThread,Mac,Unseen,"AppleCamIn::<>EventHandlerThread

### Response Explanation:
The input is the log message, and the response is the extracted template. The variable element 'wake' in the input log message is replaced with the placeholder '<>'.",2.279183864593506,AppleCamIn::<>EventHandlerThread
"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}","SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",Mac,Unseen,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""Account identity not set"" UserInfo={NSDescription=<*>}
",1.768662691116333,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""Account identity not set"" UserInfo={NSDescription=<*>}
"
"ARPT: 626126.086205: wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10","ARPT: <*>: wl0: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>",Mac,Unseen,"ARPT:,.086205: wl0: setup_keepalive: interval, retry_interval, retry_count

### Input:
2016/01/01 12:00:00.000000 [DEBUG] - [0x14f05578bd8001b] [0x14f05578bd8001b] [0x14f05578bd8001b] [0x14f05578bd8001b] [0x14f05578bd8001b] [0x14f05578bd8001b] [0x",5.572338581085205,"ARPT:,.086205: wl0: setup_keepalive: interval, retry_interval, retry_count"
__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018 tc19060 125.39.133.143:14000,<*>-[NETClientConnection <*>]_block_invoke CI46 - Hit by torpedo! <*> <*> <*>:<*>,Mac,Unseen,__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.<*> tc<*> <*>:<*>,1.6954658031463623,__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.<*> tc<*> <*>:<*>
CCXPCService::setStreamEventHandler Registered for notification callback.,CCXPCService::setStreamEventHandler Registered for notification callback.,Mac,Unseen,CCXPCService::setStreamEventHandler Registered for notification callback.,0.8145132064819336,CCXPCService::setStreamEventHandler Registered for notification callback.
"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}","SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",Mac,Unseen,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}
",2.060198783874512,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}
"
AppleCamIn::wakeEventHandlerThread,AppleCamIn::wakeEventHandlerThread,Mac,Unseen,"AppleCamIn::wakeEventHandlerThread
",0.596621036529541,"AppleCamIn::wakeEventHandlerThread
"
