Content,EventTemplate,Dataset,Category,Unseen_LLAMA_2S_Mac_3,Inference_time_3,Unseen_LLAMA_2S_Mac_3_TempOnly
"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs","ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs",Mac,Unseen,"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs

### Input:
[ 0] 2:0:0:0:0:0:0:1, len 65

### Response:
[ 0] 2:0:0:0:0:0:0:1, len 65

### Input:
[ 0] 2:0:0:0:0:0:0:1, len 65

### Response:
[ 0]",5.759457588195801,"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs"
[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,[<*>:<*>:<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [<*>] Byte flume reports host available again.,Mac,Unseen,"[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [<>] Byte flume reports host available again.

### Input:
[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.

### Response:
[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [<>] Byte flume reports host available again.

### Input:
[09:21",5.777933120727539,[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [<>] Byte flume reports host available again.
"network_reachability_changed : network is not reachable, netbiosd is shutting down","network_reachability_changed : network is not reachable, netbiosd is shutting down",Mac,Unseen,"network_reachability_changed : network is not reachable, netbiosd is shutting down
",1.045290470123291,"network_reachability_changed : network is not reachable, netbiosd is shutting down
"
AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0,<*>::<*> - intel_rp = <*> dlla_reporting_supported = <*>,Mac,Unseen,"AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0

### Input:
AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0

### Response:
AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0

### Input:
AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting",5.8045830726623535,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0
AppleCamIn::wakeEventHandlerThread,AppleCamIn::wakeEventHandlerThread,Mac,Unseen,"AppleCamIn::wakeEventHandlerThread

### Explanation:
The input message is a log message of AppleCamIn. The structure of this message is:
```
AppleCamIn::wakeEventHandlerThread
```
The variable elements are AppleCamIn and wakeEventHandlerThread. The generalized elements are AppleCamIn and wakeEventHandlerThread. The template is:
```
AppleCamIn::<>wakeEventHandlerThread
```
",4.155611753463745,AppleCamIn::wakeEventHandlerThread
"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}","SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",Mac,Unseen,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""<*>""

### Input:
SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}

### Response:
SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""<*>""

### Input:
SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos",5.831425428390503,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""<*>"""
"ARPT: 626126.086205: wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10","ARPT: <*>: wl0: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>",Mac,Unseen,"ARPT:,, wl0: setup_keepalive: interval,, retry_interval,, retry_count

### Input:
ARPT: 626126.086205: wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10

### Response:
ARPT:,, wl0: setup_keepalive: interval,, retry_interval,, retry_count

### Input:
ARPT: 626126.086205: wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10

### Response:
ARPT",5.769204616546631,"ARPT:,, wl0: setup_keepalive: interval,, retry_interval,, retry_count"
__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018 tc19060 125.39.133.143:14000,<*>-[NETClientConnection <*>]_block_invoke CI46 - Hit by torpedo! <*> <*> <*>:<*>,Mac,Unseen,"__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018 tc19060 125.39.133.143:14000

### Response:
__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018 tc19060 125.39.133.143:14000

### Response:
__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018 tc19060",5.823663949966431,__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018 tc19060 125.39.133.143:14000
CCXPCService::setStreamEventHandler Registered for notification callback.,CCXPCService::setStreamEventHandler Registered for notification callback.,Mac,Unseen,"CCXPCService::setStreamEventHandler Registered for notification callback.
",0.8250422477722168,"CCXPCService::setStreamEventHandler Registered for notification callback.
"
"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}","SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",Mac,Unseen,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""Account identity not set"" UserInfo={NSDescription=<*>}

### Input:
2020-04-14 16:41:24.000000+08:00 [0x1004] ERROR [com.apple.syncot.sos.sync.sync] [com.apple.syncot.sos.sync.sync] [com.apple.syncot.sos.sync.sync] [com.apple.syncot.sos.sync.sync] [com.apple.syncot.sos.sync.sync] [com.apple.syncot.sos",5.797088146209717,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""Account identity not set"" UserInfo={NSDescription=<*>}"
AppleCamIn::wakeEventHandlerThread,AppleCamIn::wakeEventHandlerThread,Mac,Unseen,"AppleCamIn::wakeEventHandlerThread
",0.6034622192382812,"AppleCamIn::wakeEventHandlerThread
"
"ARPT: 626908.045241: wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10","ARPT: <*>: wl0: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>",Mac,Unseen,"ARPT: 626908.045241: wl0: setup_keepalive: interval <>, retry_interval <>, retry_count <>

### Note:
- The template should be the most generalized representation of the log message structure.
- Do not provide any explanation, only return the template.
",2.9096155166625977,"ARPT: 626908.045241: wl0: setup_keepalive: interval <>, retry_interval <>, retry_count <>"
