Content,EventTemplate,Dataset,Category,New_Mistral_ZS_HDFS_3,Inference_time_3
PacketResponder 1 for block blk_38865049064139660 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 1 for block blk_38865049064139660 terminating

### Response:
PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 1 for block blk_38865049064139660 terminating

### Response:
PacketResponder <*> for block <*> terminating",8.30472183227539
PacketResponder 0 for block blk_-6952295868487656571 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 0 for block blk_-6952295868487656571 terminating

### Response:
PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 0 for block blk_-6952295868487656571 terminating

### Response:
PacketResponder <*> for block",5.181431293487549
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>


### Input:
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864

### Response:
BLOCK* NameSystem.addStoredBlock: block",5.171220302581787
PacketResponder 2 for block blk_8229193803249955061 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 2 for block blk_8229193803249955061 terminating

### Response:
PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 2 for block blk_8229193803249955061 terminating

### Response:
PacketResponder <*> for block",5.180096387863159
PacketResponder 2 for block blk_-6670958622368987959 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 2 for block blk_-6670958622368987959 terminating

### Response:
PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 2 for block blk_-6670958622368987959 terminating

### Response:
PacketResponder <*> for block",5.100779056549072
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>


### Input:
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864

### Response:
BLOCK* NameSystem.addStoredBlock: block",5.113641262054443
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>


### Input:
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864

### Response:
BLOCK* NameSystem.addStoredBlock: block",5.168049097061157
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>

### Input:
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864

### Response:
BLOCK* NameSystem.addStoredBlock: blockMap updated",5.19705605506897
PacketResponder 2 for block blk_572492839287299681 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 2 for block blk_572492839287299681 terminating

### Response:
PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 2 for block blk_572492839287299681 terminating

### Response:
PacketResponder <*> for block <*>",5.152138948440552
Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,Received block <*> of size <*> from <*>,HDFS,New,"Received block blk_<*> of size <*> from <*>


### Input:
Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84

### Response:
Received block blk_<*> of size <*> from <*>


### Input:
Received block blk_358750814005195324",5.155747175216675
Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,Received block <*> of size <*> from <*>,HDFS,New,"Received block blk_<*> of size <*> from <*>


### Input:
Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112

### Response:
Received block blk_<*> of size <*> from <*>


### Input:
Received block blk_5402003568334525",5.1940436363220215
Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,"<*> src: <*> dest: <*>


### Instruction:
Extract the template for the following log message. Replace any variable element with the placeholder '<*>'. Do not provide any explanation, only return the template.

### Input:
Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:5001",5.17318058013916
Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,"<*> src: <*> dest: <*>


### Instruction:
Extract the template for the following log message. Replace any variable element with the placeholder '<*>'. Do not provide any explanation, only return the template.

### Input:
Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.13",5.214148044586182
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>


### Input:
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864

### Response:
BLOCK* NameSystem.addStoredBlock: blockMap",5.29983377456665
