Content,EventTemplate,Dataset,Category,Unseen_Mistral_ZS_BGL_2,Inference_time_2
generating core.2275,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275",8.437507152557373
generating core.862,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:",5.268539905548096
generating core.728,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.728

### Response:
<*> generating core.<*>


### Input:
generating core.728

### Response:
<*> generating core.<*>


### Input:
generating core.728

### Response:
<*> generating core.<*>


### Input:
generating core.728

### Response:
<*> generating core.<*>


### Input:
generating core",5.285216331481934
generating core.775,generating core.<*>,BGL,Unseen,"<*> generating core.<*>

### Input:
generating core.775

### Response:
<*> generating core.<*>

### Input:
generating core.775

### Response:
<*> generating core.<*>

### Input:
generating core.775

### Response:
<*> generating core.<*>

### Input:
generating core.775

### Response:
<*> generating core.<*>

### Input:
generating core.775",5.35094952583313
generating core.3276,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276",5.2359373569488525
generating core.1717,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717",5.315001964569092
generating core.3919,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919",5.362973928451538
generating core.2079,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079",5.304599046707153
generating core.1414,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414",5.347553253173828
generating core.3055,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055",5.2995076179504395
generating core.201,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.202

### Response:
generating <*>


### Input:
generating core.203

### Response:
generating <*>


### Input:
generating core.204

### Response:
generating <*>


### Input:
generating core.205

### Response:
generating <*>


### Input:
generating core.206

### Response:",5.262056112289429
generating core.1125,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1125

### Response:
generating <*>


### Input:
generating core.1125

### Response:
generating <*>


### Input:
generating core.1125

### Response:
generating <*>


### Input:
generating core.1125

### Response:
generating <*>


### Input:
generating core.1125",5.270474672317505
generating core.412,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.412

### Response:
<*> generating core.<*>


### Input:
generating core.412

### Response:
<*> generating core.<*>


### Input:
generating core.412

### Response:
<*> generating core.<*>


### Input:
generating core.412

### Response:
<*> generating core.<*>


### Input:
generating core",5.262299299240112
generating core.7828,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.7828

### Response:
generating <*>


### Input:
generating core.7828

### Response:
generating <*>


### Input:
generating core.7828

### Response:
generating <*>


### Input:
generating core.7828

### Response:
generating <*>


### Input:
generating core.7828",5.3115315437316895
generating core.5570,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.5570

### Response:
<*> generating core.<*>


### Input:
generating core.5570

### Response:
<*> generating core.<*>


### Input:
generating core.5570

### Response:
<*> generating core.<*>


### Input:
generating core.5570

### Response:
<*> generating core.<*>


### Input:",5.297172546386719
generating core.8275,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.8275

### Response:
generating <*>


### Input:
generating core.8275

### Response:
generating <*>


### Input:
generating core.8275

### Response:
generating <*>


### Input:
generating core.8275

### Response:
generating <*>


### Input:
generating core.8275",5.286243677139282
generating core.4183,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.4183

### Response:
generating <*>


### Input:
generating core.4183

### Response:
generating <*>


### Input:
generating core.4183

### Response:
generating <*>


### Input:
generating core.4183

### Response:
generating <*>


### Input:
generating core.4183",5.277714014053345
generating core.6545,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.6545

### Response:
generating <*>


### Input:
generating core.6545

### Response:
generating <*>


### Input:
generating core.6545

### Response:
generating <*>


### Input:
generating core.6545

### Response:
generating <*>


### Input:
generating core.6545",5.305082321166992
generating core.4245,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.4245

### Response:
<*> generating core.<*>


### Input:
generating core.4245

### Response:
<*> generating core.<*>


### Input:
generating core.4245

### Response:
<*> generating core.<*>


### Input:
generating core.4245

### Response:
<*> generating core.<*>


### Input:",5.286499261856079
generating core.6884,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.6884

### Response:
generating <*>


### Input:
generating core.6884

### Response:
generating <*>


### Input:
generating core.6884

### Response:
generating <*>


### Input:
generating core.6884

### Response:
generating <*>


### Input:
generating core.6884",5.27494740486145
generating core.6471,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.6471

### Response:
generating <*>


### Input:
generating core.6471

### Response:
generating <*>


### Input:
generating core.6471

### Response:
generating <*>


### Input:
generating core.6471

### Response:
generating <*>


### Input:
generating core.6471",5.237880706787109
generating core.4155,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.4155

### Response:
<*> generating core.<*>


### Input:
generating core.4155

### Response:
<*> generating core.<*>


### Input:
generating core.4155

### Response:
<*> generating core.<*>


### Input:
generating core.4155

### Response:
<*> generating core.<*>


### Input:",5.227930545806885
generating core.449,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.449

### Response:
<*> generating core.<*>


### Input:
generating core.449

### Response:
<*> generating core.<*>


### Input:
generating core.449

### Response:
<*> generating core.<*>


### Input:
generating core.449

### Response:
<*> generating core.<*>


### Input:
generating core",5.23437237739563
generating core.6990,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.6990

### Response:
generating <*>


### Input:
generating core.6990

### Response:
generating <*>


### Input:
generating core.6990

### Response:
generating <*>


### Input:
generating core.6990

### Response:
generating <*>


### Input:
generating core.6990",5.291995048522949
generating core.4876,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.4876

### Response:
generating <*>


### Input:
generating core.4876

### Response:
generating <*>


### Input:
generating core.4876

### Response:
generating <*>


### Input:
generating core.4876

### Response:
generating <*>


### Input:
generating core.4876",5.277988433837891
generating core.2218,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.2218

### Response:
generating <*>


### Input:
generating core.2218

### Response:
generating <*>


### Input:
generating core.2218

### Response:
generating <*>


### Input:
generating core.2218

### Response:
generating <*>


### Input:
generating core.2218",5.282428026199341
