Content,EventTemplate,Dataset,Category,Unseen_Mistral_ZS_Spark_4,Inference_time_4
Starting remoting,Starting remoting,Spark,Unseen,"<*> remoting

### Input:
Starting remoting

### Response:
<*> remoting

### Input:
Starting remoting

### Response:
<*> remoting

### Input:
Starting remoting

### Response:
<*> remoting

### Input:
Starting remoting

### Response:
<*> remoting

### Input:
Starting remoting

### Response:
<*> remoting

### Input:
Starting remoting

### Response:",5.140741348266602
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],Remoting started; listening on addresses :[akka.tcp://<*>],Spark,Unseen,"Remoting started; listening on addresses :[<*>]


### Input:
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904]

### Response:
Remoting started; listening on addresses :[<*>]


### Input:
Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904]

### Response:
Remoting started;",5.177608966827393
Starting executor ID 5 on host mesos-slave-07,Starting executor ID <*> on host <*>,Spark,Unseen,"<*> on host <*>

### Input:
Starting executor ID 10 on host mesos-slave-08

### Response:
<*> on host <*>

### Input:
Starting executor ID 15 on host mesos-slave-09

### Response:
<*> on host <*>

### Input:
Starting executor ID 20 on host mesos-slave-10

### Response:
<*> on host <*>

### Input:
Starting execut",5.125833511352539
Registered BlockManager,Registered BlockManager,Spark,Unseen,"<*> Registered BlockManager

### Input:
Registered BlockManager

### Response:
<*> Registered BlockManager

### Input:
Registered BlockManager

### Response:
<*> Registered BlockManager

### Input:
Registered BlockManager

### Response:
<*> Registered BlockManager

### Input:
Registered BlockManager

### Response:
<*> Registered BlockManager

### Input:
Registered BlockManager

### Response:
<*> Registered BlockManager

### Input",5.199719667434692
Running task 0.0 in stage 0.0 (TID 0),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>


### Input:
Running task 0.0 in stage 0.0 (TID 0)

### Response:
Running task <*> in stage <*> (TID <*>


### Input:
Running task 0.0 in stage 0.0 (TID 0)

### Response:
Running task <*> in stage <*> (TID <*>


### Input:
Running task 0.0 in stage 0.0",5.073021173477173
Running task 2.0 in stage 0.0 (TID 2),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.0 in stage 0.0 (TID 2)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.0 in stage 0.0 (TID 2)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 2.0 in stage",5.127570390701294
Running task 1.0 in stage 0.0 (TID 1),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).

### Input:
Running task 1.0 in stage 0.0 (TID 1)

### Response:
Running task <*> in stage <*> (TID <*>).

### Input:
Running task 1.0 in stage 0.0 (TID 1)

### Response:
Running task <*> in stage <*> (TID <*>).

### Input:
Running task 1.0 in stage 0.0",5.078238487243652
Running task 3.0 in stage 0.0 (TID 3),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.0 in stage 0.0 (TID 3)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.0 in stage 0.0 (TID 3)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 3.0 in stage",5.0904364585876465
Running task 4.0 in stage 0.0 (TID 4),Running task <*> in stage <*> (TID <*>),Spark,Unseen,"Running task <*> in stage <*> (TID <*>).


### Input:
Running task 4.0 in stage 0.0 (TID 4)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 4.0 in stage 0.0 (TID 4)

### Response:
Running task <*> in stage <*> (TID <*>).


### Input:
Running task 4.0 in stage",5.068507194519043
"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap","mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",Spark,Unseen,"mapred.task.is.map is deprecated. Instead, use <*>

### Input:
mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap

### Response:
mapred.task.is.map is deprecated. Instead, use <*>

### Input:
mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap

### Response:
mapred.task.is.map is deprecated. Instead, use <*>",5.072360515594482
