Content,EventTemplate,Dataset,Category,New_Mistral_ZS_HPC_5,Inference_time_5
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>).

### Input:
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973)

### Response:
Component State Change: Component <",5.150306224822998
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180)

### Response",5.163506031036377
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the unavailable state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089)

### Response:
Component State Change: Component <*> is in the unavailable state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089)

### Response",5.112399339675903
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088)

### Response",5.13566517829895
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538)

### Response",5.10437798500061
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480)

### Response",5.098495006561279
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713)

### Response",5.1341941356658936
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891)

### Response",5.130138158798218
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478)

### Response",5.13215708732605
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969)

### Response",5.076599597930908
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159)

### Response",5.138833522796631
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,"Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608)

### Response:
Component State Change: Component <*> is in the <*> state (HWID=<*>

### Input:
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608)

### Response",5.125016450881958
