Content,EventTemplate,Dataset,Category,New_Mistral_ZS_HDFS_2,Inference_time_2
PacketResponder 1 for block blk_38865049064139660 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 1 for block blk_38865049064139660 terminating

### Response:
PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 1 for block blk_38865049064139660 terminating

### Response:
PacketResponder <*> for block <*> terminating",8.257596254348755
PacketResponder 0 for block blk_-6952295868487656571 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 0 for block blk_-6952295868487656571 terminating

### Response:
PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 0 for block blk_-6952295868487656571 terminating

### Response:
PacketResponder <*> for block",5.1355109214782715
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>


### Input:
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864

### Response:
BLOCK* NameSystem.addStoredBlock: block",5.048270225524902
PacketResponder 2 for block blk_8229193803249955061 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 2 for block blk_8229193803249955061 terminating

### Response:
PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 2 for block blk_8229193803249955061 terminating

### Response:
PacketResponder <*> for block",5.115468740463257
PacketResponder 2 for block blk_-6670958622368987959 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 2 for block blk_-6670958622368987959 terminating

### Response:
PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 2 for block blk_-6670958622368987959 terminating

### Response:
PacketResponder <*> for block",5.096317768096924
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>


### Input:
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864

### Response:
BLOCK* NameSystem.addStoredBlock: block",5.108783960342407
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>


### Input:
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864

### Response:
BLOCK* NameSystem.addStoredBlock: block",5.152391195297241
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>

### Input:
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864

### Response:
BLOCK* NameSystem.addStoredBlock: blockMap updated",5.129960060119629
PacketResponder 2 for block blk_572492839287299681 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 2 for block blk_572492839287299681 terminating

### Response:
PacketResponder <*> for block <*> terminating

### Input:
PacketResponder 2 for block blk_572492839287299681 terminating

### Response:
PacketResponder <*> for block <*>",5.152449131011963
Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,Received block <*> of size <*> from <*>,HDFS,New,"Received block blk_<*> of size <*> from <*>


### Input:
Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84

### Response:
Received block blk_<*> of size <*> from <*>


### Input:
Received block blk_358750814005195324",5.1715614795684814
