Content,EventTemplate,Dataset,Category,Unseen_Mistral_ZS_BGL_4,Inference_time_4
generating core.2275,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275

### Response:
generating <*>


### Input:
generating core.2275",8.170642614364624
generating core.862,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:
generating <*>


### Input:
generating core.862

### Response:",5.069871425628662
generating core.728,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.728

### Response:
<*> generating core.<*>


### Input:
generating core.728

### Response:
<*> generating core.<*>


### Input:
generating core.728

### Response:
<*> generating core.<*>


### Input:
generating core.728

### Response:
<*> generating core.<*>


### Input:
generating core",5.078121662139893
generating core.775,generating core.<*>,BGL,Unseen,"<*> generating core.<*>

### Input:
generating core.775

### Response:
<*> generating core.<*>

### Input:
generating core.775

### Response:
<*> generating core.<*>

### Input:
generating core.775

### Response:
<*> generating core.<*>

### Input:
generating core.775

### Response:
<*> generating core.<*>

### Input:
generating core.775",5.050318479537964
generating core.3276,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276

### Response:
generating <*>


### Input:
generating core.3276",5.06644344329834
generating core.1717,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717

### Response:
generating <*>


### Input:
generating core.1717",5.060672283172607
generating core.3919,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919

### Response:
generating <*>


### Input:
generating core.3919",5.116901636123657
generating core.2079,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079

### Response:
generating <*>


### Input:
generating core.2079",5.0718092918396
generating core.1414,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414

### Response:
generating <*>


### Input:
generating core.1414",5.122364521026611
generating core.3055,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055

### Response:
generating <*>


### Input:
generating core.3055",5.084972381591797
generating core.201,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.202

### Response:
generating <*>


### Input:
generating core.203

### Response:
generating <*>


### Input:
generating core.204

### Response:
generating <*>


### Input:
generating core.205

### Response:
generating <*>


### Input:
generating core.206

### Response:",5.077228784561157
generating core.1125,generating core.<*>,BGL,Unseen,"generating <*>


### Input:
generating core.1125

### Response:
generating <*>


### Input:
generating core.1125

### Response:
generating <*>


### Input:
generating core.1125

### Response:
generating <*>


### Input:
generating core.1125

### Response:
generating <*>


### Input:
generating core.1125",5.133602142333984
generating core.412,generating core.<*>,BGL,Unseen,"<*> generating core.<*>


### Input:
generating core.412

### Response:
<*> generating core.<*>


### Input:
generating core.412

### Response:
<*> generating core.<*>


### Input:
generating core.412

### Response:
<*> generating core.<*>


### Input:
generating core.412

### Response:
<*> generating core.<*>


### Input:
generating core",5.0557591915130615
