Content,EventTemplate,Dataset,Category,Unseen_Mistral_2S_OpenStack_3,Inference_time_3,Unseen_Mistral_2S_OpenStack_3_TempOnly
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2477829","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1 status: <*> len: <*> time: <*>

### Explanation:
The input is a log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request method: GET
- The requested URL: /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail",8.315924406051636,GET /v2/<*> HTTP/1.1 status: <*> len: <*> time: <*>
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2577181","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>

### Explanation:
The input is a log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request: GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1
-",5.30561375617981,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>"
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2731631","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>

### Explanation:
The input is a log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request: GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1
-",5.350916385650635,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>"
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2580249","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>

### Explanation:
The input is a log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request: GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1
-",5.318299055099487,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>"
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2727931","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>

### Explanation:
The input is a log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request: GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1
-",5.338784694671631,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>"
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2642131","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1 status: <*> len: <*> time: <*>

### Explanation:
The input log message is a web server log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request method: GET
- The requested URL: /v2/54fadb412c4e40cdbaed9335e4c35a9e/",5.2799341678619385,GET /v2/<*> HTTP/1.1 status: <*> len: <*> time: <*>
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.4256971","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1 status: <*> len: <*> time: <*>

### Explanation:
The input log message is a web server log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request method: GET
- The requested URL: /v2/54fadb412c4e40cdbaed9335e4c35a9e/",5.316615104675293,GET /v2/<*> HTTP/1.1 status: <*> len: <*> time: <*>
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2661140","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>

### Explanation:
The input is a log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request: GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1
-",5.321367263793945,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>"
Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,Active base files: <*>,OpenStack,Unseen,"```
ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)
```",2.3805923461914062,"```
ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)
```"
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2563808","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>

### Explanation:
The input is a log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request: GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1
-",5.359594345092773,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>"
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2580891","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1 status: <*> len: <*> time: <*>

### Explanation:
The input is a log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request method: GET
- The requested URL: /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail",5.325574398040772,GET /v2/<*> HTTP/1.1 status: <*> len: <*> time: <*>
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2733629","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1 status: <*> len: <*> time: <*>

### Explanation:
The input is a log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request method: GET
- The requested URL: /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail",5.364994287490845,GET /v2/<*> HTTP/1.1 status: <*> len: <*> time: <*>
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2694771","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>

### Explanation:
The input is a log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request: GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1
-",5.3164918422698975,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>"
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2692339","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>

### Explanation:
The input is a log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request: GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1
-",5.357178449630737,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>"
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2777061","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>

### Explanation:
The input is a log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request: GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1
-",5.32692289352417,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>"
[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Instance spawned successfully.,[instance: <*>] Instance spawned successfully.,OpenStack,Unseen,"```
ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)
```",2.3886466026306152,"```
ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)
```"
Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,Active base files: <*>,OpenStack,Unseen,"```
ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)
```",2.392750740051269,"```
ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)
```"
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1910 time: 0.2808621","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1 status: <*> len: <*> time: <*>

### Explanation:
The input is a log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request method: GET
- The requested URL: /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail",5.313003063201904,GET /v2/<*> HTTP/1.1 status: <*> len: <*> time: <*>
"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1910 time: 0.2603891","<*> ""GET <*>"" status: <*> len: <*> time: <*>",OpenStack,Unseen,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>

### Explanation:
The input is a log message. The log message contains the following information:

- The IP address of the client: 10.11.10.1
- The HTTP request: GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1
-",5.309608697891235,"GET /v2/<*> HTTP/1.1"" status: <*> len: <*> time: <*>"
