Content,EventTemplate,Dataset,Category,Unseen_Mistral_2S_OpenSSH_4,Inference_time_4,Unseen_Mistral_2S_OpenSSH_4_TempOnly
Connection closed by 173.234.31.186 [preauth],Connection closed by <*> [preauth],OpenSSH,Unseen,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)",2.0834224224090576,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)"
Connection closed by 212.47.254.145 [preauth],Connection closed by <*> [preauth],OpenSSH,Unseen,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)",2.081190824508667,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)"
Received disconnect from 52.80.34.196: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,disconnect from <*> <*> (<*>),0.7397527694702148,disconnect from <*> <*> (<*>)
Connection closed by 173.234.31.186 [preauth],Connection closed by <*> [preauth],OpenSSH,Unseen,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)",2.0915913581848145,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)"
Received disconnect from 202.100.179.208: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,"disconnect from <*> <*> (<*>)

### Explanation:
The input log message is a disconnect message. The variable elements are the IP address of the client and the port number. The template is constructed by replacing the variable elements with the placeholder <*>.",2.775691509246826,disconnect from <*> <*> (<*>)
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,"disconnect from <*> <*> (<*>)

### Explanation:
The input log message is a disconnect message. The variable elements are the IP address of the client and the port number. The template is constructed by replacing the variable elements with the placeholder <*>.",2.8000423908233643,disconnect from <*> <*> (<*>)
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,"disconnect from <*> <*> (<*>)

### Explanation:
The input log message is a disconnect message. The variable elements are the IP address of the client and the port number. The template is constructed by replacing the variable elements with the placeholder <*>.",2.78942346572876,disconnect from <*> <*> (<*>)
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,"disconnect from <*> <*> (<*>)

### Explanation:
The input log message is a disconnect message. The variable elements are the IP address of the client and the port number. The template is constructed by replacing the variable elements with the placeholder <*>.",2.786623477935791,disconnect from <*> <*> (<*>)
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,"disconnect from <*> <*> (<*>)

### Explanation:
The input log message is a disconnect message. The variable elements are the IP address of the client and the port number. The template is constructed by replacing the variable elements with the placeholder <*>.",2.7679359912872314,disconnect from <*> <*> (<*>)
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,"disconnect from <*> <*> (<*>)

### Explanation:
The input log message is a disconnect message. The variable elements are the IP address of the client and the port number. The template is constructed by replacing the variable elements with the placeholder <*>.",2.74784517288208,disconnect from <*> <*> (<*>)
