Content,EventTemplate,Dataset,Category,New_Mistral_2S_HPC_5,Inference_time_5,New_Mistral_2S_HPC_5_TempOnly
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=<*>),3.7327184677124015,Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1212351322174072,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1346724033355713,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1166744232177734,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1279871463775637,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1270241737365725,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1239042282104492,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1403141021728516,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1352040767669678,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.1339287757873535,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
