Content,EventTemplate,Dataset,Category,Unseen_Mistral_2S_OpenSSH_4,Inference_time_4
Connection closed by 173.234.31.186 [preauth],Connection closed by <*> [preauth],OpenSSH,Unseen,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)",1.9176545143127441
Connection closed by 212.47.254.145 [preauth],Connection closed by <*> [preauth],OpenSSH,Unseen,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)",1.9091172218322754
Received disconnect from 52.80.34.196: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,"disconnect from <*> <*> (<*>)

### Explanation:
The input log message is a disconnect message. The variable elements are the IP address of the client, the port number, and the reason for disconnecting. The template should be constructed by replacing these variable elements with the placeholder <*>. The final template should be disconnect from <*> <*> (<*>).",3.6569032669067383
Connection closed by 173.234.31.186 [preauth],Connection closed by <*> [preauth],OpenSSH,Unseen,"ciod: In packet from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)",1.9189319610595703
Received disconnect from 202.100.179.208: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,"disconnect from nodes <*> and <*> (<*>:<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)",1.7548353672027588
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,"disconnect from <*> <*> (<*>)

### Explanation:
The input log message is a disconnect message. The variable elements are the IP address of the client and the port number. The template is constructed by replacing these variable elements with the placeholder <*>.",2.572105646133423
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,"disconnect from <*> <*> (<*>)

### Explanation:
The input log message is a disconnect message. The variable elements are the IP address of the client and the port number. The template is constructed by replacing these variable elements with the placeholder <*>.",2.5532515048980713
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,"disconnect from <*> <*> (<*>)

### Explanation:
The input log message is a disconnect message. The variable elements are the IP address of the client and the port number. The template is constructed by replacing these variable elements with the placeholder <*>.",2.555225133895874
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,"disconnect from <*> <*> (<*>)

### Explanation:
The input log message is a disconnect message. The variable elements are the IP address of the client and the port number. The template is constructed by replacing these variable elements with the placeholder <*>.",2.560304880142212
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth],OpenSSH,Unseen,"disconnect from <*> <*> (<*>)

### Explanation:
The input log message is a disconnect message. The variable elements are the IP address of the client and the port number. The template is constructed by replacing these variable elements with the placeholder <*>.",2.565983772277832
