Content,EventTemplate,Dataset,Category,Unseen_Mistral_2S_Thunderbird_4,Inference_time_4
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for user <*> by (uid=<*>)

### Input:
Error = , LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x",5.165348768234253
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for user <*> by (uid=<*>)

### Input:
Error = , LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x",5.162616491317749
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for user <*> by (uid=<*>)

### Input:
Error = , LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x",5.126699209213257
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for user <*> by (uid=<*>)

### Input:
Error = , LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x",5.18690824508667
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for user <*> by (uid=<*>)

### Input:
Error = , LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x",5.145959854125977
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for user <*> by (uid=<*>)

### Input:
Error = , LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x",5.143331050872803
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for user <*> by (uid=<*>)

### Input:
Error = , LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x",5.1748645305633545
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for user <*> by (uid=<*>)

### Input:
Error = , LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x",5.0819315910339355
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for user <*> by (uid=<*>)

### Input:
Error = , LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x",5.142496585845947
session opened for user root by (uid=0),session opened for user <*> by (uid=<*>),Thunderbird,Unseen,"session opened for user <*> by (uid=<*>)

### Input:
Error = , LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file at /10.10.34.20:56374 point [/TEST/NEW_TEST], connect to proxy proxy.cse.cuhk.edu.hk:5070 to renew session (0x",5.0941245555877686
