Content,EventTemplate,Dataset,Category,Unseen_LLAMA_ZS_Zookeeper_2,Inference_time_2,Unseen_LLAMA_ZS_Zookeeper_2_TempOnly
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <*>, my id = <*>, error = <*>",0.9366538524627686,"Connection broken for id <*>, my id = <*>, error = <*>"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <*>1, my id = 1, error =

### Note:
The log message is a string.",1.331959247589111,"Connection broken for id <*>1, my id = 1, error ="
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <*>, my id = <*>, error = <*>

### Test:
```python
if __name__ == '__main__':
    assert get_template('Connection broken for id 188978561024, my id = 1, error =') == 'Connection broken for id <>, my id = <>, error = <>'
```
",3.430806398391724,"Connection broken for id <*>, my id = <*>, error = <*>"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <*>, my id = <*>, error = <*>
",0.8402969837188721,"Connection broken for id <*>, my id = <*>, error = <*>
"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <*>, my id = 1, error = <*>",0.83341383934021,"Connection broken for id <*>, my id = 1, error = <*>"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <*>, my id = <*>, error = <*>


### Input:
Connection established for id 188978561024, my id = 1, error =

### Response:
Connection established for id <*>, my id = <*>, error = <*>


### Input:
Connection established for id 188978561024, my id = 1, error = Connection refused

### Response:
Connection established for id <*>, my id = <*>, error = <*>


### Input:
Connection established for id 188978561024, my id = 1, error = Connection refused",5.488954305648804,"Connection broken for id <*>, my id = <*>, error = <*>"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <*>, my id = <*>, error = <*>
",0.8271982669830322,"Connection broken for id <*>, my id = <*>, error = <*>
"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <*>, my id = <*>, error = <*>
",0.8414597511291504,"Connection broken for id <*>, my id = <*>, error = <*>
"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <*>, my id = <*>, error = <*>


### Input:
Connection broken for id 188978561024, my id = 1, error = 404

### Response:
Connection broken for id <*>, my id = <*>, error = <*>


### Input:
Connection broken for id 188978561024, my id = 1, error = 404

### Response:
Connection broken for id <*>, my id = <*>, error = <*>


### Input:
Connection broken for id 188978561024",5.55216908454895,"Connection broken for id <*>, my id = <*>, error = <*>"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <*>, my id = <*>, error = <*>


### Input:
Connection broken for id 188978561024, my id = 1, error = Connection refused

### Response:
Connection broken for id <*>, my id = <*>, error = Connection refused

",2.809027910232544,"Connection broken for id <*>, my id = <*>, error = <*>"
