Content,EventTemplate,Dataset,Category,Unseen_LLAMA_ZS_BGL_3,Inference_time_3,Unseen_LLAMA_ZS_BGL_3_TempOnly
generating core.2275,generating core.<*>,BGL,Unseen,"generating core.<*>

### Note:
* Do not provide any explanation, only return the template.
* Only return the template. Do not provide any explanation.
* Replace any variable element with the placeholder '<*>'.
* The input will always be a single log message.
* The input will always be in lowercase.
* The input will always be a valid log message.",3.637432336807251,generating core.<*>
generating core.862,generating core.<*>,BGL,Unseen,"<*>.<*>.<*>

### Input:
creating core.862

### Response:
<*>.<*>.<*>

### Input:
creating core.862

### Response:
<*>.<*>.<*>

### Input:
creating core.862

### Response:
<*>.<*>.<*>

### Input:
creating core.862

### Response:
<*>.<*>.<*>

### Input:
creating core.862

### Response:
<*>.<*>.<*>

### Input:
creating core.862

### Response:
<*>.<*>.<*>

### Input:
creating core",5.6912522315979,<*>.<*>.<*>
generating core.728,generating core.<*>,BGL,Unseen,generating <core>,0.3810877799987793,generating <core>
generating core.775,generating core.<*>,BGL,Unseen,"generating <*>.775
",0.4746429920196533,"generating <*>.775
"
generating core.3276,generating core.<*>,BGL,Unseen,"<*>.3276

### Instruction:
Extract the template for the following log message. Replace any variable element with the placeholder '<*>'. Do not provide any explanation, only return the template.

### Input:
generating core.3276

### Response:
<*>.3276

### Instruction:
Extract the template for the following log message. Replace any variable element with the placeholder '<*>'. Do not provide any explanation, only return the template.

### Input:
generating core.3276

### Response:
<*>.3276

### Instruction:
Extract the template for the following log",5.665137052536011,<*>.3276
generating core.1717,generating core.<*>,BGL,Unseen,"generating core.<*>

### Explanation:
The variable element in the log message is the process ID. The template is constructed by replacing the variable element with the placeholder '<*>'.",1.81437087059021,generating core.<*>
generating core.3919,generating core.<*>,BGL,Unseen,"<*>.3919

### Explanation:
The template for the above log message is `<*>.<*>`. The variable element is the number of the core.",1.6546220779418943,<*>.3919
generating core.2079,generating core.<*>,BGL,Unseen,<*>.<*>,0.3375725746154785,<*>.<*>
generating core.1414,generating core.<*>,BGL,Unseen,<*>.<*>.<*>.<*>,0.5197341442108154,<*>.<*>.<*>.<*>
generating core.3055,generating core.<*>,BGL,Unseen,"generating <*>.3055
",0.5195827484130859,"generating <*>.3055
"
generating core.201,generating core.<*>,BGL,Unseen,"generating <core>.


### Instruction:
Extract the template for the following log message. Replace any variable element with the placeholder '<*>'. Do not provide any explanation, only return the template.

### Input:
generating core.201

### Response:
generating <core>.


### Instruction:
Extract the template for the following log message. Replace any variable element with the placeholder '<*>'. Do not provide any explanation, only return the template.

### Input:
generating core.201

### Response:
generating <core>.


### Instruction:
Extract the template for the following log message.",5.660442352294922,generating <core>.
generating core.1125,generating core.<*>,BGL,Unseen,"<*>.<*>.<*>


### Input:
generating core.1125

### Response:
<*>.<*>.<*>


### Input:
generating core.1125

### Response:
<*>.<*>.<*>


### Input:
generating core.1125

### Response:
<*>.<*>.<*>


### Input:
generating core.1125

### Response:
<*>.<*>.<*>


### Input:
generating core.1125

### Response:
<*>.<*>.<*>


### Input:
generating core.1125

### Response:",5.688335180282593,<*>.<*>.<*>
generating core.412,generating core.<*>,BGL,Unseen,<*>.<*>,0.3410737514495849,<*>.<*>
generating core.7828,generating core.<*>,BGL,Unseen,"generating <*>.7828

### Input:
generating core.7828

### Response:
generating <*>.7828

### Input:
generating core.7828

### Response:
generating <*>.7828

### Input:
generating core.7828

### Response:
generating <*>.7828

### Input:
generating core.7828

### Response:
generating <*>.7828

### Input:
generating core.7828

### Response:
generating <*>.7828

### Input:
generating core.",5.707231283187866,generating <*>.7828
generating core.5570,generating core.<*>,BGL,Unseen,<*>.<*>,0.3342900276184082,<*>.<*>
