Content,EventTemplate,Dataset,Category,Unseen_LLAMA_ZS_Mac_2,Inference_time_2,Unseen_LLAMA_ZS_Mac_2_TempOnly
"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs","ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs",Mac,Unseen,"ARPT: <*>.<*>: <*>: <*>: <*> SRV Recs, <*> TXT Recs
",1.3874313831329346,"ARPT: <*>.<*>: <*>: <*>: <*> SRV Recs, <*> TXT Recs
"
[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,[<*>:<*>:<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [<*>] Byte flume reports host available again.,Mac,Unseen,"[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.

### Explanation:
The log message is in the format of '[time] <<<< CRABS >>>> crabsFlumeHostAvailable: [object] Byte flume reports host available again.' We can see that the variable elements are the time and the object. We can generalize these elements as '[<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [<*>] Byte",5.58389139175415,[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.
"network_reachability_changed : network is not reachable, netbiosd is shutting down","network_reachability_changed : network is not reachable, netbiosd is shutting down",Mac,Unseen,"network_reachability_changed : network is not reachable, netbiosd is shutting down
",0.9769673347473145,"network_reachability_changed : network is not reachable, netbiosd is shutting down
"
AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0,<*>::<*> - intel_rp = <*> dlla_reporting_supported = <*>,Mac,Unseen,"AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = <*> dlla_reporting_supported = <*>
",1.467674970626831,"AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = <*> dlla_reporting_supported = <*>
"
AppleCamIn::wakeEventHandlerThread,AppleCamIn::wakeEventHandlerThread,Mac,Unseen,"AppleCamIn::wakeEventHandlerThread

### Input:
AppleCamIn::wakeEventHandlerThread

### Response:
AppleCamIn::wakeEventHandlerThread

### Input:
AppleCamIn::wakeEventHandlerThread

### Response:
AppleCamIn::wakeEventHandlerThread

### Input:
AppleCamIn::wakeEventHandlerThread

### Response:
AppleCamIn::wakeEventHandlerThread

### Input:
AppleCamIn::wakeEventHandlerThread

### Response:
AppleCamIn::wakeEventHandlerThread

### Input:
AppleCamIn::wakeEventHandlerThread

### Response:
AppleCamIn::wakeEventHandlerThread

### Input",5.577677488327026,AppleCamIn::wakeEventHandlerThread
"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}","SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",Mac,Unseen,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}

### Hint:
Please, notice that the template is a string with placeholders. The placeholders can be used as variables to store the log message structure.",3.1533048152923584,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}"
"ARPT: 626126.086205: wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10","ARPT: <*>: wl0: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>",Mac,Unseen,"ARPT: <*>.<*>: wl0: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>

",1.4645318984985352,"ARPT: <*>.<*>: wl0: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>"
__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018 tc19060 125.39.133.143:14000,<*>-[NETClientConnection <*>]_block_invoke CI46 - Hit by torpedo! <*> <*> <*>:<*>,Mac,Unseen,<*>-[NETClientConnection evaluateCrazyIvan<*>]_block_invoke CI<*> - Hit by torpedo! QQ.<*> tc<*> <*>:<*>,1.7324154376983645,<*>-[NETClientConnection evaluateCrazyIvan<*>]_block_invoke CI<*> - Hit by torpedo! QQ.<*> tc<*> <*>:<*>
CCXPCService::setStreamEventHandler Registered for notification callback.,CCXPCService::setStreamEventHandler Registered for notification callback.,Mac,Unseen,"CCXPCService::setStreamEventHandler Registered for notification callback.

### Explanation:
The input log message is a string of characters. It contains a variable element (CCXPCService::setStreamEventHandler) that is repeated in the same message. We extract this element and generalize it by replacing it with the placeholder '<*>'.",3.1132054328918457,CCXPCService::setStreamEventHandler Registered for notification callback.
"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}","SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",Mac,Unseen,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""Account identity not set"" UserInfo={NSDescription=<*>}

",1.6930217742919922,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""Account identity not set"" UserInfo={NSDescription=<*>}"
