Content,EventTemplate,Dataset,Category,Unseen_LLAMA_ZS_HealthApp_5,Inference_time_5,Unseen_LLAMA_ZS_HealthApp_5_TempOnly
onReceive action: android.intent.action.SCREEN_ON,onReceive action: android.intent.action.SCREEN_ON,HealthApp,Unseen,"onReceive action: <*>

### Input:
onReceive action: android.intent.action.SCREEN_OFF

### Response:
onReceive action: <*>

### Input:
onReceive action: android.intent.action.BATTERY_LOW

### Response:
onReceive action: <*>

### Input:
onReceive action: android.intent.action.BATTERY_OKAY

### Response:
onReceive action: <*>

### Input:
onReceive action: android.intent.action.SENSOR_STATUS

### Response:
onReceive action: <*>

### Input:
onReceive action: android.intent.action.SENSOR_STATUS

### Response",5.490214347839356,onReceive action: <*>
setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,1.1341979503631592,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7007 5002 150089 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>


### Explanation:
The log message consists of four elements separated by a single space. The first two elements are constants, and the last two elements are variables. Therefore, the template is REPORT : <*> <*> <*> <*>.",2.71124005317688,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"setTodayTotalDetailSteps=1514038440000##<*>##<*>##<*>##<*>##<*>


### Instruction:
Extract the template for the following log message. Replace any variable element with the placeholder '<*>'. Do not provide any explanation, only return the template.

### Input:
setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269

### Response:
setTodayTotalDetailSteps=1514038440000##<*>##<*>##<*>##<*>##<*>",5.467941284179688,setTodayTotalDetailSteps=1514038440000##<*>##<*>##<*>##<*>##<*>
REPORT : 7008 5003 150111 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>


### Input:
REPORT : 7008 5003 150111 240

### Response:
REPORT : <*> <*> <*> <*>


### Input:
REPORT : 7008 5003 150111 240

### Response:
REPORT : <*> <*> <*> <*>


### Input:
REPORT : 7008 5003 150111 240

### Response:
REPORT : <*> <*> <*> <*>


### Input:
REPORT : 7008 5003 150111 240",5.458750009536743,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,<*>##<*>##<*>##<*>##<*>##<*>,0.9358973503112792,<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7009 5004 150132 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,REPORT : <*> <*> <*> <*>,0.6070473194122314,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,<*>##<*>##<*>##<*>##<*>##<*>,0.9183285236358644,<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7011 5005 150175 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>

### Input:
REPORT : 2012 5005 150175 120

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 2012 5005 150175 120

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 2012 5005 150175 120

### Response:
REPORT : <*> <*> <*> <*>

### Input:
REPORT : 2012 5005 150175 120",5.431637763977051,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,<*>##<*>##<*>##<*>##<*>##<*>,0.906191110610962,<*>##<*>##<*>##<*>##<*>##<*>
