Content,EventTemplate,Dataset,Category,Unseen_LLAMA_ZS_HealthApp_4,Inference_time_4,Unseen_LLAMA_ZS_HealthApp_4_TempOnly
onReceive action: android.intent.action.SCREEN_ON,onReceive action: android.intent.action.SCREEN_ON,HealthApp,Unseen,"onReceive action: <android.intent.action.SCREEN_ON>

### Input:
onReceive action: android.intent.action.SCREEN_OFF

### Response:
onReceive action: <android.intent.action.SCREEN_OFF>

### Input:
onReceive action: android.intent.action.BOOT_COMPLETED

### Response:
onReceive action: <android.intent.action.BOOT_COMPLETED>

### Input:
onReceive action: android.intent.action.TIME_SET

### Response:
onReceive action: <android.intent.action.TIME_SET>

### Input:
onReceive action: android.intent.action.TIMEZONE_CHANGED

### Response:
onReceive action: <android",5.6216912269592285,onReceive action: <android.intent.action.SCREEN_ON>
setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"setTodayTotalDetailSteps=<*>
",0.521735668182373,"setTodayTotalDetailSteps=<*>
"
REPORT : 7007 5002 150089 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>
",0.6543865203857422,"REPORT : <*> <*> <*> <*>
"
setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>


### Instruction:
Extract the template for the following log message. Replace any variable element with the placeholder '<*>'. Do not provide any explanation, only return the template.

### Input:
setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269

### Response:
setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>


### Instruction:
Extract the template for",5.63254714012146,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7008 5003 150111 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,REPORT : <*> <*> <*> <*>,0.6111299991607666,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,1.1603891849517822,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7009 5004 150132 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>


### Input:
REPORT : 7009 5004 150132 240

### Response:
REPORT : <*> <*> <*> <*>


### Input:
REPORT : 7009 5004 150132 240

### Response:
REPORT : <*> <*> <*> <*>


### Input:
REPORT : 7009 5004 150132 240

### Response:
REPORT : <*> <*> <*> <*>


### Input:
REPORT : 7009 5004 150132 240",5.621157884597778,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,1.1609742641448977,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7011 5005 150175 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,REPORT : <*> <*> <*> <*>,0.615619421005249,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>

### Instruction:
Extract the template for the following log message. Replace any variable element with the placeholder '<*>'. Do not provide any explanation, only return the template.

### Input:
setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464

### Response:
setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>

### Instruction:
Extract the",5.612164497375488,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>
