Content,EventTemplate,Dataset,Category,Unseen_LLAMA_ZS_Zookeeper_5,Inference_time_5,Unseen_LLAMA_ZS_Zookeeper_5_TempOnly
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <*>, my id = <*>, error = <*>",0.8043482303619385,"Connection broken for id <*>, my id = <*>, error = <*>"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <*> my id = 1, error = <*>",0.7700457572937012,"Connection broken for id <*> my id = 1, error = <*>"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <*>, my id = <*>, error = <*>

### Tips:
1. In order to extract the template, you need to identify all variable elements within the log message.
2. Variable elements are all elements that are not constant within the log message.",2.64841628074646,"Connection broken for id <*>, my id = <*>, error = <*>"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <*>, my id = 1, error = <*>


### Input:
Connection broken for id 188978561024, my id = 1, error = 404

### Response:
Connection broken for id 188978561024, my id = 1, error = 404


### Input:
Connection broken for id 188978561024, my id = 1, error = 404

### Response:
Connection broken for id 188978561024, my id = 1, error = 404


### Input:
Connection broken for id",5.504611015319824,"Connection broken for id <*>, my id = 1, error = <*>"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <*>, my id = <*>, error = <*>

### Note:
There is no need to provide an explanation, only the response.
",1.5581490993499756,"Connection broken for id <*>, my id = <*>, error = <*>"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <*>, my id = <*>, error = <*>

### Input:
Connection broken for id 188978561024, my id = 1, error = 404

### Response:
Connection broken for id <*>, my id = <*>, error = <*>

### Input:
Connection broken for id 188978561024, my id = 1, error = 404

### Response:
Connection broken for id <*>, my id = <*>, error = <*>

### Input:
Connection broken for id 188978561024, my id = 1, error =",5.485060214996338,"Connection broken for id <*>, my id = <*>, error = <*>"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <*>, my id = <*>, error = <*>
",0.8389260768890381,"Connection broken for id <*>, my id = <*>, error = <*>
"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <*>, my id = <*>, error = <*>
",0.8188908100128174,"Connection broken for id <*>, my id = <*>, error = <*>
"
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <id>, my id = 1, error =

",0.8274011611938477,"Connection broken for id <id>, my id = 1, error ="
"Connection broken for id 188978561024, my id = 1, error =","Connection broken for id <*>, my id = <*>, error =",Zookeeper,Unseen,"Connection broken for id <*>, my id = <*>, error = <*>

### Output:
Connection broken for id 188978561024, my id = 1, error =",1.7501590251922607,"Connection broken for id <*>, my id = <*>, error = <*>"
