Content,EventTemplate,Dataset,Category,New_LLAMA_ZS_HDFS_1,Inference_time_1,New_LLAMA_ZS_HDFS_1_TempOnly
PacketResponder 1 for block blk_38865049064139660 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block <*> terminating

### Note:
This is a simple example. You can expect the following:
* Variable elements are separated by spaces
* Variable elements are surrounded by spaces
* Variable elements are always the first and last elements of the log message
* There can be more than one variable element
* Variable elements can be empty
* Variable elements can be any type
* Variable elements can be repeated
* Variable elements can be in any order
* Variable elements can be any length
* Variable elements can be any format
* Variable elements can be any style",5.71745228767395,PacketResponder <*> for block <*> terminating
PacketResponder 0 for block blk_-6952295868487656571 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block blk_<*> terminating

### Explanation:
The variable elements in the log message are:
- PacketResponder 0
- blk_-6952295868487656571

### Template:
PacketResponder <*> for block blk_<*> terminating

### Note:
This is a very simple example. In the real world, the log messages are much more complicated.",3.7190539836883545,PacketResponder <*> for block blk_<*> terminating
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>,1.2854032516479492,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
PacketResponder 2 for block blk_8229193803249955061 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block blk_<*> terminating

### Note:
The input log message contains only one variable element, which is the block ID.
",1.5407192707061768,PacketResponder <*> for block blk_<*> terminating
PacketResponder 2 for block blk_-6670958622368987959 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block blk_<*> terminating

### Input:
PacketResponder 3 for block blk_-6670958622368987959 terminating

### Response:
PacketResponder <*> for block blk_-6670958622368987959 terminating

### Input:
PacketResponder 1 for block blk_-6670958622368987959 terminating

### Response:
PacketResponder <*> for block blk_-6670958622368987959 terminating

### Input:
PacketResponder 2 for block blk_-6670958622368987959 terminating

### Response:
PacketResponder <*> for block",5.653979778289795,PacketResponder <*> for block blk_<*> terminating
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>,1.275467872619629,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>

### Explanation:
1. The log message is from NameSystem module. The first variable element is 'NameSystem', and the second variable element is 'addStoredBlock'.
2. The third variable element is 'blockMap updated', and the fourth variable element is 'is added to blk_'. This variable element is '10.251.203.80:50010'.
3. The fifth variable element is'size 67108864', and the sixth variable element is",5.644624471664429,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
",1.2121913433074951,"BLOCK NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
"
PacketResponder 2 for block blk_572492839287299681 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block blk_<*> terminating
",0.6608166694641113,"PacketResponder <*> for block blk_<*> terminating
"
Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,Received block <*> of size <*> from <*>,HDFS,New,"Received block <*> of size <*> from <*>

### Explanation:
1. Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84
2. Received block <*> of size <*> from <*>
3. Replace any variable element with the placeholder '<*>'.",3.3568387031555176,Received block <*> of size <*> from <*>
Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,Received block <*> of size <*> from <*>,HDFS,New,Received block <*> of size <*> from <*>,0.658719539642334,Received block <*> of size <*> from <*>
Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,"Receiving block blk_<*> src: /10.251.30.6:<*> dest: /10.251.30.6:<*>


### Explanation:
In the above example, we have the following variable elements: blk_5792489080791696128, /10.251.30.6:33145, /10.251.30.6:50010. We can generalize these elements as follows: blk_<>, /10.251.30.6:<>, /10.251.30.6:<>.",5.251773118972778,Receiving block blk_<*> src: /10.251.30.6:<*> dest: /10.251.30.6:<*>
Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,"Receiving block blk_1724757848743533110 src: <*>

### Input:
Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010

### Response:
Receiving block blk_1724757848743533110 src: <*>

### Input:
Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010

###",5.646946430206299,Receiving block blk_1724757848743533110 src: <*>
