Content,EventTemplate,Dataset,Category,Unseen_LLAMA_ZS_Hadoop_1,Inference_time_1,Unseen_LLAMA_ZS_Hadoop_1_TempOnly
Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,Unseen,"Registering <*> for <*>
",0.5163979530334473,"Registering <*> for <*>
"
Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,Unseen,"Registering class <*> for class <*>

### Hint:
- The template should be constructed based on the log message.
- Only the variable elements should be replaced with the placeholder.
- The template should be constructed based on the log message.
- Only the variable elements should be replaced with the placeholder.",2.968547105789185,Registering class <*> for class <*>
Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,Unseen,"Registering class <*> for class <*>


### Input:
Registering class org.apache.hadoop.mapreduce.task.reduce.Shuffle@5e5e8c1 for class org.apache.hadoop.mapreduce.task.reduce.Shuffle

### Response:
Registering class <*> for class <*>


### Input:
Registering class org.apache.hadoop.mapreduce.task.reduce.Shuffle@5e5e8c1 for class org.apache.hadoop.mapreduce.task.reduce.Shuffle

### Response:
Registering class <*> for class <*>


### Input:
Registering class org.apache.hadoop.mapreduce.task.reduce.Sh",5.574955463409424,Registering class <*> for class <*>
Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,Unseen,<*> registering class <*> for class <*>,0.6084420680999756,<*> registering class <*> for class <*>
Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,Unseen,"Registering class <*> for class <*>
",0.6127252578735352,"Registering class <*> for class <*>
"
Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,Unseen,"Registering class <*> for class <*>


### Input:
Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher

### Response:
Registering class <*> for class <*>


### Input:
Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher

### Response:
Registering class <*> for class <*>


### Input:
Register",5.585995674133301,Registering class <*> for class <*>
Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,Unseen,Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter,1.7040026187896729,Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter
Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,Unseen,"Registering class <*> for class <*>


### Input:
Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter

### Response:
Registering class <*> for class <*>


### Input:
Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter

### Response:
Registering class <*> for class <*>


### Input:
Registering class",5.558089256286621,Registering class <*> for class <*>
Default file system [hdfs://msra-sa-41:9000],Default file system [hdfs://<*>:<*>],Hadoop,Unseen,"Default file system [hdfs://msra-sa-41:9000]
",0.9275238513946532,"Default file system [hdfs://msra-sa-41:9000]
"
Default file system [hdfs://msra-sa-41:9000],Default file system [hdfs://<*>:<*>],Hadoop,Unseen,"Default file system [<*>://<*>:<*>]

### Input:
Default file system [hdfs://msra-sa-41:9000]

### Response:
Default file system [<*>://<*>:<*>]

### Input:
Default file system [hdfs://msra-sa-41:9000]

### Response:
Default file system [<*>://<*>:<*>]

### Input:
Default file system [hdfs://msra-sa-41:9000]

### Response:
Default file system [<*>://<*>:<*>]

### Input:
Default file system [",5.582223415374756,Default file system [<*>://<*>:<*>]
