Content,EventTemplate,Dataset,Category,New_LLAMA_ZS_HDFS_2,Inference_time_2,New_LLAMA_ZS_HDFS_2_TempOnly
PacketResponder 1 for block blk_38865049064139660 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block blk_<*> terminating
",0.6841089725494385,"PacketResponder <*> for block blk_<*> terminating
"
PacketResponder 0 for block blk_-6952295868487656571 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <0> for block blk_<*-6952295868487656571> terminating
",1.0939040184020996,"PacketResponder <0> for block blk_<*-6952295868487656571> terminating
"
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>,1.275850772857666,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
PacketResponder 2 for block blk_8229193803249955061 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block blk_<*> terminating

### Input:
PacketResponder 2 for block blk_8229193803249955061 terminating

### Response:
PacketResponder <*> for block blk_<*> terminating

### Input:
PacketResponder 2 for block blk_8229193803249955061 terminating

### Response:
PacketResponder <*> for block blk_<*> terminating

### Input:
PacketResponder 2 for block blk_8229193803249955061 terminating

### Response:
PacketResponder <*> for block blk_<*> terminating

### Input:
PacketResponder 2",5.7700910568237305,PacketResponder <*> for block blk_<*> terminating
PacketResponder 2 for block blk_-6670958622368987959 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block <*> terminating

",0.6225244998931885,PacketResponder <*> for block <*> terminating
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>


### Input:
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864

### Response:
BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>


### Input:
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115",5.775656938552856,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>

### Explanation:
- The input log message contains 4 elements: BLOCK, NameSystem.addStoredBlock, blockMap updated, and the rest.
- The first element (BLOCK) is a fixed element and does not require a placeholder.
- The second element (NameSystem.addStoredBlock) contains a variable element (NameSystem) and does not require a placeholder.
- The third element (blockMap updated) contains 2 variable elements (blockMap and updated) and requires",5.765676736831665,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
",1.3325908184051514,"BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
"
PacketResponder 2 for block blk_572492839287299681 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block blk_<*> terminating

### Input:
PacketResponder 3 for block blk_572492839287299681 terminating

### Response:
PacketResponder <*> for block blk_<*> terminating

### Input:
PacketResponder 4 for block blk_572492839287299681 terminating

### Response:
PacketResponder <*> for block blk_<*> terminating

### Input:
PacketResponder 5 for block blk_572492839287299681 terminating

### Response:
PacketResponder <*> for block blk_<*> terminating

### Input:
PacketResponder 6 for block blk",5.773868799209595,PacketResponder <*> for block blk_<*> terminating
Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,Received block <*> of size <*> from <*>,HDFS,New,"Received block <*> of size <*> from <*>

### Explanation:
This is a log message. It is composed of several variable elements, such as the block number and size, and the IP address of the sender. We generalize these elements by replacing them with placeholders, such as '<*>'. The template for this log message is: Received block <*> of size <*> from <*>.",3.949831247329712,Received block <*> of size <*> from <*>
Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,Received block <*> of size <*> from <*>,HDFS,New,"Received block <*> of size <*> from <*>
",0.717583179473877,"Received block <*> of size <*> from <*>
"
Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,"Receiving block blk_<*> src: <src> dest: <dest>
",0.8948948383331299,"Receiving block blk_<*> src: <src> dest: <dest>
"
Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,"Receiving block <*> src: <*> dest: <*>

",0.8103721141815186,Receiving block <*> src: <*> dest: <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>

### Input:
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864

### Response:
BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>

### Input:
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8",5.756081581115723,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010,Receiving block <*> src: <*>:<*> dest: <*>:<*>,HDFS,New,Receiving block <*> src: <*> dest: <*>,0.7621989250183105,Receiving block <*> src: <*> dest: <*>
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100,BLOCK* NameSystem.allocateBlock: <*> <*>,HDFS,New,"BLOCK <*> NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100

### Explanation:
The variable element in the log message is the path of the file.
",3.120036125183105,BLOCK <*> NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100
PacketResponder 1 for block blk_5017373558217225674 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block blk_<*> terminating
",0.6647369861602783,"PacketResponder <*> for block blk_<*> terminating
"
Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1,Received block <*> of size <*> from <*>,HDFS,New,"Received block <*> of size <*> from <*>

### Input:
Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1

### Response:
Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1

### Input:
Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1

### Response:
Received block blk_9212264480425680329 of size 671",5.762809753417969,Received block <*> of size <*> from <*>
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702,BLOCK* NameSystem.allocateBlock: <*> <*>,HDFS,New,"BLOCK <*> NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702
",2.28631854057312,"BLOCK <*> NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702
"
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130:50010 is added to blk_4568434182693165548 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>


### Test:
BLOCK 10.251.111.130 NameSystem.addStoredBlock: blockMap updated: 10.251.111.130 is added to blk_4568434182693165548 size 67108864
",3.5811522006988525,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
Received block blk_-5704899712662113150 of size 67108864 from /10.251.91.229,Received block <*> of size <*> from <*>,HDFS,New,"Received block blk_<*> of size 67108864 from <*>
",0.863201379776001,"Received block blk_<*> of size 67108864 from <*>
"
