Content,EventTemplate,Dataset,Category,Unseen_LLAMA_ZS_HealthApp_3,Inference_time_3,Unseen_LLAMA_ZS_HealthApp_3_TempOnly
onReceive action: android.intent.action.SCREEN_ON,onReceive action: android.intent.action.SCREEN_ON,HealthApp,Unseen,onReceive action: <*>,0.4373276233673095,onReceive action: <*>
setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,setTodayTotalDetailSteps=1514038440000##<*>##<*>##<*>##<*>##<*>,1.3564181327819824,setTodayTotalDetailSteps=1514038440000##<*>##<*>##<*>##<*>##<*>
REPORT : 7007 5002 150089 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>


### Input:
REPORT : 2000 4000 5000 2000

### Response:
REPORT : <*> <*> <*> <*>


### Input:
REPORT : 1000 2000 3000 4000

### Response:
REPORT : <*> <*> <*> <*>


### Input:
REPORT : 2000 4000 5000 2000

### Response:
REPORT : <*> <*> <*> <*>


### Input:
REPORT : 2000 4000 500",5.739107370376587,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"<*>##<*>##<*>##<*>##<*>##<*>

### Output:
1514038440000##7008##548365##8661##12456##27174269
",2.1647427082061768,<*>##<*>##<*>##<*>##<*>##<*>
REPORT : 7008 5003 150111 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>


### Input:
REPORT : 7008 5003 150111 240

### Response:
REPORT : <*> <*> <*> <*>


### Input:
REPORT : 7008 5003 150111 240

### Response:
REPORT : <*> <*> <*> <*>


### Input:
REPORT : 7008 5003 150111 240

### Response:
REPORT : <*> <*> <*> <*>


### Input:
REPORT : 7008 5003 150111 240",5.685560464859009,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##<*>
",1.4235293865203855,"setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##<*>
"
REPORT : 7009 5004 150132 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>
",0.6623973846435547,"REPORT : <*> <*> <*> <*>
"
setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,"setTodayTotalDetailSteps=<*><*><*><*><*><*>

### Explanation:
The first field in the log message is the name of the variable element, which is setTodayTotalDetailSteps. The second field is the value of the variable element, which is 1514038440000. The third field is the type of the variable element, which is a number. The fourth field is the unit of the variable element, which is milliseconds. The fifth field is the unit of the variable element, which is seconds. The sixth field is the unit of the variable element",5.691980838775635,setTodayTotalDetailSteps=<*><*><*><*><*><*>
REPORT : 7011 5005 150175 240,REPORT : <*> <*> <*> <*>,HealthApp,Unseen,"REPORT : <*> <*> <*> <*>

### Input:
REPORT : 7011 5005 150175 240 3004 5005 150175 150175 150175 150175 150175 150175 150175 150175 150175 150175 150175 150175 150175 150175 150175 150175 150175 150175 150175 150175 150175 150175 150175 150175 150175 150175 150175 150175 150175",5.628638505935669,REPORT : <*> <*> <*> <*>
setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,setTodayTotalDetailSteps=<*>##<*>##<*>##<*>##<*>##<*>,HealthApp,Unseen,setTodayTotalDetailSteps=1514038440000##<*>##<*>##<*>##<*>##<*>,1.3610832691192627,setTodayTotalDetailSteps=1514038440000##<*>##<*>##<*>##<*>##<*>
