Content,EventTemplate,Dataset,Category,New_LLAMA_FT_HPC_4,Inference_time_4
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.2767717838287354
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.2670166492462158
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>,1.1975970268249512
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.2585055828094482
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>,1.2169342041015625
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.31608247756958
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.2639355659484863
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.2706940174102783
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>,1.2171905040740967
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>,1.2204878330230713
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.2572109699249268
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>,1.2104945182800293
clusterAddMember  (command 1902),clusterAddMember (command <*>),HPC,New,clusterAddMember <*>,0.42218661308288574
clusterAddMember  (command 1900),clusterAddMember (command <*>),HPC,New,clusterAddMember <*>,0.43036460876464844
risBoot  (command 1903),risBoot (command <*>),HPC,New,risBoot  (command <*>),0.6102542877197266
bootGenvmunix  (command 1903),bootGenvmunix (command <*>),HPC,New,bootGenvmunix  (command <*>,0.7445046901702881
boot  (command 1911),boot (command <*>),HPC,New,boot  (command <*>,0.4909932613372803
boot  (command 1910),boot (command <*>),HPC,New,boot  (command <*>),0.5550327301025391
boot  (command 1978),boot (command <*>),HPC,New,boot  (command <*>,0.4884505271911621
boot  (command 1967),boot (command <*>),HPC,New,boot  (command <*>,0.48958635330200195
wait  (command 1975),wait (command <*>),HPC,New,wait  (command <*>),0.5774617195129395
boot  (command 1999),boot (command <*>),HPC,New,boot  (command <*>),0.5637056827545166
halt  (command 1982),halt (command <*>),HPC,New,halt  (command <*>,0.48451685905456543
boot  (command 1981),boot (command <*>),HPC,New,boot  (command <*>),0.5498621463775635
boot  (command 1973),boot (command <*>),HPC,New,boot  (command <*>,0.4823465347290039
wait  (command 1973),wait (command <*>),HPC,New,wait  (command <*>),0.5448799133300781
wait  (command 2057),wait (command <*>),HPC,New,wait  (command <*>),0.5462439060211182
boot  (command 2152),boot (command <*>),HPC,New,boot  (command <*>),0.5469710826873779
wait  (command 2154),wait (command <*>),HPC,New,wait  (command <*>,0.4868640899658203
boot  (command 2141),boot (command <*>),HPC,New,boot  (command <*>,0.48653292655944824
boot  (command 2110),boot (command <*>),HPC,New,boot  (command <*>,0.48734164237976074
boot  (command 2160),boot (command <*>),HPC,New,boot  (command <*>),0.5609304904937744
halt  (command 2221),halt (command <*>),HPC,New,halt  (command <*>),0.5472757816314697
wait  (command 2217),wait (command <*>),HPC,New,wait  (command <*>),0.54990553855896
wait  (command 2217),wait (command <*>),HPC,New,wait  (command <*>),0.547654390335083
wait  (command 2201),wait (command <*>),HPC,New,,0.5526754856109619
wait  (command 2199),wait (command <*>),HPC,New,,0.5511789321899414
boot  (command 2183),boot (command <*>),HPC,New,boot  (command <*>),0.5484611988067627
wait  (command 2189),wait (command <*>),HPC,New,wait  (command <*>),0.5449707508087158
wait  (command 2302),wait (command <*>),HPC,New,,0.5477561950683594
wait  (command 2270),wait (command <*>),HPC,New,wait  (command <*>),0.5524358749389648
wait  (command 2257),wait (command <*>),HPC,New,wait  (command <*>,0.4819800853729248
boot  (command 2257),boot (command <*>),HPC,New,boot  (command <*>),0.5472514629364014
boot  (command 2316),boot (command <*>),HPC,New,boot  (command <*>),0.5515594482421875
boot  (command 2316),boot (command <*>),HPC,New,boot  (command <*>),0.5504462718963623
wait  (command 2322),wait (command <*>),HPC,New,,0.5487830638885498
wait  (command 2354),wait (command <*>),HPC,New,,0.5482358932495117
wait  (command 2347),wait (command <*>),HPC,New,wait  (command <*>,0.4864315986633301
boot  (command 2368),boot (command <*>),HPC,New,boot  (command <*>),0.551356315612793
boot  (command 2392),boot (command <*>),HPC,New,boot  (command <*>),0.5567233562469482
boot  (command 2406),boot (command <*>),HPC,New,boot  (command <*>),0.5534722805023193
boot  (command 2417),boot (command <*>),HPC,New,boot  (command <*>),0.5596280097961426
boot  (command 2423),boot (command <*>),HPC,New,boot <*> (command <*>),0.5481231212615967
wait  (command 2424),wait (command <*>),HPC,New,wait  (command <*>),0.5508632659912109
wait  (command 2449),wait (command <*>),HPC,New,,0.5518171787261963
boot  (command 2464),boot (command <*>),HPC,New,boot  (command <*>),0.5556707382202148
wait  (command 2468),wait (command <*>),HPC,New,wait  (command <*>),0.5575788021087646
boot  (command 2520),boot (command <*>),HPC,New,boot  (command <*>),0.554250955581665
wait  (command 2517),wait (command <*>),HPC,New,wait  (command <*>,0.4994990825653076
boot  (command 2517),boot (command <*>),HPC,New,boot  (command <*>),0.5580599308013916
wait  (command 2511),wait (command <*>),HPC,New,wait  (command <*>),0.5471940040588379
wait  (command 2513),wait (command <*>),HPC,New,wait  (command <*>,0.4810314178466797
boot  (command 2514),boot (command <*>),HPC,New,boot  (command <*>),0.5427141189575195
wait  (command 2484),wait (command <*>),HPC,New,wait  (command <*>,0.47954797744750977
boot  (command 2625),boot (command <*>),HPC,New,boot  (command <*>),0.5479185581207275
wait  (command 2607),wait (command <*>),HPC,New,wait  (command <*>),0.5514798164367676
boot  (command 2616),boot (command <*>),HPC,New,boot  (command <*>,0.48288798332214355
boot  (command 2619),boot (command <*>),HPC,New,boot  (command <*>),0.5458519458770752
boot  (command 2616),boot (command <*>),HPC,New,boot  (command <*>),0.582042932510376
boot  (command 2616),boot (command <*>),HPC,New,boot  (command <*>),0.5506744384765625
boot  (command 2602),boot (command <*>),HPC,New,boot  (command <*>),0.5522992610931396
wait  (command 2582),wait (command <*>),HPC,New,,0.5462286472320557
boot  (command 2584),boot (command <*>),HPC,New,boot  (command <*>),0.5511031150817871
wait  (command 2549),wait (command <*>),HPC,New,wait  (command <*>),0.5468165874481201
boot  (command 2550),boot (command <*>),HPC,New,boot  (command <*>),0.5439729690551758
boot  (command 2548),boot (command <*>),HPC,New,boot  (command <*>,0.48732781410217285
boot  (command 2538),boot (command <*>),HPC,New,boot  (command <*>),0.5553622245788574
wait  (command 2683),wait (command <*>),HPC,New,wait  (command <*>),0.553795576095581
boot  (command 2686),boot (command <*>),HPC,New,boot  (command <*>),0.5507636070251465
wait  (command 2682),wait (command <*>),HPC,New,wait  (command <*>),0.5525686740875244
wait  (command 2763),wait (command <*>),HPC,New,wait  (command <*>),0.5470185279846191
wait  (command 2800),wait (command <*>),HPC,New,wait  (command <*>),0.549710750579834
boot  (command 2790),boot (command <*>),HPC,New,boot  (command <*>),0.5441277027130127
wait  (command 2817),wait (command <*>),HPC,New,wait  (command <*>),0.5789332389831543
wait  (command 2823),wait (command <*>),HPC,New,wait  (command <*>),0.5510523319244385
wait  (command 2817),wait (command <*>),HPC,New,wait  (command <*>,0.48612236976623535
wait  (command 2900),wait (command <*>),HPC,New,wait  (command <*>),0.5480823516845703
wait  (command 2885),wait (command <*>),HPC,New,wait  (command <*>),0.5611128807067871
wait  (command 2909),wait (command <*>),HPC,New,wait  (command <*>),0.5598669052124023
boot  (command 2960),boot (command <*>),HPC,New,boot  (command <*>),0.5615499019622803
wait  (command 2963),wait (command <*>),HPC,New,wait  (command <*>),0.5626752376556396
boot  (command 2999),boot (command <*>),HPC,New,boot  (command <*>),0.5463778972625732
halt  (command 2992),halt (command <*>),HPC,New,halt  (command <*>),0.5424540042877197
wait  (command 3087),wait (command <*>),HPC,New,wait  (command <*>),0.5437989234924316
wait  (command 3079),wait (command <*>),HPC,New,wait  (command <*>),0.5624778270721436
wait  (command 3078),wait (command <*>),HPC,New,wait  (command <*>),0.5509090423583984
wait  (command 3141),wait (command <*>),HPC,New,wait  (command <*>),0.5545918941497803
boot  (command 3138),boot (command <*>),HPC,New,boot  (command <*>),0.5526406764984131
boot  (command 3169),boot (command <*>),HPC,New,boot  (command <*>),0.5555322170257568
boot  (command 3169),boot (command <*>),HPC,New,boot  (command <*>,0.5080220699310303
boot  (command 3194),boot (command <*>),HPC,New,boot  (command <*>),0.5480196475982666
boot  (command 3320),boot (command <*>),HPC,New,boot  (command <*>),0.543752908706665
boot  (command 3318),boot (command <*>),HPC,New,boot  (command <*>),0.5494332313537598
boot  (command 3317),boot (command <*>),HPC,New,boot  (command <*>),0.5614087581634521
wait  (command 3319),wait (command <*>),HPC,New,wait  (command <*>),0.55291748046875
wait  (command 3334),wait (command <*>),HPC,New,wait  (command <*>),0.5494174957275391
boot  (command 3334),boot (command <*>),HPC,New,boot  (command <*>),0.5488653182983398
wait  (command 3412),wait (command <*>),HPC,New,wait  (command <*>),0.5539720058441162
boot  (command 3413),boot (command <*>),HPC,New,boot  (command <*>),0.548973798751831
boot  (command 3473),boot (command <*>),HPC,New,boot  (command <*>),0.5528247356414795
wait  (command 3523),wait (command <*>),HPC,New,wait  (command <*>,0.5096514225006104
wait  (command 3525),wait (command <*>),HPC,New,wait  (command <*>),0.5825014114379883
wait  (command 3519),wait (command <*>),HPC,New,wait  (command <*>),0.5923349857330322
boot  (command 3519),boot (command <*>),HPC,New,boot  (command <*>),0.5536496639251709
boot  (command 3512),boot (command <*>),HPC,New,boot  (command <*>),0.5460870265960693
boot  (command 3579),boot (command <*>),HPC,New,boot  (command <*>),0.5596969127655029
boot  (command 3572),boot (command <*>),HPC,New,boot  (command <*>),0.5463159084320068
boot  (command 3580),boot (command <*>),HPC,New,boot  (command <*>),0.5560879707336426
wait  (command 3612),wait (command <*>),HPC,New,wait  (command <*>),0.5468573570251465
boot  (command 3615),boot (command <*>),HPC,New,boot  (command <*>),0.5474388599395752
wait  (command 3609),wait (command <*>),HPC,New,wait  (command <*>),0.543560266494751
boot  (command 3624),boot (command <*>),HPC,New,boot  (command <*>),0.5640828609466553
wait  (command 3649),wait (command <*>),HPC,New,wait  (command <*>),0.5489926338195801
boot  (command 3639),boot (command <*>),HPC,New,boot  (command <*>),0.5427083969116211
wait  (command 3690),wait (command <*>),HPC,New,wait  (command <*>),0.5411818027496338
boot  (command 3696),boot (command <*>),HPC,New,boot  (command <*>),0.5408620834350586
