Content,EventTemplate,Dataset,Category,Unseen_LLAMA_FT_BGL_4,Inference_time_4
generating core.2275,generating core.<*>,BGL,Unseen,generating core.<*>,0.4749331474304199
generating core.862,generating core.<*>,BGL,Unseen,generating core.<*>,0.4725527763366699
generating core.728,generating core.<*>,BGL,Unseen,generating core.<*>,0.46897006034851074
generating core.775,generating core.<*>,BGL,Unseen,generating core.<*>,0.47519969940185547
generating core.3276,generating core.<*>,BGL,Unseen,generating core.<*>,0.4690420627593994
generating core.1717,generating core.<*>,BGL,Unseen,generating core.<*>,0.47515010833740234
generating core.3919,generating core.<*>,BGL,Unseen,generating core.<*>,0.4738504886627197
generating core.2079,generating core.<*>,BGL,Unseen,generating core.<*>,0.47927427291870117
generating core.1414,generating core.<*>,BGL,Unseen,generating core.<*>,0.47245097160339355
generating core.3055,generating core.<*>,BGL,Unseen,generating core.<*>,0.47313761711120605
generating core.201,generating core.<*>,BGL,Unseen,generating core.<*>,0.479367733001709
generating core.1125,generating core.<*>,BGL,Unseen,generating core.<*>,0.47351622581481934
generating core.412,generating core.<*>,BGL,Unseen,generating core.<*>,0.47297048568725586
generating core.7828,generating core.<*>,BGL,Unseen,generating core.<*>,0.48772644996643066
generating core.5570,generating core.<*>,BGL,Unseen,generating core.<*>,0.4709649085998535
generating core.8275,generating core.<*>,BGL,Unseen,generating core.<*>,0.470334529876709
generating core.4183,generating core.<*>,BGL,Unseen,generating core.<*>,0.4689350128173828
generating core.6545,generating core.<*>,BGL,Unseen,generating core.<*>,0.46944332122802734
generating core.4245,generating core.<*>,BGL,Unseen,generating core.<*>,0.46904754638671875
generating core.6884,generating core.<*>,BGL,Unseen,generating core.<*>,0.46790409088134766
generating core.6471,generating core.<*>,BGL,Unseen,generating core.<*>,0.47244930267333984
generating core.4155,generating core.<*>,BGL,Unseen,generating <*>,0.3481307029724121
generating core.449,generating core.<*>,BGL,Unseen,generating core.<*>,0.47002601623535156
generating core.6990,generating core.<*>,BGL,Unseen,generating core.<*>,0.47242069244384766
generating core.4876,generating core.<*>,BGL,Unseen,generating core.<*>,0.4646918773651123
generating core.2218,generating core.<*>,BGL,Unseen,generating core.<*>,0.47330665588378906
generating core.7518,generating core.<*>,BGL,Unseen,generating core.<*>,0.4688730239868164
generating core.5854,generating core.<*>,BGL,Unseen,generating core.<*>,0.47283053398132324
generating core.7457,generating core.<*>,BGL,Unseen,generating core.<*>,0.46924281120300293
generating core.6896,generating core.<*>,BGL,Unseen,generating core.<*>,0.4715733528137207
generating core.3488,generating core.<*>,BGL,Unseen,generating core.<*>,0.47355151176452637
generating core.1172,generating core.<*>,BGL,Unseen,generating core.<*>,0.4710862636566162
generating core.2286,generating core.<*>,BGL,Unseen,generating core.<*>,0.47657299041748047
generating core.786,generating core.<*>,BGL,Unseen,generating core.<*>,0.47191619873046875
generating core.2680,generating core.<*>,BGL,Unseen,generating core.<*>,0.47004055976867676
generating core.1524,generating core.<*>,BGL,Unseen,generating core.<*>,0.48101377487182617
generating core.4937,generating core.<*>,BGL,Unseen,generating core.<*>,0.4764573574066162
generating core.6801,generating core.<*>,BGL,Unseen,generating core.<*>,0.48499250411987305
generating core.4368,generating core.<*>,BGL,Unseen,generating core.<*>,0.4732186794281006
generating core.851,generating core.<*>,BGL,Unseen,generating core.<*>,0.47188353538513184
generating core.1744,generating core.<*>,BGL,Unseen,generating core.<*>,0.46775126457214355
generating core.1588,generating core.<*>,BGL,Unseen,generating core.<*>,0.47611284255981445
generating core.5307,generating core.<*>,BGL,Unseen,generating core.<*>,0.471757173538208
