Content,EventTemplate,Dataset,Category,Unseen_LLAMA_FT_BGL_2,Inference_time_2
generating core.2275,generating core.<*>,BGL,Unseen,generating core.<*>,0.47934556007385254
generating core.862,generating core.<*>,BGL,Unseen,generating core.<*>,0.47755885124206543
generating core.728,generating core.<*>,BGL,Unseen,generating core.<*>,0.485668420791626
generating core.775,generating core.<*>,BGL,Unseen,generating core.<*>,0.4850025177001953
generating core.3276,generating core.<*>,BGL,Unseen,generating core.<*>,0.48779821395874023
generating core.1717,generating core.<*>,BGL,Unseen,generating core.<*>,0.4919750690460205
generating core.3919,generating core.<*>,BGL,Unseen,generating core.<*>,0.4894378185272217
generating core.2079,generating core.<*>,BGL,Unseen,generating core.<*>,0.4925236701965332
generating core.1414,generating core.<*>,BGL,Unseen,generating core.<*>,0.490950345993042
generating core.3055,generating core.<*>,BGL,Unseen,generating core.<*>,0.4866352081298828
generating core.201,generating core.<*>,BGL,Unseen,generating core.<*>,0.5022170543670654
generating core.1125,generating core.<*>,BGL,Unseen,generating core.<*>,0.48216676712036133
generating core.412,generating core.<*>,BGL,Unseen,generating core.<*>,0.4950144290924072
generating core.7828,generating core.<*>,BGL,Unseen,generating <*>,0.35432910919189453
generating core.5570,generating core.<*>,BGL,Unseen,generating core.<*>,0.48634958267211914
generating core.8275,generating core.<*>,BGL,Unseen,generating core.<*>,0.4811055660247803
generating core.4183,generating core.<*>,BGL,Unseen,generating core.<*>,0.4806990623474121
generating core.6545,generating core.<*>,BGL,Unseen,generating core.<*>,0.4811422824859619
generating core.4245,generating core.<*>,BGL,Unseen,generating core.<*>,0.4942598342895508
generating core.6884,generating core.<*>,BGL,Unseen,generating core.<*>,0.480419397354126
generating core.6471,generating core.<*>,BGL,Unseen,generating core.<*>,0.4885275363922119
generating core.4155,generating core.<*>,BGL,Unseen,generating core.<*>,0.47872400283813477
generating core.449,generating core.<*>,BGL,Unseen,generating core.<*>,0.48063206672668457
generating core.6990,generating core.<*>,BGL,Unseen,generating core.<*>,0.47835612297058105
generating core.4876,generating core.<*>,BGL,Unseen,generating core.<*>,0.49616336822509766
generating core.2218,generating core.<*>,BGL,Unseen,generating core.<*>,0.48098278045654297
generating core.7518,generating core.<*>,BGL,Unseen,generating core.<*>,0.48227858543395996
generating core.5854,generating core.<*>,BGL,Unseen,generating core.<*>,0.4814121723175049
generating core.7457,generating core.<*>,BGL,Unseen,generating core.<*>,0.48210835456848145
generating core.6896,generating core.<*>,BGL,Unseen,generating core.<*>,0.4877748489379883
generating core.3488,generating core.<*>,BGL,Unseen,generating core.<*>,0.48276758193969727
generating core.1172,generating core.<*>,BGL,Unseen,generating core.<*>,0.4867279529571533
generating core.2286,generating core.<*>,BGL,Unseen,generating core.<*>,0.4760470390319824
generating core.786,generating core.<*>,BGL,Unseen,generating core.<*>,0.47817516326904297
generating core.2680,generating core.<*>,BGL,Unseen,generating core.<*>,0.47974419593811035
generating core.1524,generating core.<*>,BGL,Unseen,generating core.<*>,0.5062863826751709
generating core.4937,generating core.<*>,BGL,Unseen,generating core.<*>,0.47814416885375977
generating core.6801,generating core.<*>,BGL,Unseen,generating core.<*>,0.4929981231689453
generating core.4368,generating core.<*>,BGL,Unseen,generating core.<*>,0.4812593460083008
generating core.851,generating core.<*>,BGL,Unseen,generating core.<*>,0.48755812644958496
generating core.1744,generating core.<*>,BGL,Unseen,generating core.<*>,0.48142337799072266
generating core.1588,generating core.<*>,BGL,Unseen,generating core.<*>,0.4853940010070801
generating core.5307,generating core.<*>,BGL,Unseen,generating core.<*>,0.47714853286743164
generating core.7192,generating core.<*>,BGL,Unseen,generating core.<*>,0.4859333038330078
generating core.430,generating core.<*>,BGL,Unseen,generating core.<*>,0.4843475818634033
generating core.174,generating core.<*>,BGL,Unseen,generating core.<*>,0.4846830368041992
generating core.976,generating core.<*>,BGL,Unseen,generating core.<*>,0.4972057342529297
generating core.1990,generating core.<*>,BGL,Unseen,generating core.<*>,0.5074586868286133
generating core.3638,generating core.<*>,BGL,Unseen,generating <*>,0.3532862663269043
generating core.2690,generating core.<*>,BGL,Unseen,generating core.<*>,0.4970536231994629
generating core.3804,generating core.<*>,BGL,Unseen,generating core.<*>,0.4860994815826416
generating core.418,generating core.<*>,BGL,Unseen,generating core.<*>,0.48967409133911133
generating core.310,generating core.<*>,BGL,Unseen,generating core.<*>,0.4917924404144287
generating core.2409,generating core.<*>,BGL,Unseen,generating core.<*>,0.4860341548919678
generating core.4182,generating core.<*>,BGL,Unseen,generating core.<*>,0.477323055267334
generating core.8153,generating core.<*>,BGL,Unseen,generating core.<*>,0.48006772994995117
generating core.7836,generating core.<*>,BGL,Unseen,generating core.<*>,0.48218250274658203
generating core.2911,generating core.<*>,BGL,Unseen,generating core.<*>,0.4827091693878174
generating core.2921,generating core.<*>,BGL,Unseen,generating core.<*>,0.4792506694793701
generating core.122,generating core.<*>,BGL,Unseen,generating core.<*>,0.47901105880737305
generating core.1973,generating core.<*>,BGL,Unseen,generating core.<*>,0.47933077812194824
generating core.4984,generating core.<*>,BGL,Unseen,generating core.<*>,0.4801595211029053
generating core.1822,generating core.<*>,BGL,Unseen,generating core.<*>,0.5202529430389404
generating core.3265,generating core.<*>,BGL,Unseen,generating core.<*>,0.4777698516845703
generating core.2599,generating core.<*>,BGL,Unseen,generating core.<*>,0.4804501533508301
generating core.1818,generating core.<*>,BGL,Unseen,generating core.<*>,0.49210095405578613
generating core.1694,generating core.<*>,BGL,Unseen,generating core.<*>,0.48166871070861816
generating core.3401,generating core.<*>,BGL,Unseen,generating core.<*>,0.47931361198425293
generating core.25350,generating core.<*>,BGL,Unseen,generating core.<*>,0.4789595603942871
generating core.1820,generating core.<*>,BGL,Unseen,generating core.<*>,0.47806668281555176
generating core.254,generating core.<*>,BGL,Unseen,generating core.<*>,0.4808645248413086
generating core.1887,generating core.<*>,BGL,Unseen,generating core.<*>,0.47649192810058594
generating core.8280,generating core.<*>,BGL,Unseen,generating core.<*>,0.4801321029663086
generating core.12357,generating core.<*>,BGL,Unseen,generating core.<*>,0.48178744316101074
ciod: Message code 0 is not 51 or 4294967295,ciod: Message code <*> is not <*> or <*>,BGL,Unseen,ciod: Message code <*> is not 51 or 4294967295,1.2003748416900635
generating core.2522,generating core.<*>,BGL,Unseen,generating core.<*>,0.484783411026001
generating core.1711,generating core.<*>,BGL,Unseen,generating core.<*>,0.4793992042541504
generating core.2332,generating core.<*>,BGL,Unseen,generating core.<*>,0.48709821701049805
generating core.4505,generating core.<*>,BGL,Unseen,generating core.<*>,0.48020100593566895
generating core.1521,generating core.<*>,BGL,Unseen,generating core.<*>,0.4813699722290039
data store interrupt caused by dcbf.........0,data store interrupt caused by dcbf.........<*>,BGL,Unseen,data store interrupt caused by dcbf.........<*>,0.8599534034729004
data store interrupt caused by dcbf.........0,data store interrupt caused by dcbf.........<*>,BGL,Unseen,data store interrupt caused by dcbf.........<*>,0.8631863594055176
program interrupt: privileged instruction...0,program interrupt: privileged instruction...<*>,BGL,Unseen,program interrupt: privileged instruction...<*>,0.6638681888580322
program interrupt: privileged instruction...0,program interrupt: privileged instruction...<*>,BGL,Unseen,program interrupt: privileged instruction...<*>,0.6953001022338867
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,BGL,Unseen,data store interrupt caused by icbi.........<*>,0.8800399303436279
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,BGL,Unseen,data store interrupt caused by icbi.........<*>,0.789348840713501
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,BGL,Unseen,data store interrupt caused by icbi.........<*>,0.7849278450012207
byte ordering exception.....................0,byte ordering exception.....................<*>,BGL,Unseen,byte ordering exception.....................<*>,0.6075153350830078
byte ordering exception.....................0,byte ordering exception.....................<*>,BGL,Unseen,byte ordering exception.....................<*>,0.6158874034881592
data address space................0,data address space................<*>,BGL,Unseen,data address space................<*>,0.5427658557891846
data address space................0,data address space................<*>,BGL,Unseen,data address space................<*>,0.5472285747528076
guaranteed data cache block touch........1,guaranteed data cache block touch........<*>,BGL,Unseen,guaranteed data cache block touch........<*>,0.799027681350708
special purpose registers:,special purpose registers:,BGL,Unseen,special purpose registers:,0.43837976455688477
debug wait enable.................0,debug wait enable.................<*>,BGL,Unseen,debug wait enable.................<*>,0.6346383094787598
data address space................0,data address space................<*>,BGL,Unseen,data address space................<*>,0.5459268093109131
data address space................0,data address space................<*>,BGL,Unseen,data address space................<*>,0.5518157482147217
data address space................0,data address space................<*>,BGL,Unseen,data address space................<*>,0.5455470085144043
