Content,EventTemplate,Dataset,Category,New_Mistral_FT_HPC_4,Inference_time_4
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3693602085113525
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.366112232208252
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3646233081817627
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3720381259918213
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3721001148223877
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3754656314849854
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3728508949279785
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3453404903411865
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3509855270385742
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3432493209838867
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3421895503997803
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.338301181793213
clusterAddMember  (command 1902),clusterAddMember (command <*>),HPC,New,clusterAddMember (command <*>),0.6249682903289795
clusterAddMember  (command 1900),clusterAddMember (command <*>),HPC,New,clusterAddMember (command <*>),0.6165120601654053
risBoot  (command 1903),risBoot (command <*>),HPC,New,risBoot (command <*>),0.5662338733673096
bootGenvmunix  (command 1903),bootGenvmunix (command <*>),HPC,New,bootGenvmunix (command <*>),0.7544488906860352
boot  (command 1911),boot (command <*>),HPC,New,boot (command <*>),0.510645866394043
boot  (command 1910),boot (command <*>),HPC,New,boot (command <*>),0.5004732608795166
boot  (command 1978),boot (command <*>),HPC,New,boot (command <*>),0.4971771240234375
boot  (command 1967),boot (command <*>),HPC,New,boot (command <*>),0.5012433528900146
wait  (command 1975),wait (command <*>),HPC,New,wait (command <*>),0.497622013092041
boot  (command 1999),boot (command <*>),HPC,New,boot (command <*>),0.4974839687347412
halt  (command 1982),halt (command <*>),HPC,New,halt (command <*>),0.49599170684814453
boot  (command 1981),boot (command <*>),HPC,New,boot (command <*>),0.4954526424407959
boot  (command 1973),boot (command <*>),HPC,New,boot (command <*>),0.500312089920044
wait  (command 1973),wait (command <*>),HPC,New,wait (command <*>),0.49666619300842285
wait  (command 2057),wait (command <*>),HPC,New,wait (command <*>),0.49806952476501465
boot  (command 2152),boot (command <*>),HPC,New,boot (command <*>),0.4961826801300049
wait  (command 2154),wait (command <*>),HPC,New,wait (command <*>),0.5011494159698486
boot  (command 2141),boot (command <*>),HPC,New,boot (command <*>),0.49317336082458496
boot  (command 2110),boot (command <*>),HPC,New,boot (command <*>),0.4985475540161133
boot  (command 2160),boot (command <*>),HPC,New,boot (command <*>),0.5057129859924316
halt  (command 2221),halt (command <*>),HPC,New,halt (command <*>),0.49872374534606934
wait  (command 2217),wait (command <*>),HPC,New,wait (command <*>),0.5011100769042969
wait  (command 2217),wait (command <*>),HPC,New,wait (command <*>),0.5024845600128174
wait  (command 2201),wait (command <*>),HPC,New,wait (command <*>),0.5019369125366211
wait  (command 2199),wait (command <*>),HPC,New,wait (command <*>),0.5027666091918945
boot  (command 2183),boot (command <*>),HPC,New,boot (command <*>),0.5028390884399414
wait  (command 2189),wait (command <*>),HPC,New,wait (command <*>),0.49537229537963867
wait  (command 2302),wait (command <*>),HPC,New,wait (command <*>),0.5113470554351807
wait  (command 2270),wait (command <*>),HPC,New,wait (command <*>),0.512758731842041
wait  (command 2257),wait (command <*>),HPC,New,wait (command <*>),0.5098719596862793
boot  (command 2257),boot (command <*>),HPC,New,boot (command <*>),0.5132348537445068
boot  (command 2316),boot (command <*>),HPC,New,boot (command <*>),0.5036885738372803
boot  (command 2316),boot (command <*>),HPC,New,boot (command <*>),0.5021073818206787
wait  (command 2322),wait (command <*>),HPC,New,wait (command <*>),0.4940662384033203
wait  (command 2354),wait (command <*>),HPC,New,wait (command <*>),0.49729037284851074
wait  (command 2347),wait (command <*>),HPC,New,wait (command <*>),0.5087423324584961
boot  (command 2368),boot (command <*>),HPC,New,boot (command <*>),0.501528263092041
boot  (command 2392),boot (command <*>),HPC,New,boot (command <*>),0.5017590522766113
boot  (command 2406),boot (command <*>),HPC,New,boot (command <*>),0.4976656436920166
boot  (command 2417),boot (command <*>),HPC,New,boot (command <*>),0.5008261203765869
boot  (command 2423),boot (command <*>),HPC,New,boot (command <*>),0.5129806995391846
wait  (command 2424),wait (command <*>),HPC,New,wait (command <*>),0.5134735107421875
wait  (command 2449),wait (command <*>),HPC,New,wait (command <*>),0.5019299983978271
boot  (command 2464),boot (command <*>),HPC,New,boot (command <*>),0.4960746765136719
wait  (command 2468),wait (command <*>),HPC,New,wait (command <*>),0.5045690536499023
boot  (command 2520),boot (command <*>),HPC,New,boot (command <*>),0.5070393085479736
wait  (command 2517),wait (command <*>),HPC,New,wait (command <*>),0.5032641887664795
boot  (command 2517),boot (command <*>),HPC,New,boot (command <*>),0.5018594264984131
wait  (command 2511),wait (command <*>),HPC,New,wait (command <*>),0.4985690116882324
wait  (command 2513),wait (command <*>),HPC,New,wait (command <*>),0.4965224266052246
boot  (command 2514),boot (command <*>),HPC,New,boot (command <*>),0.505467414855957
wait  (command 2484),wait (command <*>),HPC,New,wait (command <*>),0.5061697959899902
boot  (command 2625),boot (command <*>),HPC,New,boot (command <*>),0.5179743766784668
wait  (command 2607),wait (command <*>),HPC,New,wait (command <*>),0.5058715343475342
boot  (command 2616),boot (command <*>),HPC,New,boot (command <*>),0.49552440643310547
boot  (command 2619),boot (command <*>),HPC,New,boot (command <*>),0.4996914863586426
boot  (command 2616),boot (command <*>),HPC,New,boot (command <*>),0.49994826316833496
boot  (command 2616),boot (command <*>),HPC,New,boot (command <*>),0.5071680545806885
boot  (command 2602),boot (command <*>),HPC,New,boot (command <*>),0.4972515106201172
wait  (command 2582),wait (command <*>),HPC,New,wait (command <*>),0.501462459564209
boot  (command 2584),boot (command <*>),HPC,New,boot (command <*>),0.4958152770996094
wait  (command 2549),wait (command <*>),HPC,New,wait (command <*>),0.5031440258026123
boot  (command 2550),boot (command <*>),HPC,New,boot (command <*>),0.49739742279052734
boot  (command 2548),boot (command <*>),HPC,New,boot (command <*>),0.5056066513061523
boot  (command 2538),boot (command <*>),HPC,New,boot (command <*>),0.506392240524292
wait  (command 2683),wait (command <*>),HPC,New,wait (command <*>),0.5053045749664307
boot  (command 2686),boot (command <*>),HPC,New,boot (command <*>),0.5013902187347412
wait  (command 2682),wait (command <*>),HPC,New,wait (command <*>),0.5056078433990479
wait  (command 2763),wait (command <*>),HPC,New,wait (command <*>),0.4984550476074219
wait  (command 2800),wait (command <*>),HPC,New,wait (command <*>),0.5013272762298584
boot  (command 2790),boot (command <*>),HPC,New,boot (command <*>),0.4975616931915283
wait  (command 2817),wait (command <*>),HPC,New,wait (command <*>),0.5014338493347168
wait  (command 2823),wait (command <*>),HPC,New,wait (command <*>),0.4966433048248291
wait  (command 2817),wait (command <*>),HPC,New,wait (command <*>),0.5156505107879639
wait  (command 2900),wait (command <*>),HPC,New,wait (command <*>),0.511253833770752
wait  (command 2885),wait (command <*>),HPC,New,wait (command <*>),0.5129287242889404
wait  (command 2909),wait (command <*>),HPC,New,wait (command <*>),0.4964437484741211
boot  (command 2960),boot (command <*>),HPC,New,boot (command <*>),0.4960896968841553
wait  (command 2963),wait (command <*>),HPC,New,wait (command <*>),0.500993013381958
boot  (command 2999),boot (command <*>),HPC,New,boot (command <*>),0.5047175884246826
halt  (command 2992),halt (command <*>),HPC,New,halt (command <*>),0.5054357051849365
wait  (command 3087),wait (command <*>),HPC,New,wait (command <*>),0.5154755115509033
wait  (command 3079),wait (command <*>),HPC,New,wait (command <*>),0.49852991104125977
wait  (command 3078),wait (command <*>),HPC,New,wait (command <*>),0.4952847957611084
wait  (command 3141),wait (command <*>),HPC,New,wait (command <*>),0.496981143951416
boot  (command 3138),boot (command <*>),HPC,New,boot (command <*>),0.4989602565765381
boot  (command 3169),boot (command <*>),HPC,New,boot (command <*>),0.5029010772705078
boot  (command 3169),boot (command <*>),HPC,New,boot (command <*>),0.5040032863616943
boot  (command 3194),boot (command <*>),HPC,New,boot (command <*>),0.49912142753601074
boot  (command 3320),boot (command <*>),HPC,New,boot (command <*>),0.500457763671875
boot  (command 3318),boot (command <*>),HPC,New,boot (command <*>),0.49864792823791504
boot  (command 3317),boot (command <*>),HPC,New,boot (command <*>),0.4995744228363037
