Content,EventTemplate,Dataset,Category,New_Mistral_FT_HPC_5,Inference_time_5
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),4.36941123008728
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3557348251342773
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3479597568511963
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3473217487335205
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3581838607788086
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3643417358398438
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3840396404266357
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3501107692718506
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3442201614379883
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3744738101959229
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3652641773223877
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3527874946594238
clusterAddMember  (command 1902),clusterAddMember (command <*>),HPC,New,clusterAddMember (command <*>),0.6211040019989014
clusterAddMember  (command 1900),clusterAddMember (command <*>),HPC,New,clusterAddMember (command <*>),0.636460542678833
risBoot  (command 1903),risBoot (command <*>),HPC,New,risBoot (command <*>),0.5752370357513428
bootGenvmunix  (command 1903),bootGenvmunix (command <*>),HPC,New,bootGenvmunix (command <*>),0.7610728740692139
boot  (command 1911),boot (command <*>),HPC,New,boot (command <*>),0.5032646656036377
boot  (command 1910),boot (command <*>),HPC,New,boot (command <*>),0.502554178237915
boot  (command 1978),boot (command <*>),HPC,New,boot (command <*>),0.5041959285736084
boot  (command 1967),boot (command <*>),HPC,New,boot (command <*>),0.4984090328216553
wait  (command 1975),wait (command <*>),HPC,New,wait (command <*>),0.503242015838623
boot  (command 1999),boot (command <*>),HPC,New,boot (command <*>),0.4966580867767334
halt  (command 1982),halt (command <*>),HPC,New,halt (command <*>),0.5010757446289062
boot  (command 1981),boot (command <*>),HPC,New,boot (command <*>),0.497575044631958
boot  (command 1973),boot (command <*>),HPC,New,boot (command <*>),0.5061497688293457
wait  (command 1973),wait (command <*>),HPC,New,wait (command <*>),0.49863600730895996
wait  (command 2057),wait (command <*>),HPC,New,wait (command <*>),0.5032494068145752
boot  (command 2152),boot (command <*>),HPC,New,boot (command <*>),0.5053324699401855
wait  (command 2154),wait (command <*>),HPC,New,wait (command <*>),0.5118768215179443
boot  (command 2141),boot (command <*>),HPC,New,boot (command <*>),0.5003645420074463
boot  (command 2110),boot (command <*>),HPC,New,boot (command <*>),0.5111038684844971
boot  (command 2160),boot (command <*>),HPC,New,boot (command <*>),0.4990241527557373
halt  (command 2221),halt (command <*>),HPC,New,halt (command <*>),0.5016169548034668
wait  (command 2217),wait (command <*>),HPC,New,wait (command <*>),0.49704861640930176
wait  (command 2217),wait (command <*>),HPC,New,wait (command <*>),0.5060458183288574
wait  (command 2201),wait (command <*>),HPC,New,wait (command <*>),0.5063431262969971
wait  (command 2199),wait (command <*>),HPC,New,wait (command <*>),0.5090701580047607
boot  (command 2183),boot (command <*>),HPC,New,boot (command <*>),0.499453067779541
wait  (command 2189),wait (command <*>),HPC,New,wait (command <*>),0.5116662979125977
wait  (command 2302),wait (command <*>),HPC,New,wait (command <*>),0.498856782913208
wait  (command 2270),wait (command <*>),HPC,New,wait (command <*>),0.5019214153289795
wait  (command 2257),wait (command <*>),HPC,New,wait (command <*>),0.4964747428894043
boot  (command 2257),boot (command <*>),HPC,New,boot (command <*>),0.501518726348877
boot  (command 2316),boot (command <*>),HPC,New,boot (command <*>),0.49691176414489746
boot  (command 2316),boot (command <*>),HPC,New,boot (command <*>),0.5037593841552734
wait  (command 2322),wait (command <*>),HPC,New,wait (command <*>),0.49669742584228516
wait  (command 2354),wait (command <*>),HPC,New,wait (command <*>),0.5029091835021973
wait  (command 2347),wait (command <*>),HPC,New,wait (command <*>),0.49712562561035156
boot  (command 2368),boot (command <*>),HPC,New,boot (command <*>),0.5048308372497559
boot  (command 2392),boot (command <*>),HPC,New,boot (command <*>),0.4979069232940674
boot  (command 2406),boot (command <*>),HPC,New,boot (command <*>),0.5025606155395508
