Content,EventTemplate,Dataset,Category,Unseen_Mistral_FT_BGL_5,Inference_time_5
generating core.2275,generating core.<*>,BGL,Unseen,generating core.<*>,0.4327201843261719
generating core.862,generating core.<*>,BGL,Unseen,generating core.<*>,0.4327888488769531
generating core.728,generating core.<*>,BGL,Unseen,generating core.<*>,0.43701767921447754
generating core.775,generating core.<*>,BGL,Unseen,generating core.<*>,0.4496653079986572
generating core.3276,generating core.<*>,BGL,Unseen,generating core.<*>,0.43755221366882324
generating core.1717,generating core.<*>,BGL,Unseen,generating core.<*>,0.4464738368988037
generating core.3919,generating core.<*>,BGL,Unseen,generating core.<*>,0.4373292922973633
generating core.2079,generating core.<*>,BGL,Unseen,generating core.<*>,0.45033979415893555
generating core.1414,generating core.<*>,BGL,Unseen,generating core.<*>,0.44347047805786133
generating core.3055,generating core.<*>,BGL,Unseen,generating core.<*>,0.43640995025634766
generating core.201,generating core.<*>,BGL,Unseen,generating core.<*>,0.43036961555480957
generating core.1125,generating core.<*>,BGL,Unseen,generating core.<*>,0.429715633392334
generating core.412,generating core.<*>,BGL,Unseen,generating core.<*>,0.42925119400024414
generating core.7828,generating core.<*>,BGL,Unseen,generating core.<*>,0.4294924736022949
generating core.5570,generating core.<*>,BGL,Unseen,generating core.<*>,0.4276432991027832
generating core.8275,generating core.<*>,BGL,Unseen,generating core.<*>,0.4321098327636719
generating core.4183,generating core.<*>,BGL,Unseen,generating core.<*>,0.42914462089538574
generating core.6545,generating core.<*>,BGL,Unseen,generating core.<*>,0.4302983283996582
generating core.4245,generating core.<*>,BGL,Unseen,generating core.<*>,0.4287290573120117
generating core.6884,generating core.<*>,BGL,Unseen,generating core.<*>,0.4334714412689209
generating core.6471,generating core.<*>,BGL,Unseen,generating core.<*>,0.4309988021850586
generating core.4155,generating core.<*>,BGL,Unseen,generating core.<*>,0.4275038242340088
generating core.449,generating core.<*>,BGL,Unseen,generating core.<*>,0.43038129806518555
generating core.6990,generating core.<*>,BGL,Unseen,generating core.<*>,0.4294304847717285
generating core.4876,generating core.<*>,BGL,Unseen,generating core.<*>,0.4272928237915039
generating core.2218,generating core.<*>,BGL,Unseen,generating core.<*>,0.42974328994750977
generating core.7518,generating core.<*>,BGL,Unseen,generating core.<*>,0.4275650978088379
generating core.5854,generating core.<*>,BGL,Unseen,generating core.<*>,0.42771482467651367
generating core.7457,generating core.<*>,BGL,Unseen,generating core.<*>,0.42974424362182617
generating core.6896,generating core.<*>,BGL,Unseen,generating core.<*>,0.42995595932006836
generating core.3488,generating core.<*>,BGL,Unseen,generating core.<*>,0.43062376976013184
generating core.1172,generating core.<*>,BGL,Unseen,generating core.<*>,0.4454817771911621
generating core.2286,generating core.<*>,BGL,Unseen,generating core.<*>,0.43355846405029297
generating core.786,generating core.<*>,BGL,Unseen,generating core.<*>,0.4509701728820801
generating core.2680,generating core.<*>,BGL,Unseen,generating core.<*>,0.4425637722015381
generating core.1524,generating core.<*>,BGL,Unseen,generating core.<*>,0.4305756092071533
generating core.4937,generating core.<*>,BGL,Unseen,generating core.<*>,0.42838478088378906
generating core.6801,generating core.<*>,BGL,Unseen,generating core.<*>,0.43959856033325195
generating core.4368,generating core.<*>,BGL,Unseen,generating core.<*>,0.44722723960876465
generating core.851,generating core.<*>,BGL,Unseen,generating core.<*>,0.4317145347595215
generating core.1744,generating core.<*>,BGL,Unseen,generating core.<*>,0.4360344409942627
generating core.1588,generating core.<*>,BGL,Unseen,generating core.<*>,0.435610294342041
generating core.5307,generating core.<*>,BGL,Unseen,generating core.<*>,0.4400620460510254
generating core.7192,generating core.<*>,BGL,Unseen,generating core.<*>,0.4379580020904541
generating core.430,generating core.<*>,BGL,Unseen,generating core.<*>,0.4418025016784668
generating core.174,generating core.<*>,BGL,Unseen,generating core.<*>,0.43755221366882324
generating core.976,generating core.<*>,BGL,Unseen,generating core.<*>,0.43772387504577637
generating core.1990,generating core.<*>,BGL,Unseen,generating core.<*>,0.4390842914581299
generating core.3638,generating core.<*>,BGL,Unseen,generating core.<*>,0.43891072273254395
generating core.2690,generating core.<*>,BGL,Unseen,generating core.<*>,0.44005727767944336
generating core.3804,generating core.<*>,BGL,Unseen,generating core.<*>,0.43452882766723633
generating core.418,generating core.<*>,BGL,Unseen,generating core.<*>,0.43570947647094727
generating core.310,generating core.<*>,BGL,Unseen,generating core.<*>,0.43172168731689453
generating core.2409,generating core.<*>,BGL,Unseen,generating core.<*>,0.43286633491516113
generating core.4182,generating core.<*>,BGL,Unseen,generating core.<*>,0.43422508239746094
generating core.8153,generating core.<*>,BGL,Unseen,generating core.<*>,0.4291377067565918
generating core.7836,generating core.<*>,BGL,Unseen,generating core.<*>,0.426375150680542
generating core.2911,generating core.<*>,BGL,Unseen,generating core.<*>,0.44077515602111816
generating core.2921,generating core.<*>,BGL,Unseen,generating core.<*>,0.4408447742462158
generating core.122,generating core.<*>,BGL,Unseen,generating core.<*>,0.4372079372406006
generating core.1973,generating core.<*>,BGL,Unseen,generating core.<*>,0.4448690414428711
generating core.4984,generating core.<*>,BGL,Unseen,generating core.<*>,0.4345271587371826
generating core.1822,generating core.<*>,BGL,Unseen,generating core.<*>,0.43808412551879883
generating core.3265,generating core.<*>,BGL,Unseen,generating core.<*>,0.44641566276550293
generating core.2599,generating core.<*>,BGL,Unseen,generating core.<*>,0.4332559108734131
generating core.1818,generating core.<*>,BGL,Unseen,generating core.<*>,0.4397265911102295
generating core.1694,generating core.<*>,BGL,Unseen,generating core.<*>,0.43617868423461914
generating core.3401,generating core.<*>,BGL,Unseen,generating core.<*>,0.43453311920166016
generating core.25350,generating core.<*>,BGL,Unseen,generating core.<*>,0.43306517601013184
generating core.1820,generating core.<*>,BGL,Unseen,generating core.<*>,0.4358844757080078
generating core.254,generating core.<*>,BGL,Unseen,generating core.<*>,0.43580079078674316
generating core.1887,generating core.<*>,BGL,Unseen,generating core.<*>,0.4320642948150635
generating core.8280,generating core.<*>,BGL,Unseen,generating core.<*>,0.4378626346588135
generating core.12357,generating core.<*>,BGL,Unseen,generating core.<*>,0.4287710189819336
ciod: Message code 0 is not 51 or 4294967295,ciod: Message code <*> is not <*> or <*>,BGL,Unseen,ciod: Message code <*> is not <*> or <*>,0.9739401340484619
generating core.2522,generating core.<*>,BGL,Unseen,generating core.<*>,0.4313497543334961
generating core.1711,generating core.<*>,BGL,Unseen,generating core.<*>,0.4273061752319336
generating core.2332,generating core.<*>,BGL,Unseen,generating core.<*>,0.4260554313659668
generating core.4505,generating core.<*>,BGL,Unseen,generating core.<*>,0.42677998542785645
generating core.1521,generating core.<*>,BGL,Unseen,generating core.<*>,0.4244880676269531
data store interrupt caused by dcbf.........0,data store interrupt caused by dcbf.........<*>,BGL,Unseen,data store interrupt caused by dcbf.........<*>,0.7861678600311279
data store interrupt caused by dcbf.........0,data store interrupt caused by dcbf.........<*>,BGL,Unseen,data store interrupt caused by dcbf.........<*>,0.7981677055358887
program interrupt: privileged instruction...0,program interrupt: privileged instruction...<*>,BGL,Unseen,program interrupt: privileged instruction...<*>,0.6725003719329834
program interrupt: privileged instruction...0,program interrupt: privileged instruction...<*>,BGL,Unseen,program interrupt: privileged instruction...<*>,0.6738705635070801
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,BGL,Unseen,data store interrupt caused by icbi.........<*>,0.7926723957061768
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,BGL,Unseen,data store interrupt caused by icbi.........<*>,0.7837553024291992
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,BGL,Unseen,data store interrupt caused by icbi.........<*>,0.785642147064209
byte ordering exception.....................0,byte ordering exception.....................<*>,BGL,Unseen,byte ordering exception.....................<*>,0.5442273616790771
byte ordering exception.....................0,byte ordering exception.....................<*>,BGL,Unseen,byte ordering exception.....................<*>,0.5457303524017334
data address space................0,data address space................<*>,BGL,Unseen,data address space................<*>,0.4852936267852783
data address space................0,data address space................<*>,BGL,Unseen,data address space................<*>,0.48743462562561035
guaranteed data cache block touch........1,guaranteed data cache block touch........<*>,BGL,Unseen,guaranteed data cache block touch........<*>,0.7339432239532471
special purpose registers:,special purpose registers:,BGL,Unseen,special purpose registers:,0.3792304992675781
debug wait enable.................0,debug wait enable.................<*>,BGL,Unseen,debug wait enable.................<*>,0.6159031391143799
data address space................0,data address space................<*>,BGL,Unseen,data address space................<*>,0.4927694797515869
data address space................0,data address space................<*>,BGL,Unseen,data address space................<*>,0.4944603443145752
data address space................0,data address space................<*>,BGL,Unseen,data address space................<*>,0.49690985679626465
generating core.42,generating core.<*>,BGL,Unseen,generating core.<*>,0.4314591884613037
total of 1 ddr error(s) detected and corrected,total of <*> ddr error(s) detected and corrected,BGL,Unseen,total of <*> ddr error(s) detected and corrected,0.9206762313842773
generating core.145,generating core.<*>,BGL,Unseen,generating core.<*>,0.43139100074768066
generating core.1978,generating core.<*>,BGL,Unseen,generating core.<*>,0.4450829029083252
generating core.2040,generating core.<*>,BGL,Unseen,generating core.<*>,0.443678617477417
generating core.15,generating core.<*>,BGL,Unseen,generating core.<*>,0.44768810272216797
generating core.16218,generating core.<*>,BGL,Unseen,generating core.<*>,0.4460012912750244
generating core.8531,generating core.<*>,BGL,Unseen,generating core.<*>,0.4289376735687256
generating core.2961,generating core.<*>,BGL,Unseen,generating core.<*>,0.43653178215026855
generating core.15966,generating core.<*>,BGL,Unseen,generating core.<*>,0.4342916011810303
generating core.42,generating core.<*>,BGL,Unseen,generating core.<*>,0.44462013244628906
generating core.93,generating core.<*>,BGL,Unseen,generating core.<*>,0.4360184669494629
