Content,EventTemplate,Dataset,Category,New_Mistral_FT_HPC_2,Inference_time_2
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.4045345783233643
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3756041526794434
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.370145559310913
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3831431865692139
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.4111328125
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3820297718048096
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3765616416931152
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3789010047912598
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3669602870941162
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3528900146484375
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3997523784637451
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.3700788021087646
clusterAddMember  (command 1902),clusterAddMember (command <*>),HPC,New,clusterAddMember (command <*>),0.6588451862335205
clusterAddMember  (command 1900),clusterAddMember (command <*>),HPC,New,clusterAddMember (command <*>),0.6500840187072754
risBoot  (command 1903),risBoot (command <*>),HPC,New,risBoot (command <*>),0.5975356101989746
bootGenvmunix  (command 1903),bootGenvmunix (command <*>),HPC,New,bootGenvmunix (command <*>),0.7516629695892334
boot  (command 1911),boot (command <*>),HPC,New,boot (command <*>),0.5172262191772461
boot  (command 1910),boot (command <*>),HPC,New,boot (command <*>),0.5206470489501953
boot  (command 1978),boot (command <*>),HPC,New,boot (command <*>),0.5142786502838135
boot  (command 1967),boot (command <*>),HPC,New,boot (command <*>),0.516087532043457
wait  (command 1975),wait (command <*>),HPC,New,wait (command <*>),0.5137808322906494
boot  (command 1999),boot (command <*>),HPC,New,boot (command <*>),0.5036787986755371
