Content,EventTemplate,Dataset,Category,New_Mistral_FT_HPC_1,Inference_time_1
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),4.5776636600494385
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.4106409549713135
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.6233575344085693
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.4476392269134521
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.4189326763153076
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.4240760803222656
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.4173023700714111
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.4208173751831055
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.4236021041870117
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.431999921798706
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.4451522827148438
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,New,Component State Change: Component <*> is in the unavailable state (HWID=<*>),1.435652256011963
clusterAddMember  (command 1902),clusterAddMember (command <*>),HPC,New,clusterAddMember (command <*>),0.6617007255554199
clusterAddMember  (command 1900),clusterAddMember (command <*>),HPC,New,clusterAddMember (command <*>),0.6551845073699951
risBoot  (command 1903),risBoot (command <*>),HPC,New,risBoot (command <*>),0.5913026332855225
bootGenvmunix  (command 1903),bootGenvmunix (command <*>),HPC,New,bootGenvmunix (command <*>),0.7862861156463623
boot  (command 1911),boot (command <*>),HPC,New,boot (command <*>),0.5286023616790771
boot  (command 1910),boot (command <*>),HPC,New,boot (command <*>),0.5302503108978271
boot  (command 1978),boot (command <*>),HPC,New,boot (command <*>),0.5294461250305176
boot  (command 1967),boot (command <*>),HPC,New,boot (command <*>),0.5265381336212158
wait  (command 1975),wait (command <*>),HPC,New,wait (command <*>),0.5308563709259033
boot  (command 1999),boot (command <*>),HPC,New,boot (command <*>),0.5296871662139893
halt  (command 1982),halt (command <*>),HPC,New,halt (command <*>),0.5291545391082764
boot  (command 1981),boot (command <*>),HPC,New,boot (command <*>),0.5257599353790283
boot  (command 1973),boot (command <*>),HPC,New,boot (command <*>),0.528069257736206
wait  (command 1973),wait (command <*>),HPC,New,wait (command <*>),0.5252687931060791
